"","gridg1","gridg3","month","no.sp","timegroups","OBSERVATION.COUNT","OBSERVER.ID","TEMP.REGION","timegroups1","DATETIME"
"1","9723","620","4",24,"2022",0,NA,NA,NA,NA
"2","9723","620","4",40,"2022",1,819621,NA,"2020-2022",2023-06-01 07:23:00
"3","9723","620","4",20,"2022",0,NA,NA,NA,NA
"4","9724","620","4",15,"2022",0,NA,NA,NA,NA
"5","9723","620","4",60,"2022",1,1494524,NA,"2020-2022",2023-06-01 06:36:00
"6","9723","620","4",40,"2022",1,1541029,NA,"2020-2022",2023-06-01 07:03:00
"7","9723","620","4",62,"2022",1,2662113,NA,"2020-2022",2023-06-01 06:19:00
"8","9854","620","4",20,"2022",1,1157336,NA,"2020-2022",2023-06-01 06:06:00
"9","9854","620","4",24,"2022",0,NA,NA,NA,NA
"10","9723","620","4",14,"2022",0,NA,NA,NA,NA
"11","9724","620","4",23,"2022",0,NA,NA,NA,NA
"12","9724","620","4",42,"2022",0,NA,NA,NA,NA
"13","9723","620","4",35,"2020",0,NA,NA,NA,NA
"14","9853","620","4",16,"2021",0,NA,NA,NA,NA
"15","9854","620","4",16,"2021",0,NA,NA,NA,NA
"16","9724","620","4",26,"2021",1,1641430,NA,"2020-2022",2023-06-01 11:36:00
"17","9724","620","4",10,"2021",0,NA,NA,NA,NA
"18","9724","620","4",30,"2021",0,NA,NA,NA,NA
"19","9724","620","4",17,"2021",0,NA,NA,NA,NA
"20","9853","620","4",38,"2021",0,NA,NA,NA,NA
"21","9724","620","4",14,"2021",0,NA,NA,NA,NA
"22","9854","620","4",21,"2021",0,NA,NA,NA,NA
"23","9854","620","4",20,"2021",0,NA,NA,NA,NA
"24","9854","620","4",18,"2021",0,NA,NA,NA,NA
"25","9854","620","4",6,"2021",0,NA,NA,NA,NA
"26","9854","620","4",21,"2021",0,NA,NA,NA,NA
"27","9724","620","4",34,"2022",0,NA,NA,NA,NA
"28","9724","620","4",13,"2022",0,NA,NA,NA,NA
"29","9853","620","4",2,"2022",0,NA,NA,NA,NA
"30","9723","620","4",51,"2022",1,2662113,NA,"2020-2022",2023-06-01 06:15:00
"31","9854","620","4",16,"2022",1,2972033,NA,"2020-2022",2023-06-01 17:41:00
"32","9594","620","4",45,"2022",0,NA,NA,NA,NA
"33","9724","620","4",22,"2022",0,NA,NA,NA,NA
"34","9853","620","4",3,"2022",0,NA,NA,NA,NA
"35","9724","620","4",31,"2022",0,NA,NA,NA,NA
"36","9853","620","4",18,"2022",1,2662113,NA,"2020-2022",2023-06-01 10:15:00
"37","9853","620","4",17,"2022",0,NA,NA,NA,NA
"38","9853","620","4",34,"2022",0,NA,NA,NA,NA
"39","9723","620","4",27,"2022",0,NA,NA,NA,NA
"40","9853","620","4",12,"2011-2012",0,NA,NA,NA,NA
"41","9853","620","4",26,"2014",0,NA,NA,NA,NA
"42","9724","620","4",7,"2018",0,NA,NA,NA,NA
"43","9854","620","4",7,"2017",0,NA,NA,NA,NA
"44","9593","620","4",9,"2018",0,NA,NA,NA,NA
"45","9853","620","4",9,"2000-2006",0,NA,NA,NA,NA
"46","9853","620","4",34,"2021",0,NA,NA,NA,NA
"47","9853","620","4",9,"2021",0,NA,NA,NA,NA
"48","9853","620","4",11,"2021",0,NA,NA,NA,NA
"49","9853","620","4",5,"2021",0,NA,NA,NA,NA
