"timegroups","lci_std","rci_std","timegroupsf","mean_trans","se_trans","COMMON.NAME","lci","mean","rci","m1","mean_year1","s1","mean_std"
1992,80.5339996902335,123.799026826761,"before 2000",-2.90229111837394,0.0819123483979405,"Lesser Whistling-Duck",0.0456785883711681,0.0534176426992064,0.0624244186225962,-2.90229111837394,0.0534176426992064,0.0819123483979405,100
2003,104.914191196123,161.448546753019,"2000-2006",-2.62197148937662,0.0775452683627638,"Lesser Whistling-Duck",0.0605064640243783,0.0700825629560315,0.0811076640492903,-2.90229111837394,0.0534176426992064,0.0819123483979405,131.197408599
2009,107.102276966281,159.175658614538,"2007-2010",-2.61069824953366,0.0669705861129597,"Lesser Whistling-Duck",0.0624112644854897,0.0708482596646387,0.0803760830228117,-2.90229111837394,0.0534176426992064,0.0819123483979405,132.630823983723
2012,147.207681862058,219.85945544491,"2011-2012",-2.28560886908632,0.0692624555389638,"Lesser Whistling-Duck",0.0849718734851232,0.0967104412393027,0.109970893226443,-2.90229111837394,0.0534176426992064,0.0819123483979405,181.045879886309
2013,143.585426476494,208.658473148929,"2013",-2.33671698404203,0.05917817074506,"Lesser Whistling-Duck",0.0824611665002259,0.0921212123700345,0.102848105551708,-2.90229111837394,0.0534176426992064,0.0819123483979405,172.454656767179
2014,119.575517379749,180.52434873151,"2014",-2.49855561415673,0.059774704229055,"Lesser Whistling-Duck",0.070506591248503,0.0789156361956806,0.0882790911187029,-2.90229111837394,0.0534176426992064,0.0819123483979405,147.733281006152
2015,109.73893584237,157.761387770975,"2015",-2.61466913723123,0.0540829540422511,"Lesser Whistling-Duck",0.0637104662646739,0.0705776373141063,0.0781536140238001,-2.90229111837394,0.0534176426992064,0.0819123483979405,132.124207935433
2016,107.215030722244,154.295836472723,"2016",-2.65173940075354,0.049319345999103,"Lesser Whistling-Duck",0.062023034286183,0.0680987539676775,0.0747455731625544,-2.90229111837394,0.0534176426992064,0.0819123483979405,127.483637477491
2017,111.146513232101,160.829960823433,"2017",-2.6035370035685,0.0508000483359286,"Lesser Whistling-Duck",0.0648021395874848,0.0713388338480141,0.0785067771767828,-2.90229111837394,0.0534176426992064,0.0819123483979405,133.549198810067
2018,102.753339078129,147.791437734077,"2018",-2.6875280468187,0.0498873759771751,"Lesser Whistling-Duck",0.0598446226887344,0.0657852530953658,0.0722925912851644,-2.90229111837394,0.0534176426992064,0.0819123483979405,123.152669738351
2019,107.18002728437,155.60065044052,"2019",-2.63203448228383,0.0479794184831067,"Lesser Whistling-Duck",0.0633783196339143,0.0694057970450498,0.0759828987012108,-2.90229111837394,0.0534176426992064,0.0819123483979405,129.930475284865
2020,113.889015648452,164.072611868788,"2020",-2.58291064616221,0.045892296021128,"Lesser Whistling-Duck",0.0667241645209768,0.0727701310824135,0.0793402732164653,-2.90229111837394,0.0534176426992064,0.0819123483979405,136.228645453676
2021,104.532206360558,149.62730801697,"2021",-2.67102769775688,0.0498018966078255,"Lesser Whistling-Duck",0.0608192438575515,0.0668423221576719,0.0734382136196839,-2.90229111837394,0.0534176426992064,0.0819123483979405,125.131546021339
2022,111.474559218595,160.530200832876,"2022",-2.61534597910825,0.0462475690002129,"Lesser Whistling-Duck",0.0646215515278061,0.0705316087159413,0.0769595992522511,-2.90229111837394,0.0534176426992064,0.0819123483979405,132.038040527365
2023,110.491869948704,157.816459007323,"2023",-2.61028692308296,0.047482022994956,"Lesser Whistling-Duck",0.0647866911305043,0.0708763491767389,0.0775143156803721,-2.90229111837394,0.0534176426992064,0.0819123483979405,132.683408692971
2024,106.641573108612,149.828328718179,"2024",-2.67020135710177,0.046707867644031,"Lesser Whistling-Duck",0.0612266304173799,0.0668956886421884,0.0730689253604043,-2.90229111837394,0.0534176426992064,0.0819123483979405,125.23145025114
