"","sl","COMMON.NAME","timegroupsf","timegroups","freq","se"
"1",1,"Red Junglefowl","before 2000",1992,-3.50078512152194,0.107463924350426
"2",1,"Red Junglefowl","2000-2006",2003,-3.23346860092359,0.0955237044195082
"3",1,"Red Junglefowl","2007-2010",2009,-3.31369888294984,0.0943513215776344
"4",1,"Red Junglefowl","2011-2012",2012,-3.37678137587417,0.0975153414953424
"5",1,"Red Junglefowl","2013",2013,-3.50439922578428,0.1003486896801
"6",1,"Red Junglefowl","2014",2014,-3.59647131156069,0.093405825999997
"7",1,"Red Junglefowl","2015",2015,-3.53778823495785,0.0769834460613231
"8",1,"Red Junglefowl","2016",2016,-3.67613944275715,0.0863110826710514
"9",1,"Red Junglefowl","2017",2017,-3.33133031823631,0.0737452589188032
"10",1,"Red Junglefowl","2018",2018,-3.53154055244001,0.0793233432716542
"11",1,"Red Junglefowl","2019",2019,-3.58538082423925,0.0769225856291653
"12",1,"Red Junglefowl","2020",2020,-3.55532626563227,0.0746062183394908
"13",1,"Red Junglefowl","2021",2021,-3.48472652772354,0.0759871386230472
"14",1,"Red Junglefowl","2022",2022,-3.37904213829321,0.075815692090034
"15",1,"Gray Francolin","before 2000",1992,-2.43781512450714,0.0570650878803848
"16",1,"Gray Francolin","2000-2006",2003,-2.5593242509207,0.0519099600028166
"17",1,"Gray Francolin","2007-2010",2009,-2.38345040438067,0.0524078861119502
"18",1,"Gray Francolin","2011-2012",2012,-2.38795485093889,0.0568185000269544
"19",1,"Gray Francolin","2013",2013,-2.39421651695601,0.0504078813695666
"20",1,"Gray Francolin","2014",2014,-2.14945375431734,0.0446468889444572
"21",1,"Gray Francolin","2015",2015,-2.17049730573236,0.0481084705820344
"22",1,"Gray Francolin","2016",2016,-2.0993707896264,0.046798211922549
"23",1,"Gray Francolin","2017",2017,-2.03284997767211,0.0448891066527571
"24",1,"Gray Francolin","2018",2018,-1.98261840446804,0.0450527647717688
"25",1,"Gray Francolin","2019",2019,-1.94493789240615,0.045534780714408
"26",1,"Gray Francolin","2020",2020,-1.90191129669751,0.0466961875453469
"27",1,"Gray Francolin","2021",2021,-1.90895245997682,0.047589943022836
"28",1,"Gray Francolin","2022",2022,-1.8723424650354,0.0455183164835394
"29",1,"Little Grebe","before 2000",1992,-2.70263070596181,0.0446766377060543
"30",1,"Little Grebe","2000-2006",2003,-2.49654176590409,0.0537940470716026
"31",1,"Little Grebe","2007-2010",2009,-2.53331170273385,0.0420639602053144
"32",1,"Little Grebe","2011-2012",2012,-2.36450940431912,0.0463692248216058
"33",1,"Little Grebe","2013",2013,-2.45407715044502,0.0355768551665511
"34",1,"Little Grebe","2014",2014,-2.55406048944976,0.0352636593770008
"35",1,"Little Grebe","2015",2015,-2.66051185902019,0.033575504904033
