"","sl","COMMON.NAME","timegroupsf","timegroups","freq","se"
"1",1,"Gray Francolin","before 2000",1992,-2.43648810265364,0.0550418639959538
"2",1,"Gray Francolin","2000-2006",2003,-2.55690903389792,0.0538612056086634
"3",1,"Gray Francolin","2007-2010",2009,-2.37805251493707,0.0511936827868337
"4",1,"Gray Francolin","2011-2012",2012,-2.38903677592533,0.0508647089318712
"5",1,"Gray Francolin","2013",2013,-2.38819353502565,0.0534049572375797
"6",1,"Gray Francolin","2014",2014,-2.14757526879792,0.0459993728794954
"7",1,"Gray Francolin","2015",2015,-2.16814963160416,0.0471652960026834
"8",1,"Gray Francolin","2016",2016,-2.09761486620624,0.0453146095610351
"9",1,"Gray Francolin","2017",2017,-2.02980684894601,0.0451486729961104
"10",1,"Gray Francolin","2018",2018,-1.97943272276329,0.0438845569378917
"11",1,"Gray Francolin","2019",2019,-1.94229393336075,0.0440888744749824
"12",1,"Gray Francolin","2020",2020,-1.90055558234782,0.0435807261197265
"13",1,"Gray Francolin","2021",2021,-1.90841154070515,0.0428865732969813
"14",1,"Gray Francolin","2022",2022,-1.86918763167582,0.0457709422887429
"15",1,"Black-winged Kite","before 2000",1992,-2.15090185055238,0.0447540525441317
"16",1,"Black-winged Kite","2000-2006",2003,-2.27386741613611,0.046134149036445
"17",1,"Black-winged Kite","2007-2010",2009,-2.17952262830234,0.0431611930126951
"18",1,"Black-winged Kite","2011-2012",2012,-2.09304518186701,0.0415237212813099
"19",1,"Black-winged Kite","2013",2013,-2.28515581372318,0.0437689889090067
"20",1,"Black-winged Kite","2014",2014,-2.30704445732003,0.0405752702872184
"21",1,"Black-winged Kite","2015",2015,-2.32915283520942,0.0361782578016177
"22",1,"Black-winged Kite","2016",2016,-2.3252760068417,0.0340401621713213
"23",1,"Black-winged Kite","2017",2017,-2.44809974777143,0.0325035563668756
"24",1,"Black-winged Kite","2018",2018,-2.44758263721847,0.0334954985021261
"25",1,"Black-winged Kite","2019",2019,-2.60612059980234,0.033958473329317
"26",1,"Black-winged Kite","2020",2020,-2.45549905453085,0.0335676165644313
"27",1,"Black-winged Kite","2021",2021,-2.49911668174395,0.0351431839838823
"28",1,"Black-winged Kite","2022",2022,-2.63156664561253,0.0322770400526344
