"","COMMON.NAME","timegroupsf","timegroups","mean_trans"
"1","Red Junglefowl","2000-2006",2003,-3.25536165046653
"2","Red Junglefowl","2007-2010",2009,-3.28146889441973
"3","Red Junglefowl","2011-2012",2012,-3.34648034122297
"4","Red Junglefowl","2013",2013,-3.53570589482785
"5","Red Junglefowl","2014",2014,-3.59086416269909
"6","Red Junglefowl","2015",2015,-3.49481381522193
"7","Red Junglefowl","2016",2016,-3.70547682482168
"8","Red Junglefowl","2017",2017,-3.3308363313147
"9","Red Junglefowl","2018",2018,-3.52456394572968
"10","Red Junglefowl","2019",2019,-3.56893810776355
"11","Red Junglefowl","2020",2020,-3.57202676193288
"12","Red Junglefowl","2021",2021,-3.49383612462069
"13","Red Junglefowl","2022",2022,-3.38949497916286
"14","Red Junglefowl","before 2000",1992,-3.41633926737001
