"","sl","COMMON.NAME","timegroupsf","timegroups","freq","se"
"1",1,"Red Junglefowl","before 2000",1992,-3.51497283521082,0.0922430817584077
"2",1,"Red Junglefowl","2000-2006",2003,-3.24239104312181,0.0932292858122883
"3",1,"Red Junglefowl","2007-2010",2009,-3.31364052011661,0.101115037988223
"4",1,"Red Junglefowl","2011-2012",2012,-3.38021437651278,0.0950153222489769
"5",1,"Red Junglefowl","2013",2013,-3.50244085431625,0.10418736126987
"6",1,"Red Junglefowl","2014",2014,-3.59668852568761,0.0906084125666634
"7",1,"Red Junglefowl","2015",2015,-3.53780699369335,0.0825183784785389
"8",1,"Red Junglefowl","2016",2016,-3.67950689523221,0.0792708529072854
"9",1,"Red Junglefowl","2017",2017,-3.32827595325958,0.0774039097341415
"10",1,"Red Junglefowl","2018",2018,-3.52968186610311,0.0755264168206238
"11",1,"Red Junglefowl","2019",2019,-3.58151765067152,0.0773366864614757
"12",1,"Red Junglefowl","2020",2020,-3.55269372687431,0.0782647907519928
"13",1,"Red Junglefowl","2021",2021,-3.48260135394996,0.0740836788455062
"14",1,"Red Junglefowl","2022",2022,-3.38414011016723,0.0728571393952717
"15",10,"Red Junglefowl","before 2000",1992,-3.36584232372027,0.105535213605396
"16",10,"Red Junglefowl","2000-2006",2003,-3.14369978754281,0.0956944046943795
"17",10,"Red Junglefowl","2007-2010",2009,-3.183231385219,0.0789308641292962
"18",10,"Red Junglefowl","2011-2012",2012,-3.29091867001918,0.073216282794466
"19",10,"Red Junglefowl","2013",2013,-3.19647475130094,0.0955986794273598
"20",10,"Red Junglefowl","2014",2014,-3.34615916423901,0.0883495687548714
"21",10,"Red Junglefowl","2015",2015,-3.11582829859535,0.106922680944252
"22",10,"Red Junglefowl","2016",2016,-3.48437954805156,0.0746205931756608
"23",10,"Red Junglefowl","2017",2017,-3.67966877892164,0.0744805205856558
"24",10,"Red Junglefowl","2018",2018,-3.40188520740242,0.0738660707117424
"25",10,"Red Junglefowl","2019",2019,-3.52586544428042,0.10719992253124
"26",10,"Red Junglefowl","2020",2020,-3.43245074468842,0.0790659946559933
"27",10,"Red Junglefowl","2021",2021,-3.4773992312218,0.0782684105184225
"28",10,"Red Junglefowl","2022",2022,-3.45085824916814,0.0933584551918102
"29",100,"Red Junglefowl","before 2000",1992,-3.3579653531236,0.105262526598266
"30",100,"Red Junglefowl","2000-2006",2003,-3.44594419498604,0.089124961653069
"31",100,"Red Junglefowl","2007-2010",2009,-3.34654959482215,0.0825009513324609
"32",100,"Red Junglefowl","2011-2012",2012,-3.47395931557161,0.0725379762780615
"33",100,"Red Junglefowl","2013",2013,-3.40399778830254,0.0669194766360213
"34",100,"Red Junglefowl","2014",2014,-3.18744847765842,0.106814095569059
"35",100,"Red Junglefowl","2015",2015,-3.28992291432377,0.0708154126362706
"36",100,"Red Junglefowl","2016",2016,-3.13722697353098,0.104848823125979
"37",100,"Red Junglefowl","2017",2017,-3.11811891968757,0.104801233262501
"38",100,"Red Junglefowl","2018",2018,-3.67120572322211,0.085631185199863
"39",100,"Red Junglefowl","2019",2019,-3.43302827360044,0.0749939975359133
"40",100,"Red Junglefowl","2020",2020,-3.18584228753516,0.0720700062663334
"41",100,"Red Junglefowl","2021",2021,-3.48179624574933,0.0739933239252557
"42",100,"Red Junglefowl","2022",2022,-3.529289026498,0.107384447113644
"43",11,"Red Junglefowl","before 2000",1992,-3.36403666701404,0.110541092030299
"44",11,"Red Junglefowl","2000-2006",2003,-3.48196709272535,0.0754849268007232
"45",11,"Red Junglefowl","2007-2010",2009,-3.43542142765876,0.0705270240835361
"46",11,"Red Junglefowl","2011-2012",2012,-3.1254178831975,0.0947706264641123
"47",11,"Red Junglefowl","2013",2013,-3.34219807633455,0.0828670598146473
"48",11,"Red Junglefowl","2014",2014,-3.18634396565415,0.0700357634741994
"49",11,"Red Junglefowl","2015",2015,-3.67625833231707,0.0811538497221103
"50",11,"Red Junglefowl","2016",2016,-3.47925900295789,0.0716213267289327
"51",11,"Red Junglefowl","2017",2017,-3.40149445271552,0.0696689636118798
"52",11,"Red Junglefowl","2018",2018,-3.18729751252661,0.099135383525614
"53",11,"Red Junglefowl","2019",2019,-3.44331714452905,0.094196023094245
"54",11,"Red Junglefowl","2020",2020,-3.51866666942641,0.125343439796935
"55",11,"Red Junglefowl","2021",2021,-3.28920717035206,0.0720919326824
"56",11,"Red Junglefowl","2022",2022,-3.14778736153641,0.1029323086593
"57",12,"Red Junglefowl","before 2000",1992,-3.35811904444392,0.110508187218217
"58",12,"Red Junglefowl","2000-2006",2003,-3.47486129544496,0.0737792011662116
"59",12,"Red Junglefowl","2007-2010",2009,-3.52835151297536,0.104885108824206
"60",12,"Red Junglefowl","2011-2012",2012,-3.67529056287724,0.0771196154481723
"61",12,"Red Junglefowl","2013",2013,-3.18309443267754,0.0763400811228432
"62",12,"Red Junglefowl","2014",2014,-3.43006858844007,0.0775594209192318
"63",12,"Red Junglefowl","2015",2015,-3.39999060408036,0.0755946227707397
"64",12,"Red Junglefowl","2016",2016,-3.29183664812784,0.0718021725807634
"65",12,"Red Junglefowl","2017",2017,-3.19758784354342,0.104058887620398
"66",12,"Red Junglefowl","2018",2018,-3.34248830592758,0.0865699909140667
"67",12,"Red Junglefowl","2019",2019,-3.1468982957093,0.100155839228912
"68",12,"Red Junglefowl","2020",2020,-3.44986169082794,0.08732947394969
"69",12,"Red Junglefowl","2021",2021,-3.11443107360438,0.100917263418494
"70",12,"Red Junglefowl","2022",2022,-3.48168335138212,0.0744419820114093
"71",13,"Red Junglefowl","before 2000",1992,-3.36460144255035,0.104454146414169
"72",13,"Red Junglefowl","2000-2006",2003,-3.28629485725379,0.0749745557195209
"73",13,"Red Junglefowl","2007-2010",2009,-3.44223533355395,0.0952257209218403
"74",13,"Red Junglefowl","2011-2012",2012,-3.39879762179089,0.0718402449325649
"75",13,"Red Junglefowl","2013",2013,-3.42793129772776,0.0747226330871344
"76",13,"Red Junglefowl","2014",2014,-3.52746762147652,0.11278717095421
"77",13,"Red Junglefowl","2015",2015,-3.18578909736674,0.0956645925492136
"78",13,"Red Junglefowl","2016",2016,-3.11183468429751,0.0977607500552677
"79",13,"Red Junglefowl","2017",2017,-3.33858449219773,0.0878784528397265
"80",13,"Red Junglefowl","2018",2018,-3.17731884192663,0.0759370016482409
"81",13,"Red Junglefowl","2019",2019,-3.47706272934892,0.0759258656467331
"82",13,"Red Junglefowl","2020",2020,-3.14123258045605,0.103753923843328
"83",13,"Red Junglefowl","2021",2021,-3.67423689255651,0.0795084301596443
"84",13,"Red Junglefowl","2022",2022,-3.4717327843532,0.0752964466831122
"85",14,"Red Junglefowl","before 2000",1992,-3.34719643102373,0.108487131399818
"86",14,"Red Junglefowl","2000-2006",2003,-3.10817439870679,0.11105440955948
"87",14,"Red Junglefowl","2007-2010",2009,-3.12847988765997,0.10629473960907
"88",14,"Red Junglefowl","2011-2012",2012,-3.18907548583359,0.0959348895318781
