"","sl","COMMON.NAME","timegroupsf","timegroups","freq","se"
"1",1,"Red Junglefowl","before 2000",1992,-3.50850205265075,0.0947490186684998
"2",1,"Red Junglefowl","2000-2006",2003,-3.22919726458215,0.098155643368358
"3",1,"Red Junglefowl","2007-2010",2009,-3.31771239674038,0.0902932574013209
"4",1,"Red Junglefowl","2011-2012",2012,-3.37547682600194,0.0974094878585919
"5",1,"Red Junglefowl","2013",2013,-3.49838400015782,0.104522618459938
"6",1,"Red Junglefowl","2014",2014,-3.60473235463703,0.0908845660186448
"7",1,"Red Junglefowl","2015",2015,-3.5372211817089,0.0908576134669933
"8",1,"Red Junglefowl","2016",2016,-3.68022176381572,0.0836194431956666
"9",1,"Red Junglefowl","2017",2017,-3.32749467964689,0.0798299442554058
"10",1,"Red Junglefowl","2018",2018,-3.53523738163437,0.0812886106893618
"11",1,"Red Junglefowl","2019",2019,-3.58211324625271,0.082015546433242
"12",1,"Red Junglefowl","2020",2020,-3.5547866549758,0.0775028678176286
"13",1,"Red Junglefowl","2021",2021,-3.48398126797215,0.0753088525473071
"14",1,"Red Junglefowl","2022",2022,-3.38371244710952,0.0749428895208198
"15",10,"Red Junglefowl","before 2000",1992,-3.36179925912843,0.100535701613615
"16",10,"Red Junglefowl","2000-2006",2003,-3.1418577659483,0.104466418527843
"17",10,"Red Junglefowl","2007-2010",2009,-3.1801065249473,0.0722810177423067
"18",10,"Red Junglefowl","2011-2012",2012,-3.28805584810622,0.0738263451330763
"19",10,"Red Junglefowl","2013",2013,-3.18436260228376,0.106946726073629
"20",10,"Red Junglefowl","2014",2014,-3.34450191041775,0.0830617406347525
"21",10,"Red Junglefowl","2015",2015,-3.11468337569422,0.106020924914433
"22",10,"Red Junglefowl","2016",2016,-3.47503280589062,0.0747384607993747
"23",10,"Red Junglefowl","2017",2017,-3.67531955012605,0.0745079636586073
"24",10,"Red Junglefowl","2018",2018,-3.39346212200092,0.0786013772867455
"25",10,"Red Junglefowl","2019",2019,-3.52138651092487,0.114699137154595
"26",10,"Red Junglefowl","2020",2020,-3.42880004800445,0.0699732497564075
"27",10,"Red Junglefowl","2021",2021,-3.47536085078591,0.0731534843718024
"28",10,"Red Junglefowl","2022",2022,-3.43834151908007,0.092833008712076
"29",100,"Red Junglefowl","before 2000",1992,-3.34744798834008,0.113807320765924
"30",100,"Red Junglefowl","2000-2006",2003,-3.43147028214932,0.093071816442452
"31",100,"Red Junglefowl","2007-2010",2009,-3.33539547146935,0.0848143925274236
"32",100,"Red Junglefowl","2011-2012",2012,-3.47060448636318,0.077298078868861
"33",100,"Red Junglefowl","2013",2013,-3.39812335727376,0.0705322112202527
"34",100,"Red Junglefowl","2014",2014,-3.17843688603346,0.107543284364999
"35",100,"Red Junglefowl","2015",2015,-3.28318505901,0.0751027550668262
"36",100,"Red Junglefowl","2016",2016,-3.1311764951345,0.10057361308332
"37",100,"Red Junglefowl","2017",2017,-3.11729303758552,0.0989689586150155
"38",100,"Red Junglefowl","2018",2018,-3.67099171914312,0.0850846957351076
"39",100,"Red Junglefowl","2019",2019,-3.42354632039111,0.0802205538457612
"40",100,"Red Junglefowl","2020",2020,-3.17511786580382,0.079636291341412
"41",100,"Red Junglefowl","2021",2021,-3.47729429826011,0.0759653236929049
"42",100,"Red Junglefowl","2022",2022,-3.51810348276938,0.106275324808215
"43",11,"Red Junglefowl","before 2000",1992,-3.35554730950688,0.114046753111969
"44",11,"Red Junglefowl","2000-2006",2003,-3.48021696848271,0.0743739082944639
"45",11,"Red Junglefowl","2007-2010",2009,-3.43294930676669,0.0756645076626925
"46",11,"Red Junglefowl","2011-2012",2012,-3.11966400660452,0.0977204718021569
"47",11,"Red Junglefowl","2013",2013,-3.34212443043118,0.0854118020480921
"48",11,"Red Junglefowl","2014",2014,-3.17972570983974,0.0731631013853521
"49",11,"Red Junglefowl","2015",2015,-3.67490406138378,0.0772869049827316
"50",11,"Red Junglefowl","2016",2016,-3.473893734028,0.0782523985720687
"51",11,"Red Junglefowl","2017",2017,-3.40020798239789,0.0703726936470644
"52",11,"Red Junglefowl","2018",2018,-3.19004122698835,0.100523143280058
