"","sl","COMMON.NAME","timegroupsf","timegroups","freq","se"
"1",1,"Red Junglefowl","before 2000",1992,-3.52752845128397,0.0880058767757169
"2",1,"Red Junglefowl","2000-2006",2003,-3.41840067431296,0.0931580537592044
"3",1,"Red Junglefowl","2007-2010",2009,-3.40567003187891,0.0914384466434865
"4",1,"Red Junglefowl","2011-2012",2012,-3.50041486177863,0.0901717721534523
"5",1,"Red Junglefowl","2013",2013,-3.6580302283356,0.0931464916646502
"6",1,"Red Junglefowl","2014",2014,-3.70474179120655,0.0872833920501116
"7",1,"Red Junglefowl","2015",2015,-3.62337959818398,0.0839686232348066
"8",1,"Red Junglefowl","2016",2016,-3.79862102305344,0.0732208841588825
"9",1,"Red Junglefowl","2017",2017,-3.3875304300512,0.0692369171638405
"10",1,"Red Junglefowl","2018",2018,-3.60613425057788,0.0741077162768023
"11",1,"Red Junglefowl","2019",2019,-3.66317783169814,0.0748251152542281
"12",1,"Red Junglefowl","2020",2020,-3.68072584307021,0.0723480524190985
"13",1,"Red Junglefowl","2021",2021,-3.59324914195978,0.071839080742616
"14",1,"Red Junglefowl","2022",2022,-3.53751214797924,0.0705966689095752
"15",1,"Red Junglefowl","2023",2023,-3.4227858231246,0.0643565239364099
"16",1,"Red Junglefowl","2024",2024,-3.48941623454694,0.0663255829593339
"17",10,"Red Junglefowl","before 2000",1992,-3.56605266912193,0.0977489115763182
"18",10,"Red Junglefowl","2000-2006",2003,-3.3192205374468,0.0923554802971619
"19",10,"Red Junglefowl","2007-2010",2009,-3.29949099662873,0.097737731755428
"20",10,"Red Junglefowl","2011-2012",2012,-3.29311738964601,0.0934650760770942
"21",10,"Red Junglefowl","2013",2013,-3.65396234101042,0.0921393333753123
"22",10,"Red Junglefowl","2014",2014,-3.61322637527171,0.0907624082535441
"23",10,"Red Junglefowl","2015",2015,-3.47986053067518,0.0779628527508888
"24",10,"Red Junglefowl","2016",2016,-3.8116400974748,0.0782220033015042
"25",10,"Red Junglefowl","2017",2017,-3.24257893610883,0.0673775082767892
"26",10,"Red Junglefowl","2018",2018,-3.54375125270366,0.0687732715463572
"27",10,"Red Junglefowl","2019",2019,-3.58979104764228,0.0714972483906929
"28",10,"Red Junglefowl","2020",2020,-3.5993349924831,0.0651731154852412
"29",10,"Red Junglefowl","2021",2021,-3.53043057193707,0.0688923361620463
"30",10,"Red Junglefowl","2022",2022,-3.46636130212129,0.069231732947309
"31",10,"Red Junglefowl","2023",2023,-3.34680552696182,0.065675462710198
"32",10,"Red Junglefowl","2024",2024,-3.38231808113587,0.0660365523809248
"33",100,"Red Junglefowl","before 2000",1992,-3.56914987265214,0.115982337759518
"34",100,"Red Junglefowl","2000-2006",2003,-3.32413845051234,0.0964791205790581
"35",100,"Red Junglefowl","2007-2010",2009,-3.29531855562,0.0930351319661472
"36",100,"Red Junglefowl","2011-2012",2012,-3.28754090732961,0.094063976231674
"37",100,"Red Junglefowl","2013",2013,-3.64509662342034,0.104023857994424
"38",100,"Red Junglefowl","2014",2014,-3.60746291017365,0.0866871072562595
"39",100,"Red Junglefowl","2015",2015,-3.47896479780786,0.0788243586689589
"40",100,"Red Junglefowl","2016",2016,-3.81137919804256,0.0796131449433384
"41",100,"Red Junglefowl","2017",2017,-3.2371814852734,0.0679254739161708
"42",100,"Red Junglefowl","2018",2018,-3.54119720117063,0.0674813841736552
"43",100,"Red Junglefowl","2019",2019,-3.58967470663809,0.0757442376522046
"44",100,"Red Junglefowl","2020",2020,-3.59793088027688,0.0678326628242407
"45",100,"Red Junglefowl","2021",2021,-3.52872626324715,0.0708956295449474
"46",100,"Red Junglefowl","2022",2022,-3.46714238988933,0.069719639008483
"47",100,"Red Junglefowl","2023",2023,-3.34486267685909,0.063482696738575
"48",100,"Red Junglefowl","2024",2024,-3.38045516567465,0.0641777276677005
"49",11,"Red Junglefowl","before 2000",1992,-3.57468129213199,0.120252383729151
"50",11,"Red Junglefowl","2000-2006",2003,-3.32458324862148,0.0992451246284032
"51",11,"Red Junglefowl","2007-2010",2009,-3.29591416287467,0.0927830964936837
"52",11,"Red Junglefowl","2011-2012",2012,-3.30286379263489,0.0899919543079742
"53",11,"Red Junglefowl","2013",2013,-3.65336468516272,0.104696277605078
"54",11,"Red Junglefowl","2014",2014,-3.60311954268882,0.0855318693347737
"55",11,"Red Junglefowl","2015",2015,-3.48227342810579,0.0782198687590907
"56",11,"Red Junglefowl","2016",2016,-3.81045127679278,0.0746274646594411
"57",11,"Red Junglefowl","2017",2017,-3.2404652502216,0.0680778242608169
"58",11,"Red Junglefowl","2018",2018,-3.54388937565419,0.0678732131931126
"59",11,"Red Junglefowl","2019",2019,-3.59007123277837,0.0698113148298826
"60",11,"Red Junglefowl","2020",2020,-3.59554973504893,0.0700160975999855
"61",11,"Red Junglefowl","2021",2021,-3.53275944563152,0.067930478283894
"62",11,"Red Junglefowl","2022",2022,-3.47000699563752,0.0663524475940014
"63",11,"Red Junglefowl","2023",2023,-3.34536310749522,0.0644952557949214
"64",11,"Red Junglefowl","2024",2024,-3.3816559939522,0.0623512404453523
"65",12,"Red Junglefowl","before 2000",1992,-3.56364206486069,0.108136338837688
"66",12,"Red Junglefowl","2000-2006",2003,-3.30967160056619,0.0997785119368366
"67",12,"Red Junglefowl","2007-2010",2009,-3.29818685946292,0.0927765867157553
"68",12,"Red Junglefowl","2011-2012",2012,-3.29594727016938,0.0908177761009048
"69",12,"Red Junglefowl","2013",2013,-3.64703663489503,0.102152651002994
"70",12,"Red Junglefowl","2014",2014,-3.60387718606559,0.0874612421809728
"71",12,"Red Junglefowl","2015",2015,-3.46954471963907,0.0767987698211365
"72",12,"Red Junglefowl","2016",2016,-3.79986450969853,0.0835420834138899
"73",12,"Red Junglefowl","2017",2017,-3.2354173034487,0.0712348420435955
"74",12,"Red Junglefowl","2018",2018,-3.53441982937016,0.0720561237868642
"75",12,"Red Junglefowl","2019",2019,-3.58763499437448,0.0745742046665561
"76",12,"Red Junglefowl","2020",2020,-3.59485836556267,0.0636946639403716
"77",12,"Red Junglefowl","2021",2021,-3.52878612917783,0.0679199825582715
"78",12,"Red Junglefowl","2022",2022,-3.46912105344495,0.0699521968140874
"79",12,"Red Junglefowl","2023",2023,-3.34035681271934,0.0681397702111416
"80",12,"Red Junglefowl","2024",2024,-3.37828865789268,0.0666641376088076
"81",13,"Red Junglefowl","before 2000",1992,-3.58150538934149,0.107136766929936
"82",13,"Red Junglefowl","2000-2006",2003,-3.3301142277096,0.0912624967636143
"83",13,"Red Junglefowl","2007-2010",2009,-3.30786728507381,0.0886786347132703
"84",13,"Red Junglefowl","2011-2012",2012,-3.30380981683553,0.0951628110413094
"85",13,"Red Junglefowl","2013",2013,-3.65166472576851,0.102766213608911
"86",13,"Red Junglefowl","2014",2014,-3.61347099486612,0.091199030455714
"87",13,"Red Junglefowl","2015",2015,-3.48252281393642,0.0761041657067943
"88",13,"Red Junglefowl","2016",2016,-3.81645643311175,0.077060813445721
"89",13,"Red Junglefowl","2017",2017,-3.24780961953077,0.0621562680465367
"90",13,"Red Junglefowl","2018",2018,-3.54868570786409,0.0658221185693989
"91",13,"Red Junglefowl","2019",2019,-3.59959522192081,0.0634119861400012
"92",13,"Red Junglefowl","2020",2020,-3.60439363212177,0.064415811177455
"93",13,"Red Junglefowl","2021",2021,-3.53670192505617,0.0709901537739147
"94",13,"Red Junglefowl","2022",2022,-3.47582534450258,0.0670981859961839
"95",13,"Red Junglefowl","2023",2023,-3.35123076275417,0.0634573490240078
"96",13,"Red Junglefowl","2024",2024,-3.38631272041355,0.0673669726426122
"97",14,"Red Junglefowl","before 2000",1992,-3.56775273766498,0.0964322357839642
"98",14,"Red Junglefowl","2000-2006",2003,-3.32064342708059,0.104795738366527
"99",14,"Red Junglefowl","2007-2010",2009,-3.30457808145245,0.0913792856541853
"100",14,"Red Junglefowl","2011-2012",2012,-3.30206892829872,0.0939474515261478
"101",14,"Red Junglefowl","2013",2013,-3.64352504772791,0.0979133234976649
"102",14,"Red Junglefowl","2014",2014,-3.61681142842567,0.0894134023662286
"103",14,"Red Junglefowl","2015",2015,-3.4813766869641,0.0804599318798496
"104",14,"Red Junglefowl","2016",2016,-3.81805293745902,0.0738074287274935
"105",14,"Red Junglefowl","2017",2017,-3.24249383306574,0.0669577360343987
"106",14,"Red Junglefowl","2018",2018,-3.54254223882318,0.0734908401976153
"107",14,"Red Junglefowl","2019",2019,-3.59403393933521,0.0750402031990618
"108",14,"Red Junglefowl","2020",2020,-3.60054887344761,0.0714342311032911
"109",14,"Red Junglefowl","2021",2021,-3.53160730072946,0.06995885496192
"110",14,"Red Junglefowl","2022",2022,-3.47269666948176,0.0651792498121065
"111",14,"Red Junglefowl","2023",2023,-3.34415259044748,0.0691240927130854
"112",14,"Red Junglefowl","2024",2024,-3.38087394777432,0.0712895445002834
"113",15,"Red Junglefowl","before 2000",1992,-3.56240366203224,0.106577157691172
"114",15,"Red Junglefowl","2000-2006",2003,-3.3196725974262,0.105113216058944
"115",15,"Red Junglefowl","2007-2010",2009,-3.29780638934524,0.0920859473235954
"116",15,"Red Junglefowl","2011-2012",2012,-3.29323336134693,0.0965481401310011
"117",15,"Red Junglefowl","2013",2013,-3.64600502334217,0.0959043181755271
"118",15,"Red Junglefowl","2014",2014,-3.61010065507057,0.0890967033207448
"119",15,"Red Junglefowl","2015",2015,-3.47911955631822,0.0795810867885226
"120",15,"Red Junglefowl","2016",2016,-3.81125742029524,0.0710796732106109
"121",15,"Red Junglefowl","2017",2017,-3.2412495203294,0.0650418303590704
"122",15,"Red Junglefowl","2018",2018,-3.54076894230357,0.0635667433360526
"123",15,"Red Junglefowl","2019",2019,-3.59324882701048,0.0704471796015104
"124",15,"Red Junglefowl","2020",2020,-3.59500878127483,0.0678783240420348
"125",15,"Red Junglefowl","2021",2021,-3.52966614200237,0.0636437262292348
"126",15,"Red Junglefowl","2022",2022,-3.46982640522239,0.0670548701237377
"127",15,"Red Junglefowl","2023",2023,-3.34620435947579,0.0599771245877192
"128",15,"Red Junglefowl","2024",2024,-3.37896729420494,0.0611415891297729
"129",16,"Red Junglefowl","before 2000",1992,-3.56325553353468,0.106825780998725
"130",16,"Red Junglefowl","2000-2006",2003,-3.31657986658116,0.1066239906617
"131",16,"Red Junglefowl","2007-2010",2009,-3.3020350636003,0.0912927322225348
"132",16,"Red Junglefowl","2011-2012",2012,-3.29436603957733,0.0900213313120132
"133",16,"Red Junglefowl","2013",2013,-3.64255767409142,0.104734570077122
"134",16,"Red Junglefowl","2014",2014,-3.60334085661053,0.0895565331289868
"135",16,"Red Junglefowl","2015",2015,-3.47345514085475,0.082108550487163
"136",16,"Red Junglefowl","2016",2016,-3.79843798560994,0.0808026189322918
"137",16,"Red Junglefowl","2017",2017,-3.23178227857073,0.0746261214970776
"138",16,"Red Junglefowl","2018",2018,-3.53716275067899,0.0754151346393834
"139",16,"Red Junglefowl","2019",2019,-3.58269865440679,0.0805382502649772
"140",16,"Red Junglefowl","2020",2020,-3.59087368423644,0.0725079700701347
"141",16,"Red Junglefowl","2021",2021,-3.52535816137673,0.0713753108991677
