"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1988,"Gray Francolin","before 2000",0.121000205059952,0.144560253907915,0.169794413215089,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Gray Francolin","2000-2006",0.0953311265007622,0.116214198146187,0.138631451571787,68.9219436759905,80.5200882622776,93.6168352845779,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Gray Francolin","2007-2010",0.124334849081339,0.147963647799989,0.174656998569292,88.6453004287414,102.47809662817,119.146391831032,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Gray Francolin","2011-2012",0.14818693083014,0.179066954797215,0.213356020532138,107.050546828088,123.24886232569,142.06389818112,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Gray Francolin","2013",0.136425245581574,0.165209112043398,0.197104343518482,98.6812087928317,114.756060423616,132.24913041602,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Gray Francolin","2014",0.179979647560012,0.210593954881124,0.245598327437028,130.104581605952,145.981668095961,165.299665350806,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Gray Francolin","2015",0.148198714979129,0.172550535737281,0.199952655842538,107.055849382139,119.720100320738,133.526655623667,100,100,100,NA,NA,NA,100,100,100
2016,"Gray Francolin","2016",0.180797177248902,0.208321333323461,0.241741804420778,131.192523914125,144.563064603776,161.577143461163,112.873833153796,121.013163850271,130.122112068414,NA,NA,NA,112.873833153796,121.013163850271,130.122112068414
2017,"Gray Francolin","2017",0.178072530655485,0.205427557411365,0.23644991727459,128.598027975686,142.466279729285,157.946605367078,111.680145316066,119.196560791307,127.952993635063,NA,NA,NA,111.680145316066,119.196560791307,127.952993635063
2018,"Gray Francolin","2018",0.188573481861553,0.21507937539801,0.246800873004236,134.915229467255,149.010650229737,166.064852586561,116.902290427747,124.561309929513,133.73271002096,NA,NA,NA,116.902290427747,124.561309929513,133.73271002096
2019,"Gray Francolin","2019",0.196106474020506,0.224563176448655,0.255920236522791,140.499256992707,155.696104009862,172.004053783324,121.863830549602,130.200926478039,138.98811913023,NA,NA,NA,121.863830549602,130.200926478039,138.98811913023
2020,"Gray Francolin","2020",0.2022733067238,0.232236500191104,0.26530336493716,145.205447214079,160.831582832482,178.462349547162,126.607806711792,134.574389442534,143.551630982186,NA,NA,NA,126.607806711792,134.574389442534,143.551630982186
2021,"Gray Francolin","2021",0.194504085772523,0.222960880243548,0.255257983274754,140.514011209787,155.022966102698,171.521200180773,122.190460588424,129.607930369428,138.347976876989,NA,NA,NA,122.190460588424,129.607930369428,138.347976876989
2022,"Gray Francolin","2022",0.202482921497836,0.231379798010982,0.26547395699323,145.395431095514,160.738843461065,177.625432405417,125.93373588371,133.973435527586,143.629633528329,NA,NA,NA,125.93373588371,133.973435527586,143.629633528329
2023,"Gray Francolin","2023",0.194463053153364,0.223662963082444,0.255107875838791,140.367138881572,154.938337762764,172.029705614777,121.529456958291,129.39839421985,138.06616829536,NA,NA,NA,121.529456958291,129.39839421985,138.06616829536
2024,"Gray Francolin","2024",0.196570224507755,0.22553257787704,0.257269783738099,142.18172957992,156.482588544306,173.162120722167,123.358123060027,130.828111936592,139.576320002418,NA,NA,NA,123.358123060027,130.828111936592,139.576320002418
2025,"Gray Francolin","2025",0.204017149796719,0.233864203279141,0.267111863659868,147.622506754751,162.580171627758,179.358255324277,127.765879057937,135.74385381684,144.783953658032,NA,NA,NA,127.765879057937,135.74385381684,144.783953658032
2026,"Gray Francolin","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,131.822305367018,142.129398711397,153.307529077441,131.822305367018,142.129398711397,153.307529077441
2027,"Gray Francolin","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,133.205705413302,145.083155327067,158.039738915732,133.205705413302,145.083155327067,158.039738915732
2028,"Gray Francolin","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,134.495329276203,148.070897134818,162.964638296729,134.495329276203,148.070897134818,162.964638296729
2029,"Gray Francolin","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,135.794169524182,151.118640742853,168.069643459335,135.794169524182,151.118640742853,168.069643459335
2030,"Gray Francolin","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,137.089475552765,154.241185261334,173.335676735495,137.089475552765,154.241185261334,173.335676735495
2031,"Gray Francolin","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,138.404081700047,157.423209945865,178.862638002655,138.404081700047,157.423209945865,178.862638002655
2032,"Gray Francolin","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,139.735604996329,160.721957454092,184.545473247797,139.735604996329,160.721957454092,184.545473247797
2033,"Gray Francolin","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,141.087940936166,164.02513182163,190.405902629536,141.087940936166,164.02513182163,190.405902629536
1988,"Painted Bush-Quail","before 2000",8.01230081082738e-10,0.0118614940851007,0.0399671178370732,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Painted Bush-Quail","2000-2006",7.55282101185193e-10,0.017821646943946,0.0693308169801205,3.56321915734389e-06,109.666154373197,4349405363.83992,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Painted Bush-Quail","2007-2010",9.14947195960531e-10,0.00949102504517275,0.0304089464415411,3.27130516515479e-06,85.6121935438358,2385325021.46139,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Painted Bush-Quail","2011-2012",6.86896660235381e-10,8.155605473141e-10,2.35257266545391e-09,2.09103606068954e-06,7.63356482335248e-06,95.2723626453737,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Painted Bush-Quail","2013",8.38491738771939e-10,0.00736679381725622,0.0250757662103831,2.79833223833988e-06,64.1246703636495,1781384458.96092,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Painted Bush-Quail","2014",6.52872317585086e-10,7.41871976813623e-10,2.09806088192701e-09,1.91551060165888e-06,7.02155473106329e-06,87.7728257162845,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Painted Bush-Quail","2015",6.06282398316553e-10,0.00214780869832193,0.00741571419261852,2.0419969426263e-06,19.328518434423,559134993.990426,100,100,100,NA,NA,NA,100,100,100
2016,"Painted Bush-Quail","2016",6.03123273284124e-10,6.63197264533696e-10,1.84107784343223e-09,1.74960886801914e-06,6.2740923198018e-06,78.8552030358119,9.8062441857554e-06,4.04022502300651e-05,102.193164880222,NA,NA,NA,9.8062441857554e-06,4.04022502300651e-05,102.193164880222
2017,"Painted Bush-Quail","2017",5.99561843258862e-10,0.0027352905153043,0.00719621183156401,2.40653144248384e-06,27.9236178636959,591724195.02911,1.43969261108355e-05,126.550235828159,835144753.600831,NA,NA,NA,1.43969261108355e-05,126.550235828159,835144753.600831
2018,"Painted Bush-Quail","2018",6.11611715867556e-10,0.0033166618384613,0.00792729407220182,5.29779728675304e-06,32.5274786534907,678737829.292935,3.07485271035406e-05,156.025321809632,973239182.542923,NA,NA,NA,3.07485271035406e-05,156.025321809632,973239182.542923
2019,"Painted Bush-Quail","2019",0.00697985420750054,0.0129169420250745,0.0206147542163223,26.9159403955221,116.531111090662,1905194890.2219,146.174415364075,630.776207389603,2726371653.07688,NA,NA,NA,146.174415364075,630.776207389603,2726371653.07688
2020,"Painted Bush-Quail","2020",0.00274006327311702,0.00722662090613005,0.0125138404702936,12.2107663584624,63.3813561794918,1175543131.72635,75.4877437057439,345.497059530508,1716941969.95102,NA,NA,NA,75.4877437057439,345.497059530508,1716941969.95102
2021,"Painted Bush-Quail","2021",0.00279217670479823,0.00670120633294845,0.0117067636975004,12.8005206550532,58.1072022186158,1085054190.3861,73.2225842461642,336.721183803955,1597758486.70011,NA,NA,NA,73.2225842461642,336.721183803955,1597758486.70011
2022,"Painted Bush-Quail","2022",0.0036434173758743,0.00687018945870454,0.0106234365228972,14.0067270776341,59.538729438994,1030867120.12833,77.7297446562106,337.142476633127,1421212248.89167,NA,NA,NA,77.7297446562106,337.142476633127,1421212248.89167
2023,"Painted Bush-Quail","2023",0.00695547162091341,0.0107667085143681,0.0150266909705944,23.5879393896671,94.6423079419139,1447705646.28817,136.850846754886,520.6185398661,2028118920.91154,NA,NA,NA,136.850846754886,520.6185398661,2028118920.91154
2024,"Painted Bush-Quail","2024",0.0138900307436783,0.0186002491788798,0.0238287805658705,43.6739737709043,159.60307184374,2386568987.09919,242.855778288146,877.851605418019,3331952828.6096,NA,NA,NA,242.855778288146,877.851605418019,3331952828.6096
2025,"Painted Bush-Quail","2025",0.0162822158698966,0.0212566308757344,0.0271217982658178,50.1263176396021,183.326603714604,2793152400.79997,282.06457013632,1003.11983313038,3885403298.54005,NA,NA,NA,282.06457013632,1003.11983313038,3885403298.54005
