"eBird.English.Name.2025","currentslopelci1","currentslopemean1","currentsloperci1","currentslopelci2","currentslopemean2","currentsloperci2","currentslopelci3","currentslopemean3","currentsloperci3","currentslopelci4","currentslopemean4","currentsloperci4","currentslopelci5","currentslopemean5","currentsloperci5","currentslopelci6","currentslopemean6","currentsloperci6","currentslopelci7","currentslopemean7","currentsloperci7","currentslopelci8","currentslopemean8","currentsloperci8","currentslopelci9","currentslopemean9","currentsloperci9","currentslopelci10","currentslopemean10","currentsloperci10","currentslopelci11","currentslopemean11","currentsloperci11"
"Fulvous Whistling-Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser Whistling-Duck",-4.78852329522075,-1.90955898035685,0.96940533450705,-5.40635351261963,-2.50992127837747,0.386510955864684,-5.15366768745933,-2.40497760254534,0.343712482368647,-5.33022395966364,-3.05605845281509,-0.781892945966535,-4.9628126185364,-2.48816276126056,-0.0135129039847106,-4.85442552673074,-2.6260388994733,-0.397652272215855,-5.30149328041577,-2.61009852897586,0.0812962224640439,-5.33151050421792,-2.59721424537145,0.137082013475011,-5.246720103782,-2.46522893685644,0.316262230069119,-5.81221093286553,-2.92471353902579,-0.0372161451860462,-6.26829857498267,-3.34564452508954,-0.422990475196412
"Bar-headed Goose",-3.29327124588006,-0.105557596443073,3.08215605299392,-2.95643222465181,0.0791707008627996,3.11477362637741,-2.31881937263488,0.505538730121149,3.32989683287717,-2.69721370121102,0.167993712961171,3.03320112713336,-2.08475158505208,0.328710157867723,2.74217190078753,-2.09431361740171,0.146520535874179,2.38735468915006,-2.59021498610372,0.217478551502701,3.02517208910913,-2.55354016833156,0.296738447414479,3.14701706316052,-2.92386282604843,0.0543485908925916,3.03256000783361,-3.14216519412233,-0.0496781494443763,3.04280889523358,-3.54586241600522,-0.323342646894763,2.8991771222157
"Graylag Goose",-1.12305414665435,0.500848549375305,2.12475124540496,-2.10477289542891,-0.559330460767276,0.986111973894357,-1.77457246523479,-0.066843666483451,1.64088513226789,-1.59137710104914,0.0246150429123853,1.64060718687391,-1.72916007527459,-0.143101098788207,1.44295787769817,-1.64559356922312,-0.0661964165987236,1.51320073602567,-1.74761358799958,-0.0962679289400709,1.55507773011943,-1.8240022232807,-0.187990790446526,1.44802064238765,-1.79298305542452,-0.0508655205004579,1.69125201442361,-2.06206180393603,-0.293923972224018,1.47421385948799,-1.63345145381815,0.231075264663481,2.09560198314511
"Greater White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barnacle Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-breasted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mute Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
