"gridg0","group.id","month","timegroups"
"137383","S110803849",10,"before 2000"
"137383","S110803581",10,"before 2000"
"40500","S56839095",4,"before 2000"
"40500","S56791101",5,"before 2000"
"294658","S56243890",10,"before 2000"
"292297","S56269388",1,"before 2000"
"292297","S56270283",1,"before 2000"
"287808","S56348714",2,"before 2000"
"287808","S56358512",2,"before 2000"
"287808","S56350536",2,"before 2000"
"287808","S56345734",2,"before 2000"
"287808","S56388895",2,"before 2000"
"287808","S56354642",2,"before 2000"
"287808","S56367693",2,"before 2000"
"287808","S56371990",2,"before 2000"
"287808","S56389206",2,"before 2000"
"28799","S98729280",11,"before 2000"
"69086","S35246849",12,"before 2000"
"69086","S35246879",12,"before 2000"
"69086","S35246818",12,"before 2000"
"40500","S35323816",1,"before 2000"
"40500","S35778546",1,"before 2000"
"294658","S36294468",2,"before 2000"
"277735","S36745324",2,"before 2000"
"294658","S16523476",9,"before 2000"
"294658","S16530686",2,"before 2000"
"394038","S16740036",7,"before 2000"
"69086","S41691779",12,"before 2000"
"69737","S41691014",12,"before 2000"
"297234","S10328639",4,"before 2000"
"230836","S89927556",12,"before 2000"
"287211","S12402211",9,"before 2000"
"237307","S89878170",10,"before 2000"
"294658","S299206887",10,"before 2000"
"292297","G4676074",10,"before 2000"
"289698","G4676080",10,"before 2000"
"292297","G4676070",10,"before 2000"
"394038","G4676167",11,"before 2000"
"394038","G4676171",11,"before 2000"
"294658","G4676184",11,"before 2000"
"289698","G4676083",11,"before 2000"
"294658","G4676190",12,"before 2000"
"294658","G4676187",12,"before 2000"
"208056","S89832517",4,"before 2000"
"206760","S89832271",4,"before 2000"
"208054","S89833544",4,"before 2000"
"208054","S89833753",4,"before 2000"
"208054","S89832939",4,"before 2000"
"246391","S274192098",8,"before 2000"
"294658","S7807810",8,"before 2000"
"294658","S27743248",8,"before 2000"
"294658","S7808367",8,"before 2000"
"349900","S52055915",9,"before 2000"
"294658","S89335291",10,"before 2000"
"71032","G1420746",1,"before 2000"
"294658","S185337921",1,"before 2000"
"294658","S35164277",1,"before 2000"
"294658","S185340142",1,"before 2000"
"294658","S35278385",1,"before 2000"
"294658","S185913282",1,"before 2000"
"294658","S185347082",1,"before 2000"
"93107","S83389897",2,"before 2000"
"224526","S204667137",2,"before 2000"
"294658","S204670122",3,"before 2000"
"349900","S50192300",4,"before 2000"
"294658","S59213438",4,"before 2000"
"294658","S59217006",4,"before 2000"
"294658","S59217275",4,"before 2000"
"294658","S59213199",4,"before 2000"
"294658","S59216763",4,"before 2000"
"294658","S59215548",4,"before 2000"
"371340","S50239132",5,"before 2000"
"371340","S50238709",5,"before 2000"
"394038","S59286963",7,"before 2000"
"394038","S59288001",7,"before 2000"
"394038","S59282540",7,"before 2000"
"394038","S59289480",7,"before 2000"
"394038","S59283327",7,"before 2000"
"394038","S59283513",7,"before 2000"
"394038","S59283698",7,"before 2000"
"394038","S59283759",7,"before 2000"
"394038","S59289968",7,"before 2000"
"394038","S59302523",8,"before 2000"
"394038","S59302389",8,"before 2000"
"243759","S276214421",9,"before 2000"
"248336","S89527132",10,"before 2000"
"294658","S89335292",10,"before 2000"
"277735","S89335330",1,"before 2000"
"294658","S12927032",2,"before 2000"
"294658","S12927002",2,"before 2000"
"289108","S66857754",4,"before 2000"
"289108","S66856951",4,"before 2000"
"289108","S66858331",4,"before 2000"
"289108","S66858728",4,"before 2000"
"289108","S66855169",4,"before 2000"
"289108","S66859178",4,"before 2000"
"289108","S66855953",4,"before 2000"
"205460","S89574696",4,"before 2000"
"205460","S89574941",4,"before 2000"
"207409","S89574013",4,"before 2000"
"207409","S89574332",4,"before 2000"
"359657","S59642693",4,"before 2000"
"359657","S59643016",4,"before 2000"
"359657","S59627078",4,"before 2000"
"359657","S59545142",4,"before 2000"
"359657","S59628244",4,"before 2000"
"359657","S59643632",4,"before 2000"
"359657","S59624975",4,"before 2000"
"359657","S59625689",4,"before 2000"
"359657","S59628850",4,"before 2000"
"359657","S59544646",4,"before 2000"
"359657","S59628698",4,"before 2000"
"359657","S59643388",4,"before 2000"
"359657","S59643773",4,"before 2000"
"359657","S59627371",4,"before 2000"
"359657","S59485391",4,"before 2000"
"359657","S59643097",4,"before 2000"
"359657","S59629023",4,"before 2000"
"359657","S59642453",4,"before 2000"
"359657","S59642853",4,"before 2000"
"359657","S59628393",4,"before 2000"
"359657","S59644080",4,"before 2000"
"359657","S59628498",4,"before 2000"
"359657","S59544526",4,"before 2000"
"294658","S115541677",4,"before 2000"
"289698","G4676293",4,"before 2000"
"289698","G4676291",4,"before 2000"
"359657","S59810079",5,"before 2000"
"359657","S59920230",5,"before 2000"
"359657","S59920308",5,"before 2000"
"297234","S27721175",7,"before 2000"
"294658","S94975450",11,"before 2000"
"207409","S89631179",2,"before 2000"
"205460","S89632222",3,"before 2000"
"205460","S89631965",3,"before 2000"
"207409","S89631631",3,"before 2000"
"344753","S89633357",7,"before 2000"
"346054","S89634763",7,"before 2000"
"344753","S89632797",7,"before 2000"
"346054","S89633429",7,"before 2000"
"346054","S89634538",7,"before 2000"
