"LOCALITY.ID","group.id","month","timegroups"
"L18825744","S110803849",10,"before 2000"
"L18825744","S110803581",10,"before 2000"
"L4199766","S56839095",4,"before 2000"
"L4199766","S56791101",5,"before 2000"
"L946706","S56243890",10,"before 2000"
"L9265187","S56269388",1,"before 2000"
"L9265187","S56270283",1,"before 2000"
"L4871916","S56348714",2,"before 2000"
"L4871916","S56358512",2,"before 2000"
"L4871916","S56350536",2,"before 2000"
"L4871916","S56345734",2,"before 2000"
"L4871916","S56388895",2,"before 2000"
"L4871916","S56354642",2,"before 2000"
"L4871916","S56367693",2,"before 2000"
"L4871916","S56371990",2,"before 2000"
"L4871916","S56389206",2,"before 2000"
"L4005855","S98729280",11,"before 2000"
"L932559","S35246849",12,"before 2000"
"L932559","S35246879",12,"before 2000"
"L932559","S35246818",12,"before 2000"
"L4199766","S35323816",1,"before 2000"
"L4199766","S35778546",1,"before 2000"
"L946706","S36294468",2,"before 2000"
"L946220","S36745324",2,"before 2000"
"L946706","S16523476",9,"before 2000"
"L946706","S16530686",2,"before 2000"
"L2593851","S16740036",7,"before 2000"
"L932559","S41691779",12,"before 2000"
"L5381079","S41691014",12,"before 2000"
"L921959","S10328639",4,"before 2000"
"L10608476","S89927556",12,"before 2000"
"L976256","S12402211",9,"before 2000"
"L15304157","S89878170",10,"before 2000"
"L946706","S299206887",10,"before 2000"
"L8415398","G4676074",10,"before 2000"
"L2566831","G4676080",10,"before 2000"
"L8415398","G4676070",10,"before 2000"
"L2742480","G4676167",11,"before 2000"
"L2742480","G4676171",11,"before 2000"
"L946706","G4676184",11,"before 2000"
"L2566831","G4676083",11,"before 2000"
"L946706","G4676190",12,"before 2000"
"L946706","G4676187",12,"before 2000"
"L15178344","S89832517",4,"before 2000"
"L967212","S89832271",4,"before 2000"
"L15293924","S89833544",4,"before 2000"
"L15293924","S89833753",4,"before 2000"
"L15293924","S89832939",4,"before 2000"
"L17257710","S274192098",8,"before 2000"
"L946706","S7807810",8,"before 2000"
"L946706","S27743248",8,"before 2000"
"L946706","S7808367",8,"before 2000"
"L3373344","S52055915",9,"before 2000"
"L15180981","S89335291",10,"before 2000"
"L3171966","G1420746",1,"before 2000"
"L946706","S185337921",1,"before 2000"
"L946706","S35164277",1,"before 2000"
"L946706","S185340142",1,"before 2000"
"L946706","S35278385",1,"before 2000"
"L946706","S185913282",1,"before 2000"
"L946706","S185347082",1,"before 2000"
"L14030353","S83389897",2,"before 2000"
"L1016606","S204667137",2,"before 2000"
"L946706","S204670122",3,"before 2000"
"L3373344","S50192300",4,"before 2000"
"L946706","S59213438",4,"before 2000"
"L946706","S59217006",4,"before 2000"
"L946706","S59217275",4,"before 2000"
"L946706","S59213199",4,"before 2000"
"L946706","S59216763",4,"before 2000"
"L946706","S59215548",4,"before 2000"
"L8188499","S50239132",5,"before 2000"
"L8188499","S50238709",5,"before 2000"
"L2742480","S59286963",7,"before 2000"
"L2742480","S59288001",7,"before 2000"
"L2742480","S59282540",7,"before 2000"
"L2742480","S59289480",7,"before 2000"
"L2742480","S59283327",7,"before 2000"
"L2742480","S59283513",7,"before 2000"
"L2742480","S59283698",7,"before 2000"
"L2742480","S59283759",7,"before 2000"
"L2742480","S59289968",7,"before 2000"
"L2742480","S59302523",8,"before 2000"
"L2742480","S59302389",8,"before 2000"
"L4198302","S276214421",9,"before 2000"
"L15222430","S89527132",10,"before 2000"
"L15180981","S89335292",10,"before 2000"
"L15181005","S89335330",1,"before 2000"
"L946706","S12927032",2,"before 2000"
"L946706","S12927002",2,"before 2000"
"L2678036","S66857754",4,"before 2000"
"L2678036","S66856951",4,"before 2000"
"L2678036","S66858331",4,"before 2000"
"L2678036","S66858728",4,"before 2000"
"L2678036","S66855169",4,"before 2000"
"L2678036","S66859178",4,"before 2000"
"L2678036","S66855953",4,"before 2000"
"L15210049","S89574696",4,"before 2000"
"L15210049","S89574941",4,"before 2000"
"L15221009","S89574013",4,"before 2000"
"L15221009","S89574332",4,"before 2000"
"L9894315","S59642693",4,"before 2000"
"L9893732","S59643016",4,"before 2000"
"L9881675","S59627078",4,"before 2000"
"L9881658","S59545142",4,"before 2000"
"L9893732","S59628244",4,"before 2000"
"L9881658","S59643632",4,"before 2000"
"L9881675","S59624975",4,"before 2000"
"L9881658","S59625689",4,"before 2000"
"L9894315","S59628850",4,"before 2000"
"L9881658","S59544646",4,"before 2000"
"L9894350","S59628698",4,"before 2000"
"L9881675","S59643388",4,"before 2000"
"L9881675","S59643773",4,"before 2000"
"L9881675","S59627371",4,"before 2000"
"L9881631","S59485391",4,"before 2000"
"L9881675","S59643097",4,"before 2000"
"L9894350","S59629023",4,"before 2000"
"L9894350","S59642453",4,"before 2000"
"L9894155","S59642853",4,"before 2000"
"L9894155","S59628393",4,"before 2000"
"L9881658","S59644080",4,"before 2000"
"L9894315","S59628498",4,"before 2000"
"L9873065","S59544526",4,"before 2000"
"L946706","S115541677",4,"before 2000"
"L2566831","G4676293",4,"before 2000"
"L2566831","G4676291",4,"before 2000"
"L9881658","S59810079",5,"before 2000"
"L9881658","S59920230",5,"before 2000"
"L9881675","S59920308",5,"before 2000"
"L921959","S27721175",7,"before 2000"
"L16435082","S94975450",11,"before 2000"
"L15221009","S89631179",2,"before 2000"
"L15210049","S89632222",3,"before 2000"
"L15210049","S89631965",3,"before 2000"
"L15221009","S89631631",3,"before 2000"
"L15247232","S89633357",7,"before 2000"
"L15247511","S89634763",7,"before 2000"
"L15247110","S89632797",7,"before 2000"
"L15247254","S89633429",7,"before 2000"
"L15247254","S89634538",7,"before 2000"
"L15247254","S89634503",7,"before 2000"
"L15247254","S89634603",7,"before 2000"
"L15247144","S89633060",7,"before 2000"
"L11027729","S89632399",7,"before 2000"
"L53787348","S278094557",7,"before 2000"
"L946706","S24658475",11,"before 2000"
"L41875198","S222338589",1,"before 2000"
"L41875198","S222941430",1,"before 2000"
"L41875198","S221820149",1,"before 2000"
"L987622","S24445688",1,"before 2000"
"L967212","S89462473",3,"before 2000"
"L2567411","S24502199",4,"before 2000"
"L946220","S56891140",5,"before 2000"
"L2742480","S181633916",6,"before 2000"
"L2743097","S181733689",6,"before 2000"
"L2743097","S24503909",6,"before 2000"
"L1016606","S16910315",6,"before 2000"
"L1016606","S181546555",6,"before 2000"
"L2742480","S24453277",7,"before 2000"
"L946706","S50019109",11,"before 2000"
"L946706","S53604937",11,"before 2000"
"L946706","S53604342",11,"before 2000"
"L987622","S55101691",11,"before 2000"
"L987622","S55101734",11,"before 2000"
"L987622","S55101651",11,"before 2000"
"L946706","S142024676",12,"before 2000"
"L946706","S55100405",12,"before 2000"
"L946706","S141906926",12,"before 2000"
"L3147957","S23239591",12,"before 2000"
"L2386783","S56891128",12,"before 2000"
"L1131599","S92747786",1,"before 2000"
"L1131604","S92747782",1,"before 2000"
"L1131604","S92747777",1,"before 2000"
"L976256","S92747280",1,"before 2000"
"L5396438","S39902525",1,"before 2000"
"L3139728","S20473210",1,"before 2000"
"L2567411","S41812169",1,"before 2000"
"L946706","S191347080",2,"before 2000"
"L946706","S190367034",2,"before 2000"
"L946706","S184527572",2,"before 2000"
"L946706","S184529924",2,"before 2000"
"L946706","S184525981",2,"before 2000"
"L1076318","G1364984",3,"before 2000"
"L13743594","S184688321",3,"before 2000"
"L13743594","S184689401",3,"before 2000"
"L15210049","S89517750",4,"before 2000"
"L15210049","S89469717",4,"before 2000"
"L15210049","S89469120",4,"before 2000"
"L15221009","S89518116",4,"before 2000"
"L5073944","S32473962",6,"before 2000"
