"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1992,"Painted Francolin","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Painted Francolin","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Painted Francolin","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Painted Francolin","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Painted Francolin","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Painted Francolin","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Painted Francolin","2015",0.0244351616218671,0.0323893581970472,0.0423138982140126,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Painted Francolin","2016",0.0360643445466867,0.0464037781090372,0.0582058343181533,NA,NA,NA,116.990197060328,143.273748033153,177.139843420507,NA,NA,NA,116.990197060328,143.273748033153,177.139843420507
2017,"Painted Francolin","2017",0.0456138703687907,0.0572610943415406,0.0715688262779746,NA,NA,NA,146.052674279211,177.844359183385,217.519014656946,NA,NA,NA,146.052674279211,177.844359183385,217.519014656946
2018,"Painted Francolin","2018",0.0379832025174807,0.0482637982802475,0.0595929337255266,NA,NA,NA,121.421357451591,148.000120110973,177.83248564639,NA,NA,NA,121.421357451591,148.000120110973,177.83248564639
2019,"Painted Francolin","2019",0.0446492854727019,0.0559269506822795,0.0688145301226564,NA,NA,NA,143.545587272336,172.405364467313,208.785053807341,NA,NA,NA,143.545587272336,172.405364467313,208.785053807341
2020,"Painted Francolin","2020",0.0375866760147731,0.0471678917715962,0.0575622453119137,NA,NA,NA,122.02674278029,145.741819384172,176.165435005448,NA,NA,NA,122.02674278029,145.741819384172,176.165435005448
2021,"Painted Francolin","2021",0.0349243401937989,0.043416613771705,0.0538308169463289,NA,NA,NA,112.716307501389,134.960364044819,163.248334353585,NA,NA,NA,112.716307501389,134.960364044819,163.248334353585
2022,"Painted Francolin","2022",0.0354894917272017,0.0442231502493676,0.0539888541992001,NA,NA,NA,114.535122299105,136.88896728917,165.019814460269,NA,NA,NA,114.535122299105,136.88896728917,165.019814460269
2023,"Painted Francolin","2023",0.0282533562178931,0.0352175041768709,0.0433046090996438,NA,NA,NA,90.1353930066448,108.755558175399,130.303385829148,NA,NA,NA,90.1353930066448,108.755558175399,130.303385829148
2024,"Painted Francolin","2024",0.0310549876872015,0.0393276376750412,0.048096202468491,NA,NA,NA,101.965915222261,120.733946766546,144.479504872257,NA,NA,NA,101.965915222261,120.733946766546,144.479504872257
2025,"Painted Francolin","2025",0.0279188412505581,0.0348331771737674,0.0426122747039156,NA,NA,NA,89.7408623794489,107.640599860092,129.23268969786,NA,NA,NA,89.7408623794489,107.640599860092,129.23268969786
2026,"Painted Francolin","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,93.5430917373559,118.926110524427,150.97106546578,93.5430917373559,118.926110524427,150.97106546578
2027,"Painted Francolin","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,88.7537600650276,116.570647511828,152.682133880838,88.7537600650276,116.570647511828,152.682133880838
2028,"Painted Francolin","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,84.2204739365542,114.263445421305,154.556808856713,84.2204739365542,114.263445421305,154.556808856713
