"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1994,"Hill Partridge","before 2000",0.00932244476501755,0.0160602758471041,0.0253333609406428,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Hill Partridge","2000-2006",0.00944784343518529,0.0157527667759429,0.0255424558188068,65.8499893762577,98.5337382764127,147.501678312105,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Hill Partridge","2007-2010",0.00985770054924069,0.0160049191770515,0.0245836848422646,70.6435985290418,100.81764097846,146.551059338233,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Hill Partridge","2011-2012",0.0103287344785414,0.016912725977434,0.0260351472791154,70.8252443720126,106.285162472685,158.095434940924,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Hill Partridge","2013",0.00815098717446702,0.0137014749576959,0.0210438342889074,58.7221227223669,85.2821230478766,127.335389166302,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Hill Partridge","2014",0.0147548681130966,0.0229968748926912,0.0342927120503049,104.538809944503,144.167344162321,205.852986083889,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Hill Partridge","2015",0.00938318805240819,0.014177658298321,0.0210640676700344,64.6843770446024,88.9751081903118,124.325015854716,100,100,100,NA,NA,NA,100,100,100
2016,"Hill Partridge","2016",0.00798503619293029,0.012236778887293,0.0183991185263111,56.4239064983985,76.7584383529456,108.172423993973,73.135877766062,86.1863717520031,103.489599917542,NA,NA,NA,73.135877766062,86.1863717520031,103.489599917542
2017,"Hill Partridge","2017",0.00927039462428926,0.0138977119876812,0.0204806006421164,64.359325016942,86.8436471845274,120.339413857085,83.8517916881146,97.239291231984,113.522819375502,NA,NA,NA,83.8517916881146,97.239291231984,113.522819375502
2018,"Hill Partridge","2018",0.0105677037253112,0.0159899741737697,0.0234196295484515,74.7007903773299,100.674630218369,139.285274263716,97.1391810367088,112.419019374926,130.616207408612,NA,NA,NA,97.1391810367088,112.419019374926,130.616207408612
2019,"Hill Partridge","2019",0.00886611841654286,0.0135574280594123,0.0199579505691355,62.708598162753,85.05263945932,115.786584945599,82.4986996974149,95.2591926677409,111.514163103054,NA,NA,NA,82.4986996974149,95.2591926677409,111.514163103054
2020,"Hill Partridge","2020",0.0112863260440451,0.016854017577307,0.02472543127985,78.5118546887881,106.094627593749,144.620266978056,103.001054028538,119.316860661131,137.085478520071,NA,NA,NA,103.001054028538,119.316860661131,137.085478520071
2021,"Hill Partridge","2021",0.0103603238352876,0.0156534333949132,0.022765695292284,73.458804948869,98.537005993388,136.190596569444,96.7014756379784,110.618302521143,126.701870610357,NA,NA,NA,96.7014756379784,110.618302521143,126.701870610357
2022,"Hill Partridge","2022",0.00985046317849378,0.0148686387128556,0.0216990443143142,69.5545893949247,93.4563155218755,128.669664534361,91.4747025341605,104.593668902186,119.63275792747,NA,NA,NA,91.4747025341605,104.593668902186,119.63275792747
2023,"Hill Partridge","2023",0.010211722989703,0.0153086165972825,0.0222911181739291,72.0472275569708,96.1444300791438,131.466180268591,94.7844244916418,107.789843795324,124.776999531546,NA,NA,NA,94.7844244916418,107.789843795324,124.776999531546
2024,"Hill Partridge","2024",0.00992042869532219,0.0151028195421726,0.0219694217288923,70.9045229944393,94.8528168652791,130.031385338883,92.9404127346815,105.983874449612,121.221791751915,NA,NA,NA,92.9404127346815,105.983874449612,121.221791751915
2025,"Hill Partridge","2025",0.00971199709115694,0.0145926584300481,0.0211551941722776,68.659338104697,91.6162562758634,126.747124843813,90.7867493314229,102.647082151099,117.878542069933,NA,NA,NA,90.7867493314229,102.647082151099,117.878542069933
2026,"Hill Partridge","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,98.93632029426,110.841587777977,124.441661081968,98.93632029426,110.841587777977,124.441661081968
2027,"Hill Partridge","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,98.5271426205939,112.002595262314,127.736908017125,98.5271426205939,112.002595262314,127.736908017125
