"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1988,"Andaman Teal","before 2000",5.16516338333456e-10,0.00703566144943389,0.0515048169670161,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,"Andaman Teal","2000-2006",4.28384770932026e-10,1.10268571617271e-08,0.0491929677761251,3.86129342581898e-06,82.9782077269928,1810131823.80281,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Andaman Teal","2007-2010",1.55384823028246e-09,0.0370111538667083,0.120357466482996,3.36892240643049e-05,495.828639279006,7371885830.61415,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Andaman Teal","2011-2012",0.005250842730487,0.0234604408506934,0.0587284465361191,34.1937322563497,345.107074349771,4163206749.33393,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Andaman Teal","2013",6.41553511544806e-10,0.0159999760474303,0.0562411722458128,6.88835875582232e-06,162.622456822211,2822888048.46802,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Andaman Teal","2014",7.22189878920794e-10,0.0109047715225147,0.0348740519469808,7.69494985045368e-06,136.143286228378,1723537963.77242,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Andaman Teal","2015",9.84072636644986e-10,0.0117515832746852,0.0390433294316335,7.73736302521737e-06,153.184712909472,2052514600.73722,100,100,100,NA,NA,NA,100,100,100
2016,"Andaman Teal","2016",0.00403240559816275,0.0147099063627945,0.0349993271491047,25.6600963454862,223.243684396775,2341878679.37848,32.8149619457493,130.852086553303,1271028238.07473,NA,NA,NA,32.8149619457493,130.852086553303,1271028238.07473
2017,"Andaman Teal","2017",0.00464105012025858,0.0151825432366792,0.0340462089547476,26.8066718845146,224.149095306035,2735766150.07541,29.8237582443952,133.160907698977,1167106219.83429,NA,NA,NA,29.8237582443952,133.160907698977,1167106219.83429
2018,"Andaman Teal","2018",0.00612492856055138,0.0171442278824741,0.0374742228008067,34.2775153099183,253.122831016221,2764890319.41658,42.602213605049,148.127211150275,1597315192.42745,NA,NA,NA,42.602213605049,148.127211150275,1597315192.42745
2019,"Andaman Teal","2019",0.00909412135826288,0.0233992801299446,0.0489894329276799,45.9233619087934,345.18288903248,3694990008.08615,60.5633925562963,200.152725403865,1955660785.99051,NA,NA,NA,60.5633925562963,200.152725403865,1955660785.99051
2020,"Andaman Teal","2020",0.00546895655722228,0.0148385168729954,0.0314857866862898,29.3349552926095,214.493351440422,2291474257.78573,37.7021415101794,127.630219590277,1224582440.74947,NA,NA,NA,37.7021415101794,127.630219590277,1224582440.74947
2021,"Andaman Teal","2021",0.00950816231728267,0.0223164301632134,0.0443407176657844,46.8629824459867,320.339341029527,3341259504.02428,61.9829441572615,191.905369727536,1718257784.62196,NA,NA,NA,61.9829441572615,191.905369727536,1718257784.62196
2022,"Andaman Teal","2022",0.00982228482161258,0.0233173092491853,0.0460191862388092,47.1122850518841,337.864936769294,3376801742.15853,67.1097191899107,201.581373827743,1833493541.83212,NA,NA,NA,67.1097191899107,201.581373827743,1833493541.83212
2023,"Andaman Teal","2023",0.00799348814030995,0.0182583448515417,0.0373310766032317,36.804819305916,268.121703293825,2738625758.41681,49.6445684802165,159.415930303756,1433130201.66871,NA,NA,NA,49.6445684802165,159.415930303756,1433130201.66871
2024,"Andaman Teal","2024",0.00610259380552438,0.0141274821287944,0.0288136467382624,29.542913668501,206.033235063271,2202813495.98821,38.3414958536925,122.085490032421,1051419846.21455,NA,NA,NA,38.3414958536925,122.085490032421,1051419846.21455
2025,"Andaman Teal","2025",0.0111572105830866,0.0250517026591457,0.0481300877321486,52.4755989326198,363.657802495063,3559878603.6872,67.459491816862,219.279197090705,1939023594.77354,NA,NA,NA,67.459491816862,219.279197090705,1939023594.77354
2026,"Andaman Teal","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,140.76433981193,201.38963256022,289.033764987031,140.76433981193,201.38963256022,289.033764987031
2027,"Andaman Teal","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,140.59333420189,210.633264503662,316.009072066275,140.59333420189,210.633264503662,316.009072066275
2028,"Andaman Teal","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,139.612646015225,219.946933022022,346.781863216578,139.612646015225,219.946933022022,346.781863216578
2029,"Andaman Teal","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,139.050390227863,230.77815194943,381.248131598371,139.050390227863,230.77815194943,381.248131598371
2030,"Andaman Teal","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,137.77512166095,241.091016255536,420.08367921744,137.77512166095,241.091016255536,420.08367921744
2031,"Andaman Teal","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,137.535764580354,253.25781046615,462.401136029416,137.535764580354,253.25781046615,462.401136029416
2032,"Andaman Teal","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,136.75512430992,263.682028038151,510.712931005481,136.75512430992,263.682028038151,510.712931005481
2033,"Andaman Teal","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,136.683633823058,276.624991445082,564.979307182407,136.683633823058,276.624991445082,564.979307182407
1988,"Andaman Coucal","before 2000",0.253387203507756,0.426460490545916,0.59947676044017,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,"Andaman Coucal","2000-2006",0.265509690678466,0.426654683612447,0.592961200413392,56.6551992121166,98.0958088860881,184.686395026147,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Andaman Coucal","2007-2010",0.329261136407235,0.456867766591895,0.594323614327585,68.2917312728189,107.434931230829,195.185150703355,NA,NA,NA,NA,NA,NA,NA,NA,NA
