"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1994,"Gray Francolin","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Gray Francolin","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Gray Francolin","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Gray Francolin","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Gray Francolin","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Gray Francolin","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Gray Francolin","2015",0.129635993143444,0.178896662682157,0.240170897266914,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Gray Francolin","2016",0.116384042687096,0.158895588467528,0.214390171137838,NA,NA,NA,70.1309181939001,88.2659870657093,110.824297221038,NA,NA,NA,70.1309181939001,88.2659870657093,110.824297221038
2017,"Gray Francolin","2017",0.117980620734983,0.165108786824683,0.218423485945227,NA,NA,NA,73.0211122134595,90.9959767934852,112.945667333059,NA,NA,NA,73.0211122134595,90.9959767934852,112.945667333059
2018,"Gray Francolin","2018",0.163635592720872,0.214519005385709,0.277777336196575,NA,NA,NA,97.9612457877295,118.769799144482,145.758985203464,NA,NA,NA,97.9612457877295,118.769799144482,145.758985203464
2019,"Gray Francolin","2019",0.15512112588284,0.20277421660398,0.264400612098804,NA,NA,NA,92.047136453551,112.43098272363,139.550145583216,NA,NA,NA,92.047136453551,112.43098272363,139.550145583216
2020,"Gray Francolin","2020",0.141840354578514,0.184955841614578,0.240649555527655,NA,NA,NA,84.1383185814028,102.294539143127,126.284426295933,NA,NA,NA,84.1383185814028,102.294539143127,126.284426295933
2021,"Gray Francolin","2021",0.120014950259058,0.157409466920828,0.204919848494773,NA,NA,NA,71.4491630260986,87.4764285979485,106.937134964137,NA,NA,NA,71.4491630260986,87.4764285979485,106.937134964137
2022,"Gray Francolin","2022",0.130131963774884,0.169390732562328,0.221018301117314,NA,NA,NA,76.3312173738691,93.5911783930256,114.254383643056,NA,NA,NA,76.3312173738691,93.5911783930256,114.254383643056
2023,"Gray Francolin","2023",0.138732130407324,0.179509904555445,0.236686034001219,NA,NA,NA,82.538541954815,99.9189887769788,121.25997215919,NA,NA,NA,82.538541954815,99.9189887769788,121.25997215919
2024,"Gray Francolin","2024",0.144077885302025,0.188552344570684,0.243735658344294,NA,NA,NA,85.4885566386717,104.142927065194,126.615779526542,NA,NA,NA,85.4885566386717,104.142927065194,126.615779526542
2025,"Gray Francolin","2025",0.119088251075623,0.154470598260609,0.203363887958128,NA,NA,NA,70.4036751253004,86.0951801510911,104.320646578779,NA,NA,NA,70.4036751253004,86.0951801510911,104.320646578779
2026,"Gray Francolin","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,82.0330931694103,94.885691430794,110.007851042911,82.0330931694103,94.885691430794,110.007851042911
2027,"Gray Francolin","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,80.0322858753528,94.3811972545085,111.73262008949,80.0322858753528,94.3811972545085,111.73262008949
2028,"Gray Francolin","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,77.9882202202625,93.8005932885718,113.351340619183,77.9882202202625,93.8005932885718,113.351340619183
2029,"Gray Francolin","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,76.0667407336064,93.510205982662,115.118125637699,76.0667407336064,93.510205982662,115.118125637699
2030,"Gray Francolin","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,74.1415809078208,92.9212575087431,116.924350455916,74.1415809078208,92.9212575087431,116.924350455916
2031,"Gray Francolin","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,72.2502034837475,92.4840307502915,118.679555932907,72.2502034837475,92.4840307502915,118.679555932907
2032,"Gray Francolin","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,70.3802962398917,92.0396399871158,120.621418585617,70.3802962398917,92.0396399871158,120.621418585617
2033,"Gray Francolin","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,68.5224364739603,91.4917015637432,122.705914271986,68.5224364739603,91.4917015637432,122.705914271986
1994,"Little Grebe","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Little Grebe","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Little Grebe","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Little Grebe","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Little Grebe","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Little Grebe","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Little Grebe","2015",0.174212670644479,0.25928745751038,0.356625385424842,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Little Grebe","2016",0.102021089206439,0.146589950953185,0.201659078198344,NA,NA,NA,38.560637233583,56.9501586437379,83.2313172047078,NA,NA,NA,38.560637233583,56.9501586437379,83.2313172047078
2017,"Little Grebe","2017",0.139470435172052,0.192245917329214,0.247447060674127,NA,NA,NA,53.335777515184,73.9708815123555,104.086545282378,NA,NA,NA,53.335777515184,73.9708815123555,104.086545282378
2018,"Little Grebe","2018",0.261560517056992,0.327063093778768,0.397345858302727,NA,NA,NA,94.8377249397351,125.671378304251,176.994685467549,NA,NA,NA,94.8377249397351,125.671378304251,176.994685467549
