"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1994,"White-cheeked Partridge","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"White-cheeked Partridge","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"White-cheeked Partridge","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"White-cheeked Partridge","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"White-cheeked Partridge","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"White-cheeked Partridge","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"White-cheeked Partridge","2015",0.00497579719313044,0.0108138095075225,0.0203719892421187,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"White-cheeked Partridge","2016",0.0100121972526076,0.0168918251442929,0.0294017107263878,NA,NA,NA,83.883909751688,157.530326876146,338.357296211877,NA,NA,NA,83.883909751688,157.530326876146,338.357296211877
2017,"White-cheeked Partridge","2017",0.00165151610214337,0.00483780459222666,0.0108427045126465,NA,NA,NA,14.1325674164004,45.5905195578007,109.080108401227,NA,NA,NA,14.1325674164004,45.5905195578007,109.080108401227
2018,"White-cheeked Partridge","2018",0.000510813764581388,0.00227266825326443,0.00517165436086158,NA,NA,NA,4.57145473848748,21.4373712072236,54.9207027656886,NA,NA,NA,4.57145473848748,21.4373712072236,54.9207027656886
2019,"White-cheeked Partridge","2019",0.000414152770895843,0.00233067228553507,0.00526275973603134,NA,NA,NA,3.8145363832026,21.3402549736711,55.3589923184413,NA,NA,NA,3.8145363832026,21.3402549736711,55.3589923184413
2020,"White-cheeked Partridge","2020",0.000677879764328085,0.00298144658956274,0.00771491287456718,NA,NA,NA,5.47799208803505,27.2588397217683,81.8169924437081,NA,NA,NA,5.47799208803505,27.2588397217683,81.8169924437081
