"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1994,"Lesser Whistling-Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Lesser Whistling-Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Lesser Whistling-Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Lesser Whistling-Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",0.0696702815262042,0.0878701513844288,0.108453239757958,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Lesser Whistling-Duck","2016",0.106672827885883,0.1301585606229,0.158807806344501,NA,NA,NA,122.143051565984,148.994998441803,180.223608998789,NA,NA,NA,122.143051565984,148.994998441803,180.223608998789
2017,"Lesser Whistling-Duck","2017",0.100898369625863,0.124754508998156,0.151775375892234,NA,NA,NA,117.089373426069,141.629471332903,173.996802528264,NA,NA,NA,117.089373426069,141.629471332903,173.996802528264
2018,"Lesser Whistling-Duck","2018",0.0992106759804484,0.122994009233719,0.148425069577383,NA,NA,NA,113.376243556857,139.672968472693,170.613669489175,NA,NA,NA,113.376243556857,139.672968472693,170.613669489175
2019,"Lesser Whistling-Duck","2019",0.113933330178918,0.13853389419799,0.165114883563545,NA,NA,NA,132.228293172622,157.427804789091,189.322748979726,NA,NA,NA,132.228293172622,157.427804789091,189.322748979726
2020,"Lesser Whistling-Duck","2020",0.113167492079968,0.136907109651877,0.163606771379983,NA,NA,NA,130.493169492686,155.911386191594,187.889519007197,NA,NA,NA,130.493169492686,155.911386191594,187.889519007197
2021,"Lesser Whistling-Duck","2021",0.115516729434272,0.139790066921532,0.167145202792402,NA,NA,NA,133.682856001075,159.426747671912,191.767509620473,NA,NA,NA,133.682856001075,159.426747671912,191.767509620473
2022,"Lesser Whistling-Duck","2022",0.146411621237307,0.174051240970333,0.205250052788207,NA,NA,NA,167.911481491603,197.895563131885,235.423347950145,NA,NA,NA,167.911481491603,197.895563131885,235.423347950145
2023,"Lesser Whistling-Duck","2023",0.14210327104158,0.168886421444695,0.198750733340189,NA,NA,NA,163.328789866878,192.431739777421,227.97330267574,NA,NA,NA,163.328789866878,192.431739777421,227.97330267574
2024,"Lesser Whistling-Duck","2024",0.132622469885347,0.157581301851092,0.186895842737214,NA,NA,NA,151.909280519374,179.62139823312,212.457395175796,NA,NA,NA,151.909280519374,179.62139823312,212.457395175796
2025,"Lesser Whistling-Duck","2025",0.140898297261209,0.165409662092162,0.193626776214266,NA,NA,NA,159.559226571467,188.125848278717,221.239357877434,NA,NA,NA,159.559226571467,188.125848278717,221.239357877434
2026,"Lesser Whistling-Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,184.559267122904,212.466125205362,246.061465265353,184.559267122904,212.466125205362,246.061465265353
2027,"Lesser Whistling-Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,190.5831298388,223.548468552629,263.358056802118,190.5831298388,223.548468552629,263.358056802118
2028,"Lesser Whistling-Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,196.478117721769,235.198360067392,282.364138139699,196.478117721769,235.198360067392,282.364138139699
2029,"Lesser Whistling-Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,202.53206411401,247.396805403975,303.044643763203,202.53206411401,247.396805403975,303.044643763203
2030,"Lesser Whistling-Duck","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,208.768377708341,260.090457515326,324.849376538527,208.768377708341,260.090457515326,324.849376538527
2031,"Lesser Whistling-Duck","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,215.157550428864,273.449170257006,348.33232045647,215.157550428864,273.449170257006,348.33232045647
2032,"Lesser Whistling-Duck","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,221.866128688654,287.387098945482,373.65456591756,221.866128688654,287.387098945482,373.65456591756
2033,"Lesser Whistling-Duck","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,228.620936539639,302.409880159495,401.088874561226,228.620936539639,302.409880159495,401.088874561226
1994,"Ruddy Shelduck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Ruddy Shelduck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Ruddy Shelduck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Ruddy Shelduck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Ruddy Shelduck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Ruddy Shelduck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Ruddy Shelduck","2015",0.0380129657437478,0.0622453780313841,0.0992079059558261,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Ruddy Shelduck","2016",0.0413639446718195,0.0665646422489934,0.104610362520842,NA,NA,NA,82.634841784468,107.749262751903,139.832555829636,NA,NA,NA,82.634841784468,107.749262751903,139.832555829636
2017,"Ruddy Shelduck","2017",0.0435677572492239,0.069309842502817,0.109214793972337,NA,NA,NA,86.8453903593897,111.31039025785,145.866459198463,NA,NA,NA,86.8453903593897,111.31039025785,145.866459198463
2018,"Ruddy Shelduck","2018",0.0447660833809102,0.0739017084960498,0.113579536420733,NA,NA,NA,91.522926219079,118.873701520857,152.800801895186,NA,NA,NA,91.522926219079,118.873701520857,152.800801895186
2019,"Ruddy Shelduck","2019",0.0322179700679553,0.0528232290211648,0.0826441005061955,NA,NA,NA,66.0677944296109,84.5736932056835,109.568614174847,NA,NA,NA,66.0677944296109,84.5736932056835,109.568614174847
2020,"Ruddy Shelduck","2020",0.0353465698784473,0.0558334300035498,0.0858986565697951,NA,NA,NA,72.3520414593198,90.2003786528968,112.877794196941,NA,NA,NA,72.3520414593198,90.2003786528968,112.877794196941
2021,"Ruddy Shelduck","2021",0.0392295230582573,0.0629777707794615,0.0972807019447252,NA,NA,NA,80.3491053614667,100.344484656689,127.665457042252,NA,NA,NA,80.3491053614667,100.344484656689,127.665457042252
2022,"Ruddy Shelduck","2022",0.0321578153042882,0.0512895556472631,0.0795317468137265,NA,NA,NA,67.329765617217,81.707183434645,104.605759524022,NA,NA,NA,67.329765617217,81.707183434645,104.605759524022
2023,"Ruddy Shelduck","2023",0.0356323908221492,0.0554629449921675,0.0878910886142886,NA,NA,NA,73.2259410632853,88.4228219694176,109.942269014014,NA,NA,NA,73.2259410632853,88.4228219694176,109.942269014014
2024,"Ruddy Shelduck","2024",0.0293543445620683,0.0465093082752773,0.0710812316871376,NA,NA,NA,61.1351034893978,74.5466353727566,93.6077584494143,NA,NA,NA,61.1351034893978,74.5466353727566,93.6077584494143
2025,"Ruddy Shelduck","2025",0.0288386755324291,0.0447515040594204,0.0693429748642634,NA,NA,NA,58.462356090037,71.6921393377285,88.6523097149604,NA,NA,NA,58.462356090037,71.6921393377285,88.6523097149604
2026,"Ruddy Shelduck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,63.0449856595399,72.7470413045655,84.0893770428609,63.0449856595399,72.7470413045655,84.0893770428609
2027,"Ruddy Shelduck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,59.2826341568199,69.8479514519518,82.4913581355006,59.2826341568199,69.8479514519518,82.4913581355006
2028,"Ruddy Shelduck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,55.7605969849168,67.2491996320236,80.9832399519764,55.7605969849168,67.2491996320236,80.9832399519764
