"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1982,"Indian Peafowl","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Indian Peafowl","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Indian Peafowl","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Indian Peafowl","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Indian Peafowl","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Indian Peafowl","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Indian Peafowl","2015",0.100123128616938,0.148052346489882,0.202223692043203,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Indian Peafowl","2016",0.176198049125859,0.291037382458584,0.417354514038558,NA,NA,NA,109.876428620498,195.982551124868,343.09711439152,NA,NA,NA,109.876428620498,195.982551124868,343.09711439152
2017,"Indian Peafowl","2017",0.078930176779192,0.134034440426715,0.199003326302009,NA,NA,NA,48.1136695346111,91.2707978632053,162.736400776706,NA,NA,NA,48.1136695346111,91.2707978632053,162.736400776706
2018,"Indian Peafowl","2018",0.226058262554677,0.283215189435107,0.345279497769368,NA,NA,NA,127.356033378801,190.774910564104,292.445968520306,NA,NA,NA,127.356033378801,190.774910564104,292.445968520306
2019,"Indian Peafowl","2019",0.26252005433034,0.296078581474143,0.332304565555781,NA,NA,NA,143.574043078222,198.765550250636,296.282821334716,NA,NA,NA,143.574043078222,198.765550250636,296.282821334716
2020,"Indian Peafowl","2020",0.282743810856208,0.320681330565077,0.364361362042308,NA,NA,NA,155.664293037839,216.393483467317,322.10969257687,NA,NA,NA,155.664293037839,216.393483467317,322.10969257687
2021,"Indian Peafowl","2021",0.412691498978375,0.45944165483274,0.505296350014108,NA,NA,NA,223.037057438639,311.183041383784,464.555636150817,NA,NA,NA,223.037057438639,311.183041383784,464.555636150817
2022,"Indian Peafowl","2022",0.349153475860561,0.403706540489755,0.457375943062313,NA,NA,NA,189.477787413418,273.61688060757,414.938232007158,NA,NA,NA,189.477787413418,273.61688060757,414.938232007158
2023,"Indian Peafowl","2023",0.252746466489011,0.29845501689101,0.348668219983777,NA,NA,NA,139.924153635788,202.575448984094,305.266222983692,NA,NA,NA,139.924153635788,202.575448984094,305.266222983692
2024,"Indian Peafowl","2024",0.147677333432917,0.187498528179711,0.230254331890664,NA,NA,NA,85.079440755611,127.321842617775,194.348859323423,NA,NA,NA,85.079440755611,127.321842617775,194.348859323423
2025,"Indian Peafowl","2025",0.278502106483215,0.326637528828674,0.37884375554494,NA,NA,NA,153.776263464304,220.073520225146,330.435387793434,NA,NA,NA,153.776263464304,220.073520225146,330.435387793434
2026,"Indian Peafowl","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,153.165614196475,249.138596178534,404.767161857703,153.165614196475,249.138596178534,404.767161857703
2027,"Indian Peafowl","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,151.649146887418,263.16596426076,455.167856294157,151.649146887418,263.16596426076,455.167856294157
2028,"Indian Peafowl","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,149.507054248945,277.447834489918,512.880809153393,149.507054248945,277.447834489918,512.880809153393
2029,"Indian Peafowl","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,147.818648466346,291.806611841983,579.60346887886,147.818648466346,291.806611841983,579.60346887886
2030,"Indian Peafowl","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,145.474713280468,308.25325694373,654.673134282429,145.474713280468,308.25325694373,654.673134282429
2031,"Indian Peafowl","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,143.422997775115,325.288597087366,739.854635376897,143.422997775115,325.288597087366,739.854635376897
2032,"Indian Peafowl","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,140.924752077966,344.118049301143,838.96554180638,140.924752077966,344.118049301143,838.96554180638
2033,"Indian Peafowl","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,138.730667476031,363.705650537896,952.910117660168,138.730667476031,363.705650537896,952.910117660168
1982,"Black Francolin","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Black Francolin","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Black Francolin","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Black Francolin","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Black Francolin","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
