"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1990,"Indian Spot-billed Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Indian Spot-billed Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Indian Spot-billed Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Indian Spot-billed Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Indian Spot-billed Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Indian Spot-billed Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Indian Spot-billed Duck","2015",0.273982425691831,0.36996422051203,0.490927966781901,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Indian Spot-billed Duck","2016",0.219258298358046,0.303940694774523,0.403305956324491,NA,NA,NA,70.2362848694427,81.9813814154368,94.8387426485599,NA,NA,NA,70.2362848694427,81.9813814154368,94.8387426485599
2017,"Indian Spot-billed Duck","2017",0.168942201357088,0.23312270752593,0.310172458467064,NA,NA,NA,53.7630949614731,62.9345925140837,73.5216761513344,NA,NA,NA,53.7630949614731,62.9345925140837,73.5216761513344
2018,"Indian Spot-billed Duck","2018",0.183367817777118,0.253909508835578,0.338956279113535,NA,NA,NA,59.5913534428487,68.6380940036057,79.2282562132013,NA,NA,NA,59.5913534428487,68.6380940036057,79.2282562132013
2019,"Indian Spot-billed Duck","2019",0.174006184564197,0.236289967734257,0.318724489294645,NA,NA,NA,56.1794686445056,64.4472595584255,73.4870946510811,NA,NA,NA,56.1794686445056,64.4472595584255,73.4870946510811
2020,"Indian Spot-billed Duck","2020",0.178745105671923,0.246570167053822,0.328644856701703,NA,NA,NA,57.471917362511,66.2630332733807,76.3587830655381,NA,NA,NA,57.471917362511,66.2630332733807,76.3587830655381
2021,"Indian Spot-billed Duck","2021",0.202544701443428,0.275928290460106,0.361878671652165,NA,NA,NA,65.5348261713569,74.4121572696971,85.7119130016604,NA,NA,NA,65.5348261713569,74.4121572696971,85.7119130016604
2022,"Indian Spot-billed Duck","2022",0.235471247194589,0.316594818629084,0.412147179234339,NA,NA,NA,74.642487745682,85.5968383427778,96.7924867929779,NA,NA,NA,74.642487745682,85.5968383427778,96.7924867929779
2023,"Indian Spot-billed Duck","2023",0.198754021983105,0.270277490208285,0.357126122016347,NA,NA,NA,63.8146393964202,72.7590714304405,82.2930628395668,NA,NA,NA,63.8146393964202,72.7590714304405,82.2930628395668
2024,"Indian Spot-billed Duck","2024",0.208295581115346,0.27985501590533,0.366790461486075,NA,NA,NA,66.4068935060767,75.9304448905775,86.1876040264989,NA,NA,NA,66.4068935060767,75.9304448905775,86.1876040264989
2025,"Indian Spot-billed Duck","2025",0.220607206939498,0.295600963684935,0.389266315624862,NA,NA,NA,70.4041268986969,79.9937832691462,90.5092853727098,NA,NA,NA,70.4041268986969,79.9937832691462,90.5092853727098
