"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1982,"Indian Peafowl","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Indian Peafowl","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Indian Peafowl","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Indian Peafowl","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Indian Peafowl","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Indian Peafowl","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Indian Peafowl","2015",0.00267984425210081,0.0165692776079591,0.0408565306279354,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Indian Peafowl","2016",0.00242312129285773,0.017413130654169,0.0386195494592688,NA,NA,NA,16.0296822184312,102.617911439484,555.627151517876,NA,NA,NA,16.0296822184312,102.617911439484,555.627151517876
2017,"Indian Peafowl","2017",0.0131518735969655,0.031315754713098,0.0628239688065832,NA,NA,NA,71.8696004462441,191.684406112164,1090.70153986973,NA,NA,NA,71.8696004462441,191.684406112164,1090.70153986973
2018,"Indian Peafowl","2018",0.00456694510033813,0.0142865962429078,0.029578472285422,NA,NA,NA,22.5672061919376,88.7955721047298,478.747789075499,NA,NA,NA,22.5672061919376,88.7955721047298,478.747789075499
2019,"Indian Peafowl","2019",0.00733737339250563,0.0197848683373364,0.0406211901664854,NA,NA,NA,42.2787326785891,120.228285373078,562.091836071815,NA,NA,NA,42.2787326785891,120.228285373078,562.091836071815
2020,"Indian Peafowl","2020",0.00776392796604298,0.0190215457869813,0.0360889649812383,NA,NA,NA,42.6155384463057,115.992451486186,705.433794549934,NA,NA,NA,42.6155384463057,115.992451486186,705.433794549934
2021,"Indian Peafowl","2021",0.0156691322143773,0.0358126166495972,0.065976524323988,NA,NA,NA,92.6267218420098,215.803553559366,1048.4602846297,NA,NA,NA,92.6267218420098,215.803553559366,1048.4602846297
2022,"Indian Peafowl","2022",0.0123739258041175,0.027320599873252,0.0511803479389913,NA,NA,NA,64.9209676347972,168.325994811663,750.333963724559,NA,NA,NA,64.9209676347972,168.325994811663,750.333963724559
2023,"Indian Peafowl","2023",0.0184275392740159,0.0380167912270922,0.0715854741422217,NA,NA,NA,93.9116281858445,231.900586538549,1182.47707231664,NA,NA,NA,93.9116281858445,231.900586538549,1182.47707231664
2024,"Indian Peafowl","2024",0.0232462211551956,0.047224732565955,0.0867844426212605,NA,NA,NA,120.134093676346,285.800562156939,1459.18825567864,NA,NA,NA,120.134093676346,285.800562156939,1459.18825567864
2025,"Indian Peafowl","2025",0.0235308107445509,0.0481301674802027,0.0908111025436215,NA,NA,NA,116.798820174626,301.900690710735,1817.12209000486,NA,NA,NA,116.798820174626,301.900690710735,1817.12209000486
2026,"Indian Peafowl","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,200.411756316785,316.696218891755,475.858735870213,200.411756316785,316.696218891755,475.858735870213
2027,"Indian Peafowl","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,211.266692007591,352.008318876617,561.023582551895,211.266692007591,352.008318876617,561.023582551895
2028,"Indian Peafowl","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,222.292136703299,391.993228229193,669.970794141031,222.292136703299,391.993228229193,669.970794141031
2029,"Indian Peafowl","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,235.27858661927,437.276928254277,797.019009596878,235.27858661927,437.276928254277,797.019009596878
2030,"Indian Peafowl","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,247.334202239055,489.350587890012,949.968038217067,247.334202239055,489.350587890012,949.968038217067
2031,"Indian Peafowl","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,259.109728184704,544.674679332156,1122.7924754828,259.109728184704,544.674679332156,1122.7924754828
2032,"Indian Peafowl","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,272.61185328447,609.599826550384,1331.63818545683,272.61185328447,609.599826550384,1331.63818545683
2033,"Indian Peafowl","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,284.460775153976,683.067781030374,1588.62757352269,284.460775153976,683.067781030374,1588.62757352269
1982,"Black Francolin","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Black Francolin","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Black Francolin","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Black Francolin","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Black Francolin","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Black Francolin","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Black Francolin","2015",0.0156781698982117,0.0429260702534374,0.0884015372021783,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Black Francolin","2016",0.00584362633455958,0.0179827527945035,0.0363747854729399,NA,NA,NA,13.7215404931673,41.0144857286879,125.091603765683,NA,NA,NA,13.7215404931673,41.0144857286879,125.091603765683
2017,"Black Francolin","2017",0.00989038417733265,0.0212033960180025,0.039248049004877,NA,NA,NA,20.4972464068437,50.3398036755529,135.216646899005,NA,NA,NA,20.4972464068437,50.3398036755529,135.216646899005
2018,"Black Francolin","2018",0.0116962875325802,0.0247486292065175,0.045745579131744,NA,NA,NA,24.7867878121478,58.8475128950474,153.197675914406,NA,NA,NA,24.7867878121478,58.8475128950474,153.197675914406
2019,"Black Francolin","2019",0.0104841853579105,0.0212195657645614,0.0377937565340117,NA,NA,NA,22.086449892105,50.2319033170912,124.194560890034,NA,NA,NA,22.086449892105,50.2319033170912,124.194560890034
