"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1998,"Lesser Whistling-Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Lesser Whistling-Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Lesser Whistling-Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Lesser Whistling-Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",0.0508180992777602,0.0614181646340501,0.0749578374721566,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Lesser Whistling-Duck","2016",0.0614172863213176,0.0740131731425157,0.0895845635617861,NA,NA,NA,108.405163702292,119.846030450289,132.135661677036,NA,NA,NA,108.405163702292,119.846030450289,132.135661677036
2017,"Lesser Whistling-Duck","2017",0.0625756400425367,0.0757570653977505,0.0917137428221579,NA,NA,NA,111.725585577521,122.762732904781,134.083351547879,NA,NA,NA,111.725585577521,122.762732904781,134.083351547879
2018,"Lesser Whistling-Duck","2018",0.0592025166731223,0.070923473274322,0.0852131138411863,NA,NA,NA,105.256519293938,115.350836599799,125.703392392623,NA,NA,NA,105.256519293938,115.350836599799,125.703392392623
2019,"Lesser Whistling-Duck","2019",0.0623138068647311,0.0745358779603452,0.0896487608468018,NA,NA,NA,110.874542294464,120.879237230535,132.697594671178,NA,NA,NA,110.874542294464,120.879237230535,132.697594671178
2020,"Lesser Whistling-Duck","2020",0.0603340226760959,0.0722334230827776,0.0866601307087137,NA,NA,NA,107.910596217615,117.316914045026,127.091791834515,NA,NA,NA,107.910596217615,117.316914045026,127.091791834515
2021,"Lesser Whistling-Duck","2021",0.0642527555626461,0.0770490918134069,0.0925224027016968,NA,NA,NA,115.227906418332,125.237183150823,136.328714143599,NA,NA,NA,115.227906418332,125.237183150823,136.328714143599
2022,"Lesser Whistling-Duck","2022",0.0581484802219167,0.0696009150891731,0.0839746132772676,NA,NA,NA,104.62377557185,113.398124695073,123.178628411227,NA,NA,NA,104.62377557185,113.398124695073,123.178628411227
2023,"Lesser Whistling-Duck","2023",0.0588589414682822,0.070098429577418,0.0839160697385747,NA,NA,NA,105.178374272187,113.830838490786,124.323556649883,NA,NA,NA,105.178374272187,113.830838490786,124.323556649883
2024,"Lesser Whistling-Duck","2024",0.053659037365012,0.0642807448431444,0.0767318057335301,NA,NA,NA,96.4748156487137,104.316871734726,114.251738079334,NA,NA,NA,96.4748156487137,104.316871734726,114.251738079334
2025,"Lesser Whistling-Duck","2025",0.051570319683711,0.0618756652116668,0.0743153689413461,NA,NA,NA,92.543213940478,100.543614254432,109.682676948119,NA,NA,NA,92.543213940478,100.543614254432,109.682676948119
2026,"Lesser Whistling-Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,98.3931187185563,109.114949455438,120.951786417684,98.3931187185563,109.114949455438,120.951786417684
2027,"Lesser Whistling-Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,96.4879935532423,108.354101460458,121.784656492944,96.4879935532423,108.354101460458,121.784656492944
2028,"Lesser Whistling-Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,94.4773957811221,107.597691206506,122.77144830641,94.4773957811221,107.597691206506,122.77144830641
2029,"Lesser Whistling-Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,92.4888335088745,106.834895889282,123.692863766482,92.4888335088745,106.834895889282,123.692863766482
2030,"Lesser Whistling-Duck","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,90.501098664781,106.127965081833,124.729345324458,90.501098664781,106.127965081833,124.729345324458
2031,"Lesser Whistling-Duck","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,88.572282264055,105.443398485025,125.704794390716,88.572282264055,105.443398485025,125.704794390716
2032,"Lesser Whistling-Duck","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,86.6790608995278,104.681966012304,126.749148874933,86.6790608995278,104.681966012304,126.749148874933
2033,"Lesser Whistling-Duck","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,84.7265720922074,104.039324967314,127.801352169262,84.7265720922074,104.039324967314,127.801352169262
1998,"Bar-headed Goose","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Bar-headed Goose","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Bar-headed Goose","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Bar-headed Goose","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
