"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1994,"Lesser Whistling-Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"Lesser Whistling-Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Lesser Whistling-Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Lesser Whistling-Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",0.0360719725290242,0.0486075451712927,0.0661918956452389,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Lesser Whistling-Duck","2016",0.0387621703456361,0.0520736436103978,0.0703320220035883,NA,NA,NA,99.8344021786138,106.822609783032,114.295496128449,NA,NA,NA,99.8344021786138,106.822609783032,114.295496128449
2017,"Lesser Whistling-Duck","2017",0.0379227505593305,0.0510978619011891,0.0704687196021395,NA,NA,NA,97.4560099912879,105.270338460006,112.950106071014,NA,NA,NA,97.4560099912879,105.270338460006,112.950106071014
2018,"Lesser Whistling-Duck","2018",0.0366417086848033,0.0487308458772633,0.0670943430737949,NA,NA,NA,93.491250777412,100.350875224446,107.763102307949,NA,NA,NA,93.491250777412,100.350875224446,107.763102307949
2019,"Lesser Whistling-Duck","2019",0.0360225890703458,0.0484622479511696,0.0666143874071537,NA,NA,NA,93.2692249567028,99.857166733064,106.392945843009,NA,NA,NA,93.2692249567028,99.857166733064,106.392945843009
2020,"Lesser Whistling-Duck","2020",0.0373544502650342,0.050508300824706,0.0685230866227744,NA,NA,NA,96.9645790446672,103.389119116993,110.156197110206,NA,NA,NA,96.9645790446672,103.389119116993,110.156197110206
2021,"Lesser Whistling-Duck","2021",0.0385343588292624,0.0516946890123505,0.0705366071103049,NA,NA,NA,99.0870592372336,106.224677874286,113.108126280704,NA,NA,NA,99.0870592372336,106.224677874286,113.108126280704
2022,"Lesser Whistling-Duck","2022",0.0322498262860817,0.0433902700453117,0.0590910942516645,NA,NA,NA,83.5869881049685,89.233034560496,95.0665184756354,NA,NA,NA,83.5869881049685,89.233034560496,95.0665184756354
2023,"Lesser Whistling-Duck","2023",0.0298997375494157,0.0404972597875834,0.0553185945047895,NA,NA,NA,78.1742269023338,83.4721280579217,88.7560766170156,NA,NA,NA,78.1742269023338,83.4721280579217,88.7560766170156
