"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1993,"Lesser Whistling-Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Lesser Whistling-Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Lesser Whistling-Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Lesser Whistling-Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",0.0705754449037135,0.0946245407262843,0.121322008878993,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Lesser Whistling-Duck","2016",0.0589863665713811,0.076334978227373,0.0982415909904572,NA,NA,NA,59.3338561262877,80.3107851729011,108.219565169632,NA,NA,NA,59.3338561262877,80.3107851729011,108.219565169632
2017,"Lesser Whistling-Duck","2017",0.0663526677979853,0.0794876858482661,0.0944738270270749,NA,NA,NA,66.9762144456641,83.4156398322314,109.001088608771,NA,NA,NA,66.9762144456641,83.4156398322314,109.001088608771
2018,"Lesser Whistling-Duck","2018",0.0642025355931661,0.0769960983632782,0.0920640065947842,NA,NA,NA,63.9797867787829,81.1006388031035,106.3497319489,NA,NA,NA,63.9797867787829,81.1006388031035,106.3497319489
2019,"Lesser Whistling-Duck","2019",0.0616016361702547,0.0739603197324875,0.0890793585443549,NA,NA,NA,61.1286063125716,78.1245306961439,102.827148184985,NA,NA,NA,61.1286063125716,78.1245306961439,102.827148184985
2020,"Lesser Whistling-Duck","2020",0.0690982628924128,0.0815992427172462,0.0967499069500894,NA,NA,NA,67.9030010116777,85.7348806946584,110.78653943551,NA,NA,NA,67.9030010116777,85.7348806946584,110.78653943551
2021,"Lesser Whistling-Duck","2021",0.0801205766114834,0.0937283053065242,0.108669310632017,NA,NA,NA,78.3607539005412,98.4716639938009,128.189326746487,NA,NA,NA,78.3607539005412,98.4716639938009,128.189326746487
