"eBird.English.Name.2025","currentslopelci1","currentslopemean1","currentsloperci1","currentslopelci2","currentslopemean2","currentsloperci2","currentslopelci3","currentslopemean3","currentsloperci3","currentslopelci4","currentslopemean4","currentsloperci4","currentslopelci5","currentslopemean5","currentsloperci5","currentslopelci6","currentslopemean6","currentsloperci6","currentslopelci7","currentslopemean7","currentsloperci7","currentslopelci8","currentslopemean8","currentsloperci8","currentslopelci9","currentslopemean9","currentsloperci9","currentslopelci10","currentslopemean10","currentsloperci10","currentslopelci11","currentslopemean11","currentsloperci11"
"Fulvous Whistling-Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser Whistling-Duck",-5.60625747413944,-3.37082746353572,-1.135397452932,-6.53045100701352,-4.14848971925785,-1.76652843150218,-6.68027960218713,-4.51964914668775,-2.35901869118837,-6.227537246535,-4.04863328335301,-1.86972932017103,-6.40996636510192,-4.24408626498787,-2.07820616487382,-6.02299079764354,-4.19793251680929,-2.37287423597505,-6.24012632044997,-4.10886082855425,-1.97759533665852,-6.42965013048626,-4.52997980142101,-2.63030947235576,-6.58712970885962,-4.29456643706445,-2.00200316526927,-6.53494434937577,-4.13432068953113,-1.73369702968649,-6.89399955333604,-4.36428190724319,-1.83456426115034
"Bar-headed Goose",-7.71850834698517,-4.38949322812395,-1.06047810926273,-8.59798364274435,-5.53911229138169,-2.48024094001902,-8.31644761036189,-5.5326479155828,-2.74884822080371,-6.97585965793881,-4.45272738442806,-1.9295951109173,-7.92151218382578,-5.03325702853378,-2.14500187324178,-7.71193652620282,-4.92330081419825,-2.13466510219369,-7.93861699330131,-5.00017248835979,-2.06172798341827,-7.52401023523624,-4.65086673206302,-1.77772322888981,-8.30915810545075,-5.34261549287035,-2.37607288028995,-8.08057764123931,-4.83591202191699,-1.59124640259467,-7.71371220403541,-4.36962378497881,-1.02553536592222
"Graylag Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greater White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barnacle Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-breasted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
