"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1995,"Lesser Whistling-Duck","before 2000",0.0340194344350125,0.0551434938668169,0.0813277679479055,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Lesser Whistling-Duck","2000-2006",0.0638580507626359,0.0948398108440605,0.133236919617432,112.742637402764,172.241191875068,274.162793631959,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Lesser Whistling-Duck","2007-2010",0.0373079172685291,0.0552247836528456,0.0773643348030649,66.2482496525279,100.194335782112,156.070198861433,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Lesser Whistling-Duck","2011-2012",0.059119861132795,0.0822972027382265,0.110093186218076,101.888518267687,148.531332765636,237.192825422687,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",0.0651722734621461,0.0865080637275199,0.115606793901032,113.170362517132,157.937189980311,236.062502517242,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",0.0535870964089173,0.0698555150378483,0.0907963399573254,91.5311625797776,127.080520977247,186.003260664253,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",0.0651095047492941,0.0838677874647873,0.108308126177686,110.302252436375,152.097233643977,223.885444816179,100,100,100,NA,NA,NA,100,100,100
2016,"Lesser Whistling-Duck","2016",0.058983063875042,0.0756300911405341,0.0958642333463582,101.083374992129,137.667664306923,202.520925177849,81.551391257417,90.1991904149748,98.3251752645253,NA,NA,NA,81.551391257417,90.1991904149748,98.3251752645253
2017,"Lesser Whistling-Duck","2017",0.0522082057524489,0.0673260145369883,0.086098300005131,89.922558185322,122.803414162071,177.532138723889,73.1944471101814,80.3403739918779,88.3598943572265,NA,NA,NA,73.1944471101814,80.3403739918779,88.3598943572265
2018,"Lesser Whistling-Duck","2018",0.058439216085688,0.0738118736119982,0.0947153239110625,98.7410245591057,135.388836410693,197.897606498656,81.0769425318191,88.2934601097139,96.1552264707943,NA,NA,NA,81.0769425318191,88.2934601097139,96.1552264707943
2019,"Lesser Whistling-Duck","2019",0.0505774209105417,0.064743595510548,0.0825827212766031,87.6651608006402,118.415710656743,171.174373835394,70.837467401996,77.4247351000487,84.3963730260707,NA,NA,NA,70.837467401996,77.4247351000487,84.3963730260707
2020,"Lesser Whistling-Duck","2020",0.0437943638555627,0.0565663212332871,0.0718207205026236,76.0184406586467,102.702210036383,150.38267234326,61.9181831811386,67.3398185938046,72.8030772198009,NA,NA,NA,61.9181831811386,67.3398185938046,72.8030772198009
2021,"Lesser Whistling-Duck","2021",0.0457076425804539,0.0593056084319823,0.0752538364917392,78.0563596040221,107.648219635106,156.64466869494,65.0356218748693,70.4338906769672,76.2910596894022,NA,NA,NA,65.0356218748693,70.4338906769672,76.2910596894022
2022,"Lesser Whistling-Duck","2022",0.0549912492893354,0.0699259160635265,0.0890570516370063,93.2697686365759,127.479738433993,186.81143478794,77.1439006728355,83.3748405742189,90.1516185913132,NA,NA,NA,77.1439006728355,83.3748405742189,90.1516185913132
2023,"Lesser Whistling-Duck","2023",0.0477407647873591,0.06076672445989,0.0773749750759299,82.3162229817652,110.317829916151,162.187729551796,67.081614191925,72.3413942154272,77.8267341864009,NA,NA,NA,67.081614191925,72.3413942154272,77.8267341864009
2024,"Lesser Whistling-Duck","2024",0.0437298134264278,0.056224837957664,0.071132555300896,75.3754303238333,102.083003411419,150.786333561287,61.8914731289209,66.8427413112491,71.8707552085303,NA,NA,NA,61.8914731289209,66.8427413112491,71.8707552085303
2025,"Lesser Whistling-Duck","2025",0.0434349905708314,0.0557998221047038,0.0710002095072392,74.5543645372798,101.532595766738,147.094481145121,61.6881251203514,66.4026156726157,71.4824994962142,NA,NA,NA,61.6881251203514,66.4026156726157,71.4824994962142
2026,"Lesser Whistling-Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,56.8031746385276,63.2570777788826,70.567728829823,56.8031746385276,63.2570777788826,70.567728829823
2027,"Lesser Whistling-Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1029636827695,61.139332896543,69.1849646262556,54.1029636827695,61.139332896543,69.1849646262556
2028,"Lesser Whistling-Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5205856556881,59.1166781859774,67.894580945545,51.5205856556881,59.1166781859774,67.894580945545
2029,"Lesser Whistling-Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,49.0207728948141,57.124883734021,66.6304804473534,49.0207728948141,57.124883734021,66.6304804473534
2030,"Lesser Whistling-Duck","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,46.6461673277377,55.2220705536439,65.3861647676438,46.6461673277377,55.2220705536439,65.3861647676438
2031,"Lesser Whistling-Duck","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4001794541844,53.3643361055651,64.1172532758457,44.4001794541844,53.3643361055651,64.1172532758457
2032,"Lesser Whistling-Duck","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,42.2331928121574,51.5775747018759,62.9490827868219,42.2331928121574,51.5775747018759,62.9490827868219
2033,"Lesser Whistling-Duck","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.2201966468276,49.8213944844217,61.7519533539945,40.2201966468276,49.8213944844217,61.7519533539945
1995,"Bar-headed Goose","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Bar-headed Goose","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Bar-headed Goose","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Bar-headed Goose","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Bar-headed Goose","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Bar-headed Goose","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Bar-headed Goose","2015",0.0170616307338691,0.0268825361931858,0.0423033179296764,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Bar-headed Goose","2016",0.0124574490094398,0.0198574199654982,0.03099609201778,NA,NA,NA,59.4571618022202,74.6010609804436,90.9107152667221,NA,NA,NA,59.4571618022202,74.6010609804436,90.9107152667221
2017,"Bar-headed Goose","2017",0.0106662701596207,0.0171752706873294,0.0269920301354397,NA,NA,NA,51.2164747876367,64.0223435395334,79.5752490764978,NA,NA,NA,51.2164747876367,64.0223435395334,79.5752490764978
2018,"Bar-headed Goose","2018",0.0171640553984164,0.0268110693251857,0.0414180023404454,NA,NA,NA,82.5879997486894,99.6373301449311,121.440913378723,NA,NA,NA,82.5879997486894,99.6373301449311,121.440913378723
2019,"Bar-headed Goose","2019",0.0102622175131679,0.0165085606279022,0.0255140849342441,NA,NA,NA,50.1290802138892,61.5992016479077,73.2321879168364,NA,NA,NA,50.1290802138892,61.5992016479077,73.2321879168364
2020,"Bar-headed Goose","2020",0.0139088641520428,0.022022037857857,0.03436691277505,NA,NA,NA,67.7243462222792,82.0428605628545,97.4723520890478,NA,NA,NA,67.7243462222792,82.0428605628545,97.4723520890478
2021,"Bar-headed Goose","2021",0.0118519631579262,0.018836675974775,0.0289878232522804,NA,NA,NA,57.6456095969402,70.2337636653894,83.0871797800072,NA,NA,NA,57.6456095969402,70.2337636653894,83.0871797800072
2022,"Bar-headed Goose","2022",0.00758571329347004,0.0117495581630843,0.0183065429481207,NA,NA,NA,36.5726654975409,43.8633243878187,52.4776636967199,NA,NA,NA,36.5726654975409,43.8633243878187,52.4776636967199
2023,"Bar-headed Goose","2023",0.0111914872634408,0.0175253627054076,0.0267345941402876,NA,NA,NA,54.6614790121304,64.8905281935434,78.7734277629781,NA,NA,NA,54.6614790121304,64.8905281935434,78.7734277629781
2024,"Bar-headed Goose","2024",0.0076905148993679,0.0122811361474769,0.0192417670956518,NA,NA,NA,38.3606619843011,45.6912575140327,55.1086463095254,NA,NA,NA,38.3606619843011,45.6912575140327,55.1086463095254
2025,"Bar-headed Goose","2025",0.00590145628499768,0.00918364455648316,0.0141396246400468,NA,NA,NA,28.5905894633531,34.2135663069859,40.9752879178872,NA,NA,NA,28.5905894633531,34.2135663069859,40.9752879178872
2026,"Bar-headed Goose","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9511744345918,39.754188671549,52.9257958915123,29.9511744345918,39.754188671549,52.9257958915123
2027,"Bar-headed Goose","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6588141242156,36.7272345857451,50.7574589122981,26.6588141242156,36.7272345857451,50.7574589122981
2028,"Bar-headed Goose","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6730691417894,33.9307050428969,48.772370895979,23.6730691417894,33.9307050428969,48.772370895979
2029,"Bar-headed Goose","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,20.9996661393634,31.3175860843007,46.8352556410318,20.9996661393634,31.3175860843007,46.8352556410318
2030,"Bar-headed Goose","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.6339825254564,28.9315140131412,45.0330299190862,18.6339825254564,28.9315140131412,45.0330299190862
2031,"Bar-headed Goose","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5351782904453,26.7475175347011,43.3184338965142,16.5351782904453,26.7475175347011,43.3184338965142
2032,"Bar-headed Goose","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6639911289309,24.6733457667414,41.7202288474248,14.6639911289309,24.6733457667414,41.7202288474248
2033,"Bar-headed Goose","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.0023188947363,22.7919180519023,40.1459716483776,13.0023188947363,22.7919180519023,40.1459716483776
1995,"Knob-billed Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Knob-billed Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Knob-billed Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Knob-billed Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Knob-billed Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Knob-billed Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Knob-billed Duck","2015",0.00997358412747635,0.0152414587856856,0.0228790453009955,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Knob-billed Duck","2016",0.0154012782225608,0.0226806555642585,0.0350607619304505,NA,NA,NA,127.353558036197,148.084694951117,172.870561612877,NA,NA,NA,127.353558036197,148.084694951117,172.870561612877
2017,"Knob-billed Duck","2017",0.0142424692978003,0.0214364732387907,0.0324077776037401,NA,NA,NA,121.06025790277,140.691547862374,163.430191505763,NA,NA,NA,121.06025790277,140.691547862374,163.430191505763
2018,"Knob-billed Duck","2018",0.00954630512068771,0.0144677529713041,0.0220851282107465,NA,NA,NA,80.9586499185622,94.8021978937073,110.835804863419,NA,NA,NA,80.9586499185622,94.8021978937073,110.835804863419
2019,"Knob-billed Duck","2019",0.0073077566668312,0.0111091934951853,0.0169502249828502,NA,NA,NA,61.8380382405586,72.9788139412462,85.127810578567,NA,NA,NA,61.8380382405586,72.9788139412462,85.127810578567
2020,"Knob-billed Duck","2020",0.00646297968622869,0.00988823617440095,0.015158053863265,NA,NA,NA,55.6984177985435,65.218798812212,75.4562766195783,NA,NA,NA,55.6984177985435,65.218798812212,75.4562766195783
2021,"Knob-billed Duck","2021",0.00652211880050714,0.00988599817082104,0.0151101325753395,NA,NA,NA,56.0689304679971,64.8289544489701,75.1915883393213,NA,NA,NA,56.0689304679971,64.8289544489701,75.1915883393213
2022,"Knob-billed Duck","2022",0.00712247463512397,0.0105133223951567,0.0161663060756816,NA,NA,NA,60.3033914635,69.3481468120516,79.9297603040408,NA,NA,NA,60.3033914635,69.3481468120516,79.9297603040408
2023,"Knob-billed Duck","2023",0.00748360963982535,0.0111684344341872,0.0170523528181269,NA,NA,NA,64.1599875124675,73.7141028746626,84.4769570622421,NA,NA,NA,64.1599875124675,73.7141028746626,84.4769570622421
2024,"Knob-billed Duck","2024",0.00469625037988537,0.00700511683524241,0.0107256601865203,NA,NA,NA,40.0383792918018,46.1900259645249,52.7896218000853,NA,NA,NA,40.0383792918018,46.1900259645249,52.7896218000853
2025,"Knob-billed Duck","2025",0.00474035361386966,0.00694817066326978,0.0106614905653081,NA,NA,NA,39.9009131347274,45.8126456004364,52.9055015588546,NA,NA,NA,39.9009131347274,45.8126456004364,52.9055015588546
2026,"Knob-billed Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.6799479968884,42.2143203202953,54.5462927828577,32.6799479968884,42.2143203202953,54.5462927828577
2027,"Knob-billed Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5245546671859,38.1620132562361,51.0203975706161,28.5245546671859,38.1620132562361,51.0203975706161
2028,"Knob-billed Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8936424240626,34.4306794402998,47.6910038538214,24.8936424240626,34.4306794402998,47.6910038538214
2029,"Knob-billed Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6688019547814,31.0541272579609,44.5934816770086,21.6688019547814,31.0541272579609,44.5934816770086
2030,"Knob-billed Duck","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8742248836874,28.0594279285501,41.7614794122864,18.8742248836874,28.0594279285501,41.7614794122864
2031,"Knob-billed Duck","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4333741128214,25.3479952251037,39.0732986481617,16.4333741128214,25.3479952251037,39.0732986481617
2032,"Knob-billed Duck","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3096785194913,22.8684509525363,36.5767191790262,14.3096785194913,22.8684509525363,36.5767191790262
2033,"Knob-billed Duck","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4471514681119,20.6453414838734,34.2358204369286,12.4471514681119,20.6453414838734,34.2358204369286
1995,"Ruddy Shelduck","before 2000",0.0308559615981846,0.0500334527928178,0.0782151646806106,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Ruddy Shelduck","2000-2006",0.0976062505032905,0.143856504703728,0.205124890234976,193.822215570266,288.684677022491,443.339017772133,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Ruddy Shelduck","2007-2010",0.0897254511696986,0.128291921150072,0.180932631779775,177.82981708213,258.42811519681,381.675312893407,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Ruddy Shelduck","2011-2012",0.0683401835910764,0.096886020618479,0.13844712381031,133.040459798266,195.599473849468,302.267106067315,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Ruddy Shelduck","2013",0.0449154847352077,0.0633795552551004,0.0897473997920599,88.9851277091337,127.479407217081,188.51115999528,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Ruddy Shelduck","2014",0.0401020252105799,0.0556206001229009,0.0773003672829017,80.2369913248479,111.22527602178,164.226440032265,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Ruddy Shelduck","2015",0.0580422652760343,0.0797178234862179,0.109711854472752,117.381689708303,159.123776505427,228.452773304575,100,100,100,NA,NA,NA,100,100,100
2016,"Ruddy Shelduck","2016",0.0458589222554504,0.0625154627478534,0.0835959606915402,91.3525231945216,123.955040985068,177.76784305686,71.2602541262779,78.3924059512392,87.0129621412494,NA,NA,NA,71.2602541262779,78.3924059512392,87.0129621412494
2017,"Ruddy Shelduck","2017",0.0400873147001964,0.0550385560606275,0.0748746675649165,79.549145071818,110.04594119974,157.468230640812,63.0491705416334,69.0835813639698,75.8103064482561,NA,NA,NA,63.0491705416334,69.0835813639698,75.8103064482561
2018,"Ruddy Shelduck","2018",0.0401264834164655,0.0550291240178482,0.0744840507124349,79.7405862647228,110.195739846145,158.687309323368,63.8518545188947,69.5087804583797,75.7163148202113,NA,NA,NA,63.8518545188947,69.5087804583797,75.7163148202113
2019,"Ruddy Shelduck","2019",0.0301279678284549,0.0413896868942257,0.0570557040629823,60.6986871018907,82.9695160776284,120.463488581477,47.7964022578356,52.518970608734,57.1829150634769,NA,NA,NA,47.7964022578356,52.518970608734,57.1829150634769
2020,"Ruddy Shelduck","2020",0.0329034093334904,0.0451585746995449,0.0620687375608897,66.3217523226928,90.7569156424824,130.184220104394,52.5927103537599,57.2277686643989,62.1144054734499,NA,NA,NA,52.5927103537599,57.2277686643989,62.1144054734499
2021,"Ruddy Shelduck","2021",0.0280834354255944,0.0386993462114023,0.0531242927353688,55.9642988313139,77.442742138516,110.863556600168,44.8455836909941,48.8443105670523,52.8703926358927,NA,NA,NA,44.8455836909941,48.8443105670523,52.8703926358927
2022,"Ruddy Shelduck","2022",0.027265265851681,0.0374526843488196,0.0513333270341955,54.6298827758945,75.2507957743937,107.503508658242,43.5317401307506,47.2849404392774,51.305144797458,NA,NA,NA,43.5317401307506,47.2849404392774,51.305144797458
2023,"Ruddy Shelduck","2023",0.0292003099556015,0.0399369954948705,0.0549173209958646,58.8473145426048,79.7888203599654,113.905868558343,46.5820637503436,50.4179255464365,54.502470276497,NA,NA,NA,46.5820637503436,50.4179255464365,54.502470276497
