"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1996,"Dark-rumped Swift","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Dark-rumped Swift","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Dark-rumped Swift","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Dark-rumped Swift","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Dark-rumped Swift","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Dark-rumped Swift","2015",2.7271527574104e-12,0.00913297084046627,0.0465857942559503,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Dark-rumped Swift","2016",2.06903467191074e-11,0.014569767339794,0.054862673167356,NA,NA,NA,1.56416564627922e-06,161.481860500547,223704403770.255,NA,NA,NA,1.56416564627922e-06,161.481860500547,223704403770.255
2017,"Dark-rumped Swift","2017",7.01446338524694e-11,0.010324912810079,0.0427965923700139,NA,NA,NA,1.138322238396e-06,135.455866893285,264679334282.78,NA,NA,NA,1.138322238396e-06,135.455866893285,264679334282.78
2018,"Dark-rumped Swift","2018",4.75528815031637e-12,0.00667987233793252,0.0404839362365876,NA,NA,NA,1.57213288313184e-07,94.7713297674628,22696100301.5009,NA,NA,NA,1.57213288313184e-07,94.7713297674628,22696100301.5009
2019,"Dark-rumped Swift","2019",1.04425866172676e-10,0.0212461511287689,0.0831282805830274,NA,NA,NA,1.40122281001904e-06,262.155903907047,408785996395.013,NA,NA,NA,1.40122281001904e-06,262.155903907047,408785996395.013
2020,"Dark-rumped Swift","2020",0.00603029609931803,0.0289964262041502,0.0886610386487028,NA,NA,NA,48.8728144086206,345.362936325816,635335325954.799,NA,NA,NA,48.8728144086206,345.362936325816,635335325954.799
2021,"Dark-rumped Swift","2021",0.00412454548069013,0.0169853714093158,0.0445164818214574,NA,NA,NA,31.6497294745337,201.193358912905,351894437710.95,NA,NA,NA,31.6497294745337,201.193358912905,351894437710.95
2022,"Dark-rumped Swift","2022",0.00285417229550537,0.0123251198321057,0.0313578197177127,NA,NA,NA,22.6232111072033,148.727232901318,331225789158.396,NA,NA,NA,22.6232111072033,148.727232901318,331225789158.396
2023,"Dark-rumped Swift","2023",2.03169067029955e-10,0.00470774609650658,0.0133149327693225,NA,NA,NA,3.21646852795188,62.7340711537676,114262389302.304,NA,NA,NA,3.21646852795188,62.7340711537676,114262389302.304
2024,"Dark-rumped Swift","2024",0.00493139788899056,0.0143091401857527,0.0300899394500715,NA,NA,NA,32.3120086070387,164.499444838952,371800291971.412,NA,NA,NA,32.3120086070387,164.499444838952,371800291971.412
2025,"Dark-rumped Swift","2025",0.00626367009905246,0.0170859636292077,0.0365067986026712,NA,NA,NA,40.7909032353545,184.087391576019,430415830753.39,NA,NA,NA,40.7909032353545,184.087391576019,430415830753.39
2026,"Dark-rumped Swift","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.9908797559475,441.023691046224,1252772.41943166,36.9908797559475,441.023691046224,1252772.41943166
2027,"Dark-rumped Swift","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.2232377772529,764.485996142257,7717829.09419244,32.2232377772529,764.485996142257,7717829.09419244
2028,"Dark-rumped Swift","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9596959346468,1458.39280955072,46953027.5140087,27.9596959346468,1458.39280955072,46953027.5140087
2029,"Dark-rumped Swift","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,24.4465215816098,2630.26102430256,304957945.832922,24.4465215816098,2630.26102430256,304957945.832922
2030,"Dark-rumped Swift","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,21.683264619251,5136.11312942223,1816917929.28585,21.683264619251,5136.11312942223,1816917929.28585
2031,"Dark-rumped Swift","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8801095349389,9810.51229863362,11780370824.5222,18.8801095349389,9810.51229863362,11780370824.5222
2032,"Dark-rumped Swift","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.691736860419,18764.2258797531,83403821223.3271,16.691736860419,18764.2258797531,83403821223.3271
2033,"Dark-rumped Swift","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4996874474219,36941.1630341531,641741502954.201,14.4996874474219,36941.1630341531,641741502954.201
1996,"Black-throated Tit","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Black-throated Tit","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Black-throated Tit","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Black-throated Tit","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Black-throated Tit","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Black-throated Tit","2015",4.19364236109179e-10,0.00855609445035888,0.0285804648192252,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Black-throated Tit","2016",0.0042605135039816,0.0223198767624118,0.0618909667825173,NA,NA,NA,54.3003778325544,263.83344935519,4547046259.894,NA,NA,NA,54.3003778325544,263.83344935519,4547046259.894
2017,"Black-throated Tit","2017",0.00612392584094743,0.0240663602601963,0.0596177547889727,NA,NA,NA,74.5121375118962,279.427264147926,4122815769.29769,NA,NA,NA,74.5121375118962,279.427264147926,4122815769.29769
2018,"Black-throated Tit","2018",0.000985709627290641,0.0204886485679706,0.0609276039843257,NA,NA,NA,37.6102855477986,242.198754895584,3653531182.31467,NA,NA,NA,37.6102855477986,242.198754895584,3653531182.31467
2019,"Black-throated Tit","2019",0.00912142298606088,0.0400396122814204,0.102115268240154,NA,NA,NA,106.072997092939,467.589212790161,7595491858.67423,NA,NA,NA,106.072997092939,467.589212790161,7595491858.67423
2020,"Black-throated Tit","2020",3.25824797636713e-09,0.0151076255882444,0.045037500404408,NA,NA,NA,24.0700639528098,188.259961631582,3031625933.09232,NA,NA,NA,24.0700639528098,188.259961631582,3031625933.09232
2021,"Black-throated Tit","2021",0.00607911380109571,0.0210411901810818,0.050191512009399,NA,NA,NA,78.6485797566418,253.766162784862,4359109702.41838,NA,NA,NA,78.6485797566418,253.766162784862,4359109702.41838
