"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1982,"Spotted Dove","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,"Spotted Dove","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Spotted Dove","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Spotted Dove","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Spotted Dove","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Spotted Dove","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Spotted Dove","2015",0.373260227133363,0.425654824440905,0.4794530462013,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Spotted Dove","2016",0.348886888701044,0.385448069238101,0.421156670750676,NA,NA,NA,79.7002116585654,90.4193515646957,104.424893135176,NA,NA,NA,79.7002116585654,90.4193515646957,104.424893135176
2017,"Spotted Dove","2017",0.350847411879684,0.379300855839548,0.411401802403614,NA,NA,NA,78.9702759430539,89.4962004822689,101.336450425835,NA,NA,NA,78.9702759430539,89.4962004822689,101.336450425835
2018,"Spotted Dove","2018",0.435478029502549,0.47322614090097,0.517348893029194,NA,NA,NA,98.6652210846806,111.050732016224,127.377580690656,NA,NA,NA,98.6652210846806,111.050732016224,127.377580690656
2019,"Spotted Dove","2019",0.328016232070487,0.365640005991732,0.402758674571076,NA,NA,NA,75.5685979504698,85.7209687451165,99.5580532172161,NA,NA,NA,75.5685979504698,85.7209687451165,99.5580532172161
2020,"Spotted Dove","2020",0.323776137364528,0.352241035291974,0.383931586198428,NA,NA,NA,73.8835411568917,82.8420700968059,93.9246727675398,NA,NA,NA,73.8835411568917,82.8420700968059,93.9246727675398
2021,"Spotted Dove","2021",0.455615378752873,0.487746110491712,0.525134908661942,NA,NA,NA,102.927879363071,114.799006392234,130.591155743338,NA,NA,NA,102.927879363071,114.799006392234,130.591155743338
2022,"Spotted Dove","2022",0.443064587760295,0.475011294562231,0.50831433658109,NA,NA,NA,100.263477558601,111.531715602601,125.930450321118,NA,NA,NA,100.263477558601,111.531715602601,125.930450321118
2023,"Spotted Dove","2023",0.450909326468064,0.480431416424163,0.510968756036724,NA,NA,NA,101.69293671548,112.719725676439,126.950138356846,NA,NA,NA,101.69293671548,112.719725676439,126.950138356846
2024,"Spotted Dove","2024",0.470695300145062,0.499460263810397,0.530110934054485,NA,NA,NA,106.109569563474,117.3294906737,132.513136127369,NA,NA,NA,106.109569563474,117.3294906737,132.513136127369
2025,"Spotted Dove","2025",0.48504600894543,0.512551155350831,0.542703886836507,NA,NA,NA,108.948326013935,120.443913096126,135.477419830451,NA,NA,NA,108.948326013935,120.443913096126,135.477419830451
