"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1988,"Indian Peafowl","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Indian Peafowl","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Indian Peafowl","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Indian Peafowl","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Indian Peafowl","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Indian Peafowl","2015",3.63042398498276e-09,0.00510565600256649,0.01734754644146,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Indian Peafowl","2016",4.38614280863433e-09,0.0131733763142913,0.0326569496399843,NA,NA,NA,8.47825914390047e-05,262.983056878277,628810218.027011,NA,NA,NA,8.47825914390047e-05,262.983056878277,628810218.027011
2017,"Indian Peafowl","2017",0.018295663393011,0.0326006077368777,0.0484459298223419,NA,NA,NA,152.977695472808,680.837050054932,1141418567.13765,NA,NA,NA,152.977695472808,680.837050054932,1141418567.13765
2018,"Indian Peafowl","2018",0.0186672814605053,0.0309359761599946,0.0467924231911681,NA,NA,NA,165.146406603046,631.504804858575,1086121600.9414,NA,NA,NA,165.146406603046,631.504804858575,1086121600.9414
2019,"Indian Peafowl","2019",0.0788750879135199,0.09757914566803,0.119190281895034,NA,NA,NA,541.894265501267,1934.16143791225,2987934192.78017,NA,NA,NA,541.894265501267,1934.16143791225,2987934192.78017
2020,"Indian Peafowl","2020",0.0709512513595422,0.0808696876292634,0.0922318819852507,NA,NA,NA,452.333900600769,1596.50497038296,2256526346.8678,NA,NA,NA,452.333900600769,1596.50497038296,2256526346.8678
2021,"Indian Peafowl","2021",0.0691799171995131,0.0811663489573614,0.0927579607425433,NA,NA,NA,447.291158449563,1579.8395796083,2311364382.77321,NA,NA,NA,447.291158449563,1579.8395796083,2311364382.77321
2022,"Indian Peafowl","2022",0.0515974193946814,0.0763448366352233,0.10440212597464,NA,NA,NA,395.10446709659,1527.52206503247,2427759527.2534,NA,NA,NA,395.10446709659,1527.52206503247,2427759527.2534
2023,"Indian Peafowl","2023",0.107942250167676,0.139891885582355,0.174671691340258,NA,NA,NA,724.017486816202,2794.02677024417,4212620340.30567,NA,NA,NA,724.017486816202,2794.02677024417,4212620340.30567
2024,"Indian Peafowl","2024",0.0891620478726662,0.110315761501175,0.133098355610882,NA,NA,NA,604.416844115496,2196.77313390602,3279417538.97171,NA,NA,NA,604.416844115496,2196.77313390602,3279417538.97171
2025,"Indian Peafowl","2025",0.119259443118711,0.139315889214139,0.160316510988905,NA,NA,NA,769.34852883398,2726.86164391907,3853604867.78149,NA,NA,NA,769.34852883398,2726.86164391907,3853604867.78149
2026,"Indian Peafowl","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,2723.25285685604,5705.60677325712,11633.3734646411,2723.25285685604,5705.60677325712,11633.3734646411
2027,"Indian Peafowl","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,3305.718432678,7626.10831559207,16963.2248948743,3305.718432678,7626.10831559207,16963.2248948743
2028,"Indian Peafowl","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,3997.63693126343,10154.4991476606,24749.0418264429,3997.63693126343,10154.4991476606,24749.0418264429
2029,"Indian Peafowl","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,4820.64255563392,13570.2222042316,36241.2548187708,4820.64255563392,13570.2222042316,36241.2548187708
2030,"Indian Peafowl","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,5814.58836947745,18057.1465672398,53327.948441496,5814.58836947745,18057.1465672398,53327.948441496
2031,"Indian Peafowl","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,7005.39733232615,24001.0663590879,78749.3663559356,7005.39733232615,24001.0663590879,78749.3663559356
2032,"Indian Peafowl","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,8441.11189295458,32124.0602520869,116214.089797929,8441.11189295458,32124.0602520869,116214.089797929
2033,"Indian Peafowl","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,10112.9359067422,43050.2212935889,171405.415229443,10112.9359067422,43050.2212935889,171405.415229443
1988,"Greater Coucal","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Greater Coucal","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Greater Coucal","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Greater Coucal","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Greater Coucal","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
