"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1997,"Indian Peafowl","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Indian Peafowl","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Indian Peafowl","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Indian Peafowl","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Indian Peafowl","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Indian Peafowl","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Indian Peafowl","2015",0.0657278714703731,0.129578739593562,0.209695482254775,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Indian Peafowl","2016",0.125541199241765,0.183338998082164,0.261391873209253,NA,NA,NA,83.5531148479902,144.14035923503,294.059456556002,NA,NA,NA,83.5531148479902,144.14035923503,294.059456556002
2017,"Indian Peafowl","2017",0.149466546013064,0.198593260241505,0.260820994014589,NA,NA,NA,98.0836680200233,155.09726591496,283.438329738423,NA,NA,NA,98.0836680200233,155.09726591496,283.438329738423
2018,"Indian Peafowl","2018",0.122590394046495,0.165948024686949,0.220850372226126,NA,NA,NA,80.9104463217215,129.471170425511,239.059829730453,NA,NA,NA,80.9104463217215,129.471170425511,239.059829730453
2019,"Indian Peafowl","2019",0.128743855866617,0.165271117946864,0.213514169153326,NA,NA,NA,82.4571162814617,128.517414297326,239.688212103027,NA,NA,NA,82.4571162814617,128.517414297326,239.688212103027
2020,"Indian Peafowl","2020",0.0975841103119005,0.126596562611197,0.166774268371852,NA,NA,NA,64.4723281789853,98.9459415943319,186.466850101123,NA,NA,NA,64.4723281789853,98.9459415943319,186.466850101123
2021,"Indian Peafowl","2021",0.105906198245928,0.134913308021375,0.174218216490914,NA,NA,NA,68.3845941858613,105.16290065402,194.938685910879,NA,NA,NA,68.3845941858613,105.16290065402,194.938685910879
2022,"Indian Peafowl","2022",0.089664998040643,0.117673421763833,0.154706357357427,NA,NA,NA,58.8105785934519,91.7666069779544,168.123796981839,NA,NA,NA,58.8105785934519,91.7666069779544,168.123796981839
2023,"Indian Peafowl","2023",0.10231287531762,0.133969758921596,0.17491390888865,NA,NA,NA,66.5186957050021,103.625229667837,202.966234412959,NA,NA,NA,66.5186957050021,103.625229667837,202.966234412959
2024,"Indian Peafowl","2024",0.0955188525083405,0.122237471686332,0.158466574417819,NA,NA,NA,60.3538238154318,95.3124771821107,177.938641280282,NA,NA,NA,60.3538238154318,95.3124771821107,177.938641280282
2025,"Indian Peafowl","2025",0.13892750315413,0.176904824172235,0.227467114143632,NA,NA,NA,89.4953953141599,137.769409343466,254.410907731491,NA,NA,NA,89.4953953141599,137.769409343466,254.410907731491
2026,"Indian Peafowl","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,80.4251856509314,102.167711535969,130.192018962321,80.4251856509314,102.167711535969,130.192018962321
2027,"Indian Peafowl","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,76.5226323803565,100.434635508889,132.071178622979,76.5226323803565,100.434635508889,132.071178622979
2028,"Indian Peafowl","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,72.4867951329069,98.6142863917747,134.044701296082,72.4867951329069,98.6142863917747,134.044701296082
2029,"Indian Peafowl","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,68.8629252873965,96.8492010622449,136.017642865646,68.8629252873965,96.8492010622449,136.017642865646
2030,"Indian Peafowl","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,65.1055745928639,95.1060312315301,138.151774336749,65.1055745928639,95.1060312315301,138.151774336749
