"eBird.English.Name.2025","currentslopelci1","currentslopemean1","currentsloperci1","currentslopelci2","currentslopemean2","currentsloperci2","currentslopelci3","currentslopemean3","currentsloperci3","currentslopelci4","currentslopemean4","currentsloperci4","currentslopelci5","currentslopemean5","currentsloperci5","currentslopelci6","currentslopemean6","currentsloperci6","currentslopelci7","currentslopemean7","currentsloperci7","currentslopelci8","currentslopemean8","currentsloperci8","currentslopelci9","currentslopemean9","currentsloperci9","currentslopelci10","currentslopemean10","currentsloperci10","currentslopelci11","currentslopemean11","currentsloperci11"
"Fulvous Whistling-Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser Whistling-Duck",-5.18220488207312,-2.12814914291247,0.92590659624818,-5.42421601376692,-2.4809186622396,0.462378689287728,-4.59153809887671,-2.08908568393068,0.413366731015359,-5.53944629560411,-3.01293488703829,-0.486423478472461,-5.39004568116903,-2.65364367930606,0.0827583225569008,-5.01551915338008,-2.66978662477526,-0.324054096170439,-5.22675530873282,-2.57032246641804,0.0861103758967533,-5.38232283252865,-2.59967114611121,0.182980540306236,-5.21999159219508,-2.41769888185126,0.384593828492561,-6.08363027689975,-3.30618286117476,-0.528735445449775,-6.4444134588808,-3.52301750230076,-0.601621545720711
"Bar-headed Goose",-8.41662185771088,-2.6534854671092,3.10965092349248,-8.63327865806543,-3.51026942360731,1.61273981085082,-4.64911886464461,-0.854991236900334,2.93913639084394,-7.47048728216627,-2.33651175237289,2.79746377742049,-7.10396746241947,-2.21445562565141,2.67505621111666,-6.77864170766577,-2.39296512447055,1.99271145872468,-7.05237763030067,-2.18867771463857,2.67502220102353,-7.38108055673144,-2.24948070846458,2.88211913980229,-8.08936975818004,-2.96156832882504,2.16623310052996,-8.37300460488481,-2.95755058305959,2.45790343876564,-7.89381352518703,-2.08257188945371,3.7286697462796
"Graylag Goose",-4.4042715394545,-0.299715416836179,3.80484070578214,-4.39275139302031,-0.615191447748222,3.16236849752387,-2.49127400589588,0.75091095626324,3.99309591842236,-3.8351499687726,-0.179395328493866,3.47635931178487,-3.1090423242826,0.226090150221956,3.56122262472651,-3.31396100113263,-0.00396753160525791,3.30602593792211,-3.57829283635484,0.0722735243622283,3.7228398850793,-3.85247172231181,-0.153185968452303,3.5460997854072,-4.12777007722052,-0.394625868698566,3.33851833982339,-4.18498666982935,-0.195973355308473,3.79303995921241,-3.19573332802426,0.845477867159607,4.88668906234348
"Greater White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barnacle Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-breasted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
