"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1992,"Bar-headed Goose","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Bar-headed Goose","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Bar-headed Goose","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Bar-headed Goose","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Bar-headed Goose","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Bar-headed Goose","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Bar-headed Goose","2015",0.0323349923741366,0.0457206523100677,0.0609273978341602,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Bar-headed Goose","2016",0.0257337032090387,0.0355154562057539,0.0473007503513642,NA,NA,NA,58.5336129807312,78.0414957435186,104.02045912066,NA,NA,NA,58.5336129807312,78.0414957435186,104.02045912066
2017,"Bar-headed Goose","2017",0.0499710053993529,0.0664851364594036,0.0863386084023971,NA,NA,NA,114.136400502363,145.611322591184,191.685952802336,NA,NA,NA,114.136400502363,145.611322591184,191.685952802336
2018,"Bar-headed Goose","2018",0.0338778849787525,0.0453826726791498,0.0585704753067151,NA,NA,NA,78.5143561936761,99.548791438905,126.563146779805,NA,NA,NA,78.5143561936761,99.548791438905,126.563146779805
2019,"Bar-headed Goose","2019",0.0379286226737585,0.0515317905533463,0.0673128080085291,NA,NA,NA,87.6393604088642,112.289812481291,144.737979735825,NA,NA,NA,87.6393604088642,112.289812481291,144.737979735825
2020,"Bar-headed Goose","2020",0.0189173898480282,0.026025416023447,0.0339075453925074,NA,NA,NA,44.287321420176,56.6323719928336,76.4838229528151,NA,NA,NA,44.287321420176,56.6323719928336,76.4838229528151
2021,"Bar-headed Goose","2021",0.0237084416378278,0.0316996751818769,0.0415250498365911,NA,NA,NA,54.5376490835453,69.6937668743549,90.2948246576228,NA,NA,NA,54.5376490835453,69.6937668743549,90.2948246576228
2022,"Bar-headed Goose","2022",0.0279929708832389,0.0372192700266005,0.0471282998635419,NA,NA,NA,65.5463477131425,81.4247023325386,103.56480730213,NA,NA,NA,65.5463477131425,81.4247023325386,103.56480730213
2023,"Bar-headed Goose","2023",0.0354673630930647,0.0468953959673557,0.0594572385088439,NA,NA,NA,82.6508938409977,102.751492624988,127.7774674932,NA,NA,NA,82.6508938409977,102.751492624988,127.7774674932
2024,"Bar-headed Goose","2024",0.0338006278621166,0.0433292315479945,0.0549364625578417,NA,NA,NA,76.0523390379521,95.2688186242993,120.66712451695,NA,NA,NA,76.0523390379521,95.2688186242993,120.66712451695
2025,"Bar-headed Goose","2025",0.0263677957189542,0.034688991689665,0.0440406417843611,NA,NA,NA,61.4488552180079,76.0352674511813,96.1340553157141,NA,NA,NA,61.4488552180079,76.0352674511813,96.1340553157141
2026,"Bar-headed Goose","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,56.01792626257,78.1938930452017,109.295423854953,56.01792626257,78.1938930452017,109.295423854953
2027,"Bar-headed Goose","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,52.2516563165509,76.4780097047966,111.80931573042,52.2516563165509,76.4780097047966,111.80931573042
2028,"Bar-headed Goose","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,48.780681355938,74.7773697432352,114.392871022186,48.780681355938,74.7773697432352,114.392871022186
2029,"Bar-headed Goose","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5296780103746,73.1325975952275,117.196105595522,45.5296780103746,73.1325975952275,117.196105595522
2030,"Bar-headed Goose","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4821605055377,71.497726944011,120.201187671171,42.4821605055377,71.497726944011,120.201187671171
2031,"Bar-headed Goose","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,39.5227635592857,69.8768261692534,123.277466678442,39.5227635592857,69.8768261692534,123.277466678442
2032,"Bar-headed Goose","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8440446105028,68.3007633295444,126.217313582283,36.8440446105028,68.3007633295444,126.217313582283
2033,"Bar-headed Goose","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3492994418356,66.7359315655713,129.429601721159,34.3492994418356,66.7359315655713,129.429601721159
1992,"Ruddy Shelduck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Ruddy Shelduck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Ruddy Shelduck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
