"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1990,"Blood Pheasant","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Blood Pheasant","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Blood Pheasant","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Blood Pheasant","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Blood Pheasant","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Blood Pheasant","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Blood Pheasant","2015",0.00697843236017619,0.0293765724586317,0.097415834035358,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Blood Pheasant","2016",0.00587870070644078,0.0261926691973893,0.093307536634308,NA,NA,NA,25.3511404229701,86.2229770592776,317.668166786591,NA,NA,NA,25.3511404229701,86.2229770592776,317.668166786591
2017,"Blood Pheasant","2017",1.76064809292941e-09,0.0113430154596082,0.0537934329666435,NA,NA,NA,8.40226324932311e-06,41.0299570950435,203.470654521952,NA,NA,NA,8.40226324932311e-06,41.0299570950435,203.470654521952
2018,"Blood Pheasant","2018",0.00559609236331175,0.0220596841652443,0.0717347779220627,NA,NA,NA,23.5362838986632,72.4990195148239,260.656550021403,NA,NA,NA,23.5362838986632,72.4990195148239,260.656550021403
2019,"Blood Pheasant","2019",1.18699521312244e-09,0.00600942027112513,0.0257699198899724,NA,NA,NA,5.60341343614098e-06,16.6280866507332,125.655653233486,NA,NA,NA,5.60341343614098e-06,16.6280866507332,125.655653233486
2020,"Blood Pheasant","2020",0.0029529959261726,0.0166117423874366,0.059570057317652,NA,NA,NA,11.8289490050512,56.579771519863,215.243187654762,NA,NA,NA,11.8289490050512,56.579771519863,215.243187654762
2021,"Blood Pheasant","2021",0.000372667345150263,0.00313085189494485,0.013788769408593,NA,NA,NA,1.85253342828036,11.039610575836,41.2953434598567,NA,NA,NA,1.85253342828036,11.039610575836,41.2953434598567
2022,"Blood Pheasant","2022",0.00337927511167376,0.0117225341493224,0.0321797288986472,NA,NA,NA,14.9855843065909,36.7595114270692,124.503577941472,NA,NA,NA,14.9855843065909,36.7595114270692,124.503577941472
2023,"Blood Pheasant","2023",0.00294780172143995,0.0114706898730176,0.0349902863358135,NA,NA,NA,13.582689612824,36.3668638683571,128.717263473207,NA,NA,NA,13.582689612824,36.3668638683571,128.717263473207
2024,"Blood Pheasant","2024",0.00421398971335232,0.0135744030535588,0.0391518729321141,NA,NA,NA,19.0933822712909,42.8978790613799,134.963873374139,NA,NA,NA,19.0933822712909,42.8978790613799,134.963873374139
2025,"Blood Pheasant","2025",0.00452314646354147,0.0145022886399667,0.0428630253920094,NA,NA,NA,19.6771861895837,46.3636624633259,146.266562526117,NA,NA,NA,19.6771861895837,46.3636624633259,146.266562526117
2026,"Blood Pheasant","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.43916331872065,23.0491217446046,177.448600232549,4.43916331872065,23.0491217446046,177.448600232549
2027,"Blood Pheasant","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35003815707016,22.2678418282394,194.227776298445,3.35003815707016,22.2678418282394,194.227776298445
2028,"Blood Pheasant","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.512908083308,21.1985070304096,209.312705949107,2.512908083308,21.1985070304096,209.312705949107
2029,"Blood Pheasant","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89555883158474,20.4235049114502,236.146846385728,1.89555883158474,20.4235049114502,236.146846385728
2030,"Blood Pheasant","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45064390540522,19.6804244948453,262.780462636286,1.45064390540522,19.6804244948453,262.780462636286
2031,"Blood Pheasant","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09203304291457,19.039810280835,285.924694003279,1.09203304291457,19.039810280835,285.924694003279
2032,"Blood Pheasant","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.844184168895481,18.5923378966422,314.756336901201,0.844184168895481,18.5923378966422,314.756336901201
2033,"Blood Pheasant","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.641093608463483,18.312628844426,346.37873936947,0.641093608463483,18.312628844426,346.37873936947
1990,"Satyr Tragopan","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Satyr Tragopan","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Satyr Tragopan","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Satyr Tragopan","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Satyr Tragopan","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Satyr Tragopan","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Satyr Tragopan","2015",5.00587712744853e-11,0.00267319106511953,0.0095138936588834,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Satyr Tragopan","2016",3.76737511803576e-11,0.00192824106263702,0.00683140407518286,NA,NA,NA,3.01586407946791e-06,71.3100188841593,2273820377.56949,NA,NA,NA,3.01586407946791e-06,71.3100188841593,2273820377.56949
2017,"Satyr Tragopan","2017",2.88696883460683e-11,0.0019062703205104,0.00835088964958007,NA,NA,NA,2.04838341466001e-06,75.822130306983,1477348440.00338,NA,NA,NA,2.04838341466001e-06,75.822130306983,1477348440.00338
2018,"Satyr Tragopan","2018",1.67061581103581e-11,0.000618036891860952,0.00232339849171243,NA,NA,NA,1.05449876474427e-06,23.1939614264679,463429763.590664,NA,NA,NA,1.05449876474427e-06,23.1939614264679,463429763.590664
2019,"Satyr Tragopan","2019",7.77171532315833e-11,0.00345927287738077,0.0110445495856406,NA,NA,NA,4.33016986369252e-06,122.21077428372,3466937962.56379,NA,NA,NA,4.33016986369252e-06,122.21077428372,3466937962.56379
2020,"Satyr Tragopan","2020",0.00155436748916105,0.00721142196785358,0.0192541355058978,NA,NA,NA,65.5484165756551,259.005341480286,11292253740.2349,NA,NA,NA,65.5484165756551,259.005341480286,11292253740.2349
2021,"Satyr Tragopan","2021",0.000446393958848117,0.00208130899548686,0.00577373871331456,NA,NA,NA,20.9480004240574,77.2281092055523,3100869902.70849,NA,NA,NA,20.9480004240574,77.2281092055523,3100869902.70849
2022,"Satyr Tragopan","2022",0.000579471237234272,0.00220552129336959,0.00604169148070721,NA,NA,NA,23.0991777274867,80.4391436336713,2813217682.84835,NA,NA,NA,23.0991777274867,80.4391436336713,2813217682.84835
2023,"Satyr Tragopan","2023",0.000382292692115398,0.00200617087062207,0.00529614115752792,NA,NA,NA,17.7093587996484,68.3258310060104,2573908489.09377,NA,NA,NA,17.7093587996484,68.3258310060104,2573908489.09377
2024,"Satyr Tragopan","2024",0.0014363885377738,0.0044132653883178,0.0113089212917228,NA,NA,NA,50.1100534036173,160.608520922527,6474026675.25937,NA,NA,NA,50.1100534036173,160.608520922527,6474026675.25937
2025,"Satyr Tragopan","2025",0.00158745423437408,0.00483587930770646,0.0116319206603951,NA,NA,NA,54.213767887968,169.937239494806,6870935881.78104,NA,NA,NA,54.213767887968,169.937239494806,6870935881.78104
2026,"Satyr Tragopan","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.0650100576124,192.969948526668,727.186151887863,40.0650100576124,192.969948526668,727.186151887863
2027,"Satyr Tragopan","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2916376842957,236.782045952547,924.025327247915,37.2916376842957,236.782045952547,924.025327247915
2028,"Satyr Tragopan","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9039542254617,281.539942907204,1181.1216930797,34.9039542254617,281.539942907204,1181.1216930797
2029,"Satyr Tragopan","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5368768861404,324.822402112514,1497.602274403,32.5368768861404,324.822402112514,1497.602274403
2030,"Satyr Tragopan","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9007043593542,368.788533559985,1932.1184730923,29.9007043593542,368.788533559985,1932.1184730923
2031,"Satyr Tragopan","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,27.9165380006966,424.49927339036,2466.08779462108,27.9165380006966,424.49927339036,2466.08779462108
2032,"Satyr Tragopan","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,25.6675838381936,483.450637271454,3174.00965757014,25.6675838381936,483.450637271454,3174.00965757014
