"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1992,"Lesser Whistling-Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Lesser Whistling-Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Lesser Whistling-Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Lesser Whistling-Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",0.0115777708408697,0.0167385745430641,0.0234543649388106,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Lesser Whistling-Duck","2016",0.012404042713863,0.0176905226747127,0.0245263108238363,NA,NA,NA,90.4531731436488,106.322529493105,125.629740234423,NA,NA,NA,90.4531731436488,106.322529493105,125.629740234423
2017,"Lesser Whistling-Duck","2017",0.00874456221369279,0.0125866761336732,0.0176289145903439,NA,NA,NA,64.399539958591,76.2184595173321,91.2410753823228,NA,NA,NA,64.399539958591,76.2184595173321,91.2410753823228
2018,"Lesser Whistling-Duck","2018",0.0115438503679074,0.0161877793254765,0.0221134737485295,NA,NA,NA,83.3553582963777,97.2741013446374,113.962122591231,NA,NA,NA,83.3553582963777,97.2741013446374,113.962122591231
2019,"Lesser Whistling-Duck","2019",0.0116317908515871,0.0164898158921208,0.0227170669172749,NA,NA,NA,84.5564184064345,99.1732628656598,117.036873990313,NA,NA,NA,84.5564184064345,99.1732628656598,117.036873990313
2020,"Lesser Whistling-Duck","2020",0.0145246321486662,0.0202156743909541,0.0278843324707192,NA,NA,NA,106.451476452937,121.726749610012,141.783196919334,NA,NA,NA,106.451476452937,121.726749610012,141.783196919334
2021,"Lesser Whistling-Duck","2021",0.0161401201516928,0.0223987606676935,0.0308110069577797,NA,NA,NA,117.920253236091,134.72831273043,158.021461120132,NA,NA,NA,117.920253236091,134.72831273043,158.021461120132
2022,"Lesser Whistling-Duck","2022",0.0180753266787991,0.0252983906469931,0.034623562889335,NA,NA,NA,132.854442603823,152.631356594171,177.866306849418,NA,NA,NA,132.854442603823,152.631356594171,177.866306849418
2023,"Lesser Whistling-Duck","2023",0.0158707196390384,0.0222956160956094,0.0308911098248258,NA,NA,NA,117.057621012833,134.053193772535,155.369545790471,NA,NA,NA,117.057621012833,134.053193772535,155.369545790471
2024,"Lesser Whistling-Duck","2024",0.0192673985213496,0.0268574084758201,0.0364978251171248,NA,NA,NA,141.707165901896,161.402277376153,187.393763238886,NA,NA,NA,141.707165901896,161.402277376153,187.393763238886
2025,"Lesser Whistling-Duck","2025",0.0202139507268471,0.0279129966676472,0.0379821456088422,NA,NA,NA,147.963729683019,167.767519427609,196.152592961455,NA,NA,NA,147.963729683019,167.767519427609,196.152592961455
2026,"Lesser Whistling-Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,148.916815436684,176.900339321761,209.582220723688,148.916815436684,176.900339321761,209.582220723688
2027,"Lesser Whistling-Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,155.426625381802,189.133935711624,228.72194635665,155.426625381802,189.133935711624,228.72194635665
2028,"Lesser Whistling-Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,162.09316156501,201.917532980539,249.84025360048,162.09316156501,201.917532980539,249.84025360048
2029,"Lesser Whistling-Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,168.827092863415,215.447183614372,273.374403508008,168.827092863415,215.447183614372,273.374403508008
2030,"Lesser Whistling-Duck","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,176.05179730047,229.747823271731,299.158429082673,176.05179730047,229.747823271731,299.158429082673
2031,"Lesser Whistling-Duck","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,183.482952567015,245.102715502062,327.107326866729,183.482952567015,245.102715502062,327.107326866729
2032,"Lesser Whistling-Duck","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,191.046416109108,261.679001668155,357.89160433634,191.046416109108,261.679001668155,357.89160433634
2033,"Lesser Whistling-Duck","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,198.915472827971,279.513308810283,391.847456770678,198.915472827971,279.513308810283,391.847456770678
1992,"Cotton Pygmy-Goose","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Cotton Pygmy-Goose","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
