"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1988,"Painted Spurfowl","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Painted Spurfowl","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,"Painted Spurfowl","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Painted Spurfowl","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Painted Spurfowl","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Painted Spurfowl","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Painted Spurfowl","2015",0.00924781323566175,0.0186915359936189,0.0317518625986915,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Painted Spurfowl","2016",0.00828543510283261,0.0160577708386941,0.0263304947242574,NA,NA,NA,52.20556622316,84.6366849241855,152.021007038716,NA,NA,NA,52.20556622316,84.6366849241855,152.021007038716
2017,"Painted Spurfowl","2017",0.00453160807650015,0.00990588345527361,0.0164546477183111,NA,NA,NA,27.6678923431193,52.1073618690219,97.7127804538419,NA,NA,NA,27.6678923431193,52.1073618690219,97.7127804538419
2018,"Painted Spurfowl","2018",0.0112302639977198,0.0195055319746033,0.0312882880936822,NA,NA,NA,66.3329841603667,104.382418165763,169.241862617909,NA,NA,NA,66.3329841603667,104.382418165763,169.241862617909
2019,"Painted Spurfowl","2019",0.00628861957198198,0.0113445059821467,0.0188332234742315,NA,NA,NA,36.5366628289296,61.1636574186843,103.970892213477,NA,NA,NA,36.5366628289296,61.1636574186843,103.970892213477
2020,"Painted Spurfowl","2020",0.00803302988721049,0.0136870322525307,0.0219520444374485,NA,NA,NA,47.036615856054,73.4439040348006,124.123246406468,NA,NA,NA,47.036615856054,73.4439040348006,124.123246406468
2021,"Painted Spurfowl","2021",0.00948161115964189,0.0162147479770725,0.0252740827708447,NA,NA,NA,56.1510644286266,86.1432857391506,144.06005074309,NA,NA,NA,56.1510644286266,86.1432857391506,144.06005074309
2022,"Painted Spurfowl","2022",0.0106277908336946,0.0181024976943978,0.0287939598294158,NA,NA,NA,64.1563258642764,95.6809315002727,156.730607917002,NA,NA,NA,64.1563258642764,95.6809315002727,156.730607917002
2023,"Painted Spurfowl","2023",0.00941973951001484,0.0158217362219577,0.0248262282932304,NA,NA,NA,56.2293363818908,84.4806762906779,132.560749657046,NA,NA,NA,56.2293363818908,84.4806762906779,132.560749657046
2024,"Painted Spurfowl","2024",0.0120339679437419,0.0203052536743158,0.0311767131310578,NA,NA,NA,75.1257256924464,107.083227823999,171.038650453651,NA,NA,NA,75.1257256924464,107.083227823999,171.038650453651
2025,"Painted Spurfowl","2025",0.0125254993371445,0.0203579009347976,0.0307199381694178,NA,NA,NA,75.810843471708,108.825344152423,180.330583782414,NA,NA,NA,75.810843471708,108.825344152423,180.330583782414
2026,"Painted Spurfowl","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,71.6505643028196,100.049307191017,137.895120918587,71.6505643028196,100.049307191017,137.895120918587
2027,"Painted Spurfowl","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,70.4220856423894,102.630219538962,147.840914437748,70.4220856423894,102.630219538962,147.840914437748
2028,"Painted Spurfowl","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,69.3744823517848,105.661001659792,159.199432708031,69.3744823517848,105.661001659792,159.199432708031
2029,"Painted Spurfowl","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,68.2711458691053,108.960880609631,171.56567152139,68.2711458691053,108.960880609631,171.56567152139
2030,"Painted Spurfowl","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,67.0194008324176,111.579312784297,184.746089125413,67.0194008324176,111.579312784297,184.746089125413
2031,"Painted Spurfowl","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,65.7651228053051,114.841876572229,198.663189818477,65.7651228053051,114.841876572229,198.663189818477
2032,"Painted Spurfowl","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,64.5441033131112,118.028249457979,213.515669730431,64.5441033131112,118.028249457979,213.515669730431
2033,"Painted Spurfowl","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,63.341209132004,121.055136158316,229.379939541491,63.341209132004,121.055136158316,229.379939541491
1988,"Painted Francolin","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Painted Francolin","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,"Painted Francolin","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Painted Francolin","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Painted Francolin","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Painted Francolin","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Painted Francolin","2015",0.0115561519974878,0.0224251283394814,0.0363720581887109,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Painted Francolin","2016",0.0373547957639934,0.0542729023237477,0.0759074733773276,NA,NA,NA,150.246819222756,241.430010159232,413.531919905989,NA,NA,NA,150.246819222756,241.430010159232,413.531919905989
2017,"Painted Francolin","2017",0.0316080759254922,0.0461788696362375,0.064506664560171,NA,NA,NA,130.151380695345,209.087969617449,366.409845399623,NA,NA,NA,130.151380695345,209.087969617449,366.409845399623
2018,"Painted Francolin","2018",0.0255250658540132,0.0370857950106737,0.051450238211746,NA,NA,NA,106.055389685662,166.422629586598,278.598836624877,NA,NA,NA,106.055389685662,166.422629586598,278.598836624877
2019,"Painted Francolin","2019",0.0474496924713551,0.0651652821847566,0.088073577105292,NA,NA,NA,192.776308912795,293.815002507537,491.742050467051,NA,NA,NA,192.776308912795,293.815002507537,491.742050467051
2020,"Painted Francolin","2020",0.0550854165331349,0.075477410056133,0.0988104578660582,NA,NA,NA,221.474841400697,337.123439531899,576.154453653506,NA,NA,NA,221.474841400697,337.123439531899,576.154453653506
2021,"Painted Francolin","2021",0.029124831770448,0.0421714393703302,0.0570822837366214,NA,NA,NA,123.828359214235,188.54432806307,319.063684071177,NA,NA,NA,123.828359214235,188.54432806307,319.063684071177
2022,"Painted Francolin","2022",0.0320501665316892,0.0438739959924996,0.0593097643920455,NA,NA,NA,129.221910746677,196.770199235663,315.81838216031,NA,NA,NA,129.221910746677,196.770199235663,315.81838216031
2023,"Painted Francolin","2023",0.026103225956957,0.0366983090431282,0.0493375244509873,NA,NA,NA,108.127904720937,164.840612294006,281.557889842563,NA,NA,NA,108.127904720937,164.840612294006,281.557889842563
2024,"Painted Francolin","2024",0.0329684729643478,0.0443419415931053,0.0582430719543931,NA,NA,NA,131.510261036246,199.452877245664,340.594940574712,NA,NA,NA,131.510261036246,199.452877245664,340.594940574712
2025,"Painted Francolin","2025",0.020040109974132,0.027005182877937,0.0357130808763067,NA,NA,NA,78.7692042731966,122.971453255556,205.998971946428,NA,NA,NA,78.7692042731966,122.971453255556,205.998971946428
2026,"Painted Francolin","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,115.160896004924,185.165027490272,298.691068513222,115.160896004924,185.165027490272,298.691068513222
2027,"Painted Francolin","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,107.643363682564,184.310109632177,316.739048581277,107.643363682564,184.310109632177,316.739048581277
2028,"Painted Francolin","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,100.363442035002,183.457372940489,335.729645462276,100.363442035002,183.457372940489,335.729645462276
2029,"Painted Francolin","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,93.5248086284311,182.803160711406,356.219621299356,93.5248086284311,182.803160711406,356.219621299356
2030,"Painted Francolin","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,87.0631709338553,181.600766264402,378.718397157239,87.0631709338553,181.600766264402,378.718397157239
2031,"Painted Francolin","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,81.115254577161,180.388215825209,403.04142647143,81.115254577161,180.388215825209,403.04142647143
2032,"Painted Francolin","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,75.4723608634613,179.534891863069,430.394797950747,75.4723608634613,179.534891863069,430.394797950747
2033,"Painted Francolin","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,70.0247595114021,178.74043315068,458.850442748462,70.0247595114021,178.74043315068,458.850442748462
1988,"Chestnut-bellied Sandgrouse","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,"Chestnut-bellied Sandgrouse","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,"Chestnut-bellied Sandgrouse","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Chestnut-bellied Sandgrouse","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Chestnut-bellied Sandgrouse","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Chestnut-bellied Sandgrouse","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Chestnut-bellied Sandgrouse","2015",0.00556334923483862,0.0107880303492316,0.0178532240406333,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Chestnut-bellied Sandgrouse","2016",0.0065475698089546,0.0127450007033966,0.0206696094373501,NA,NA,NA,69.1993282337119,116.396115564399,208.569074365206,NA,NA,NA,69.1993282337119,116.396115564399,208.569074365206
2017,"Chestnut-bellied Sandgrouse","2017",0.00574687984987166,0.0104304500747143,0.0168005934859086,NA,NA,NA,57.5951433106593,95.9886783424499,169.141408629024,NA,NA,NA,57.5951433106593,95.9886783424499,169.141408629024
2018,"Chestnut-bellied Sandgrouse","2018",0.00220168085910909,0.00417239757599665,0.00673425467525339,NA,NA,NA,21.7157245988103,38.7223030295424,69.2558351160106,NA,NA,NA,21.7157245988103,38.7223030295424,69.2558351160106
2019,"Chestnut-bellied Sandgrouse","2019",0.0102096436093844,0.0171487859535199,0.0263123199759464,NA,NA,NA,102.971235224079,156.092479597268,269.713357923381,NA,NA,NA,102.971235224079,156.092479597268,269.713357923381
2020,"Chestnut-bellied Sandgrouse","2020",0.0080268225531573,0.0134201195835407,0.0202634253230292,NA,NA,NA,80.5774245244493,123.133913556347,207.966095638171,NA,NA,NA,80.5774245244493,123.133913556347,207.966095638171
2021,"Chestnut-bellied Sandgrouse","2021",0.00921692577609759,0.0152373200584124,0.0234263555144583,NA,NA,NA,90.6209750018261,141.328579188578,234.834962263961,NA,NA,NA,90.6209750018261,141.328579188578,234.834962263961
2022,"Chestnut-bellied Sandgrouse","2022",0.0111292934185219,0.0185367532620635,0.027508089582727,NA,NA,NA,111.351832988081,169.409996014356,283.388383708985,NA,NA,NA,111.351832988081,169.409996014356,283.388383708985
