"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1992,"Knob-billed Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Knob-billed Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Knob-billed Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Knob-billed Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Knob-billed Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Knob-billed Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Knob-billed Duck","2015",0.0139099074960056,0.0234629652872757,0.0367173087707175,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Knob-billed Duck","2016",0.0242311520496138,0.0384394804731953,0.0597160798107455,NA,NA,NA,123.297425426577,163.938206207544,218.61176412437,NA,NA,NA,123.297425426577,163.938206207544,218.61176412437
2017,"Knob-billed Duck","2017",0.0216675021295677,0.0348299744463736,0.053593025303785,NA,NA,NA,109.183861561925,148.766518116882,208.619822778134,NA,NA,NA,109.183861561925,148.766518116882,208.619822778134
2018,"Knob-billed Duck","2018",0.0215316265913776,0.0342746245856329,0.0519751996900839,NA,NA,NA,109.265564257989,146.600742255249,200.752232436284,NA,NA,NA,109.265564257989,146.600742255249,200.752232436284
2019,"Knob-billed Duck","2019",0.0202104214560213,0.0318436824426332,0.0487308207370932,NA,NA,NA,101.092475847951,137.099121382718,182.347135602948,NA,NA,NA,101.092475847951,137.099121382718,182.347135602948
2020,"Knob-billed Duck","2020",0.0277622016947577,0.0432064880982505,0.0673995361896209,NA,NA,NA,145.196627195002,185.528251074539,251.518950294793,NA,NA,NA,145.196627195002,185.528251074539,251.518950294793
2021,"Knob-billed Duck","2021",0.026066448600072,0.0392975630212737,0.0601667400767467,NA,NA,NA,133.108635208046,170.072863583122,223.390283789433,NA,NA,NA,133.108635208046,170.072863583122,223.390283789433
2022,"Knob-billed Duck","2022",0.0279090920377501,0.0420967342317983,0.0636373155366843,NA,NA,NA,139.73747144512,181.588843598963,242.097512144954,NA,NA,NA,139.73747144512,181.588843598963,242.097512144954
2023,"Knob-billed Duck","2023",0.0259790809709891,0.0394865829667231,0.0600989524523809,NA,NA,NA,131.743717930943,170.297867178183,224.248095154258,NA,NA,NA,131.743717930943,170.297867178183,224.248095154258
2024,"Knob-billed Duck","2024",0.0315013895264479,0.0464418325703423,0.0708934899631134,NA,NA,NA,156.842095832092,199.590828107585,268.792718122189,NA,NA,NA,156.842095832092,199.590828107585,268.792718122189
2025,"Knob-billed Duck","2025",0.0289058260507625,0.0438838090192761,0.0669971210844693,NA,NA,NA,146.90845606973,188.729780621253,251.434629363384,NA,NA,NA,146.90845606973,188.729780621253,251.434629363384
2026,"Knob-billed Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,175.652629817921,210.448804542111,253.500851369188,175.652629817921,210.448804542111,253.500851369188
2027,"Knob-billed Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,179.576625151061,220.079721737486,271.941097581567,179.576625151061,220.079721737486,271.941097581567
2028,"Knob-billed Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,183.354884835106,230.391845747065,291.77556891521,183.354884835106,230.391845747065,291.77556891521
2029,"Knob-billed Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,186.948259405914,241.677070107269,313.205255716255,186.948259405914,241.677070107269,313.205255716255
2030,"Knob-billed Duck","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,190.644887127197,252.976660403249,336.631937600981,190.644887127197,252.976660403249,336.631937600981
2031,"Knob-billed Duck","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,194.423403902724,264.581811627358,361.764225623386,194.423403902724,264.581811627358,361.764225623386
2032,"Knob-billed Duck","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,198.348178089606,276.620185086441,388.161421760716,198.348178089606,276.620185086441,388.161421760716
