"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1993,"Hill Partridge","before 2000",0.00552600514588703,0.0137936695525926,0.0251560420216461,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Hill Partridge","2000-2006",0.00739580242433978,0.0165670081142222,0.0310861904985022,57.6829141348688,122.140206374942,303.696147582814,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Hill Partridge","2007-2010",0.00770258056805082,0.0150756706240403,0.0251548522022729,60.866475139577,108.606728627246,249.109525120759,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Hill Partridge","2011-2012",0.014057066861828,0.0263717520943259,0.0438118671583746,109.170492638649,194.455918487822,453.302873304302,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Hill Partridge","2013",0.0185545449537875,0.0331558229546279,0.0543394819533926,137.602833688745,243.892499627656,551.175748487543,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Hill Partridge","2014",0.0135664514426669,0.0235003251091234,0.0365194084380893,103.118041058028,171.221061006331,365.149027449206,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Hill Partridge","2015",0.012351430582576,0.0202454068790766,0.0319095568168865,91.9949975413653,147.688227087548,335.790547636257,100,100,100,NA,NA,NA,100,100,100
2016,"Hill Partridge","2016",0.0100434400270534,0.0169738537104952,0.0263842789571697,74.9072248736355,122.594654923562,271.090796553772,66.8051756036102,82.5038964846265,104.736860960982,NA,NA,NA,66.8051756036102,82.5038964846265,104.736860960982
2017,"Hill Partridge","2017",0.0144000613856912,0.0230689974440141,0.036286079164884,105.959334225469,168.655203998751,377.920598964271,93.8903921978694,114.146603887029,138.790520802811,NA,NA,NA,93.8903921978694,114.146603887029,138.790520802811
2018,"Hill Partridge","2018",0.0149626247554917,0.0242394622730802,0.0379135123120532,112.048878958069,176.769023434893,392.468802776944,99.9672053336969,119.371449461596,144.797644949798,NA,NA,NA,99.9672053336969,119.371449461596,144.797644949798
2019,"Hill Partridge","2019",0.0144098748748783,0.0233536485481949,0.0358721791668827,107.959895108424,168.922584258097,384.736440045803,96.1337193561812,114.188888858094,138.347403503126,NA,NA,NA,96.1337193561812,114.188888858094,138.347403503126
2020,"Hill Partridge","2020",0.0212171361346726,0.0346549026686531,0.0541495471557339,154.902076238909,253.356140254474,548.711246760047,142.221913118289,170.718190495749,204.072467222996,NA,NA,NA,142.221913118289,170.718190495749,204.072467222996
2021,"Hill Partridge","2021",0.013111102120247,0.0213391429788897,0.0331452758054147,99.5390011920447,155.869947352694,344.705265269458,89.7652511742356,105.229719500852,126.838821481932,NA,NA,NA,89.7652511742356,105.229719500852,126.838821481932
2022,"Hill Partridge","2022",0.0147366919665115,0.0240268362507619,0.0376184189291397,111.980453086699,177.183737390945,392.557870380021,100.530612629377,119.013756593728,140.801363567482,NA,NA,NA,100.530612629377,119.013756593728,140.801363567482
2023,"Hill Partridge","2023",0.0152664920139424,0.024730817386656,0.038182394772068,113.999406554393,181.277963747331,400.989332556313,104.369681617325,122.063241324652,146.080490413989,NA,NA,NA,104.369681617325,122.063241324652,146.080490413989
2024,"Hill Partridge","2024",0.0150780384500322,0.0241029959678644,0.0375376377185125,110.561146559812,176.825559029921,389.857826375033,101.284287348313,119.347963784778,141.904745545771,NA,NA,NA,101.284287348313,119.347963784778,141.904745545771
2025,"Hill Partridge","2025",0.0144020462428369,0.0230941675642083,0.036007051824065,105.710161379212,169.126432197899,379.879738890859,97.3572040621096,114.203457089728,137.077642639202,NA,NA,NA,97.3572040621096,114.203457089728,137.077642639202
2026,"Hill Partridge","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,104.446409603288,129.884674400807,161.506884257323,104.446409603288,129.884674400807,161.506884257323
2027,"Hill Partridge","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,103.64818899193,132.624731779516,169.523558896535,103.64818899193,132.624731779516,169.523558896535
2028,"Hill Partridge","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,102.801981644952,135.437270981096,177.974402593713,102.801981644952,135.437270981096,177.974402593713
2029,"Hill Partridge","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,101.769923372353,138.144230650803,187.281122936051,101.769923372353,138.144230650803,187.281122936051
