"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1985,"Lesser Whistling-Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Lesser Whistling-Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Lesser Whistling-Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Lesser Whistling-Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",0.0927431704396094,0.132393899946732,0.190382693201067,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Lesser Whistling-Duck","2016",0.0919399073998513,0.134538073852135,0.186498156677415,NA,NA,NA,82.8012151934759,100.966088544329,123.975246497666,NA,NA,NA,82.8012151934759,100.966088544329,123.975246497666
2017,"Lesser Whistling-Duck","2017",0.0805514374780401,0.118728322548106,0.169027201134159,NA,NA,NA,72.9232573606272,89.7045644369843,108.431875763653,NA,NA,NA,72.9232573606272,89.7045644369843,108.431875763653
2018,"Lesser Whistling-Duck","2018",0.0906258971433229,0.129101070560991,0.181607418446644,NA,NA,NA,81.4320365766785,97.74267742922,118.041488592422,NA,NA,NA,81.4320365766785,97.74267742922,118.041488592422
2019,"Lesser Whistling-Duck","2019",0.0941892624516815,0.135176696470618,0.186109415128634,NA,NA,NA,85.4936314627134,101.635264376001,122.102088517381,NA,NA,NA,85.4936314627134,101.635264376001,122.102088517381
2020,"Lesser Whistling-Duck","2020",0.114885921912573,0.15945917451695,0.218460964138314,NA,NA,NA,101.858917666269,120.480813449943,144.418767605746,NA,NA,NA,101.858917666269,120.480813449943,144.418767605746
2021,"Lesser Whistling-Duck","2021",0.103895572096496,0.146575594155154,0.200527108017781,NA,NA,NA,94.096944798005,110.56664384868,132.077568391594,NA,NA,NA,94.096944798005,110.56664384868,132.077568391594
2022,"Lesser Whistling-Duck","2022",0.109497318462525,0.154265827350824,0.211900712422305,NA,NA,NA,98.4665060430079,116.475940750969,137.880823978665,NA,NA,NA,98.4665060430079,116.475940750969,137.880823978665
2023,"Lesser Whistling-Duck","2023",0.0985100964221438,0.139395873340707,0.19521354936073,NA,NA,NA,88.5115577758772,105.391498799603,124.990585485752,NA,NA,NA,88.5115577758772,105.391498799603,124.990585485752
2024,"Lesser Whistling-Duck","2024",0.110614846014116,0.157630594935472,0.216655929344198,NA,NA,NA,100.167205853153,118.48417321049,140.578159612472,NA,NA,NA,100.167205853153,118.48417321049,140.578159612472
2025,"Lesser Whistling-Duck","2025",0.116674272380428,0.16380592703954,0.224801258382404,NA,NA,NA,104.762640970924,123.884816885109,145.785278200197,NA,NA,NA,104.762640970924,123.884816885109,145.785278200197
