"LOCALITY.ID","LATITUDE","LONGITUDE"
"L8891121",21.7239571,88.0140973
"L4809213",14.4671575,78.8242328
"L4809227",14.4453818,79.9836981
"L8593592",22.5557121,88.4314935
"L12433862",27.6612123,88.6012098
"L8044457",27.8958759,88.5365542
"L12406573",27.9116372,88.7110586
"L5506056",27.3790843,88.7401986
"L12406760",28.0340737,88.6282237
"L8044473",28.0239607,88.7089481
"L9362950",14.635709,79.18484
"L2529615",11.6241583,92.725811
"L6749343",8.2876838,73.0629873
"L12557244",32.505853,77.0426581
"L4809222",18.847244,79.968195
"L8902142",31.45,77.63
"L2969592",11.7772922,78.2130432
"L3847523",35.9209607,74.3109655
"L8902143",30.46,78.08
"L4298850",30.4247709,78.0853057
"L936738",9.1102326,79.4558716
"L8899650",30.3495787,74.2647163
"L4809210",17.6692125,80.8959818
"L10262792",27.330867,88.8388395
"L12356563",27.1775262,88.6491328
"L2466134",27.2519971,88.7794876
"L12356519",27.1731062,88.6338681
"L11148142",27.2766074,88.7984295
"L13761469",27.3680705,88.826437
"L12358313",27.3599338,88.8660405
"L4022825",27.3861722,88.5359859
"L12402904",27.8273934,88.6998658
"L3992378",27.6894563,88.7441683
"L9990352",27.6295303,88.6966891
"L12406568",27.8911453,88.7086124
"L12406722",27.8996559,88.4167369
"L13707516",27.8246253,88.5526586
"L12406800",27.9383024,88.5780342
"L6755401",11.6223088,92.7040529
"L8902182",11.6685462,92.7406977
"L6237862",8.5227536,76.9630265
"L2627767",28.5129722,76.9519758
"L17770108",27.1305511,93.7407911
"L19004438",27.1828201,93.5278499
"L19031379",27.2165529,93.6192382
"L8636770",18.8911675,72.8074136
"L8891064",11.15,72.05
"L8891062",12.33,71.88
"L12550240",11.5986873,72.1862883
"L19004398",26.7640005,93.0874741
"L8622220",26.6586711,93.167921
"L10165559",7.8419232,73.5868062
"L8899636",26.79,75.21
"L922575",29.3972815,79.4448853
"L8906768",27.4343111,96.735223
"L12376762",35.8447062,74.5452364
"L7772906",24.7911439,93.0165132
"L6749292",8,91
"L8899642",35.91,74.31
"L6755391",32.0414041,75.4005003
"L8899638",28.01,73.3
"L6756340",29.68,78.04
"L6730257",35.8798708,74.4635296
"L12391417",35.9209607,74.3109655
"L7467931",35.8406382,74.5318508
"L8902150",24.8,93
"L6721630",24.4976149,93.7631178
"L6721628",24.3019296,93.8775086
"L8899637",28.45,76.82
"L3240252",23.0265824,72.5213769
"L18547089",14.605151,78.273275
"L6740554",35.836359,74.6940064
"L6743701",25.1498686,92.8904772
"L7772868",24.5978088,92.7204632
"L6721624",35.42228,74.0944362
"L2525703",12.9741852,77.5926054
"L3238670",8.446077,76.985587
"L8879528",31.9510942,75.8905413
"L2737401",30.0239655,78.254832
"L2629879",30.1238032,78.2670307
"L4809232",14.6851074,77.5945687
"L8902147",7,94.09
"L6755316",24.6888241,92.4391794
"L8879512",27.47,94.9
"L8906761",24.5609889,92.9541193
"L8899639",24.26,72.19
"L5099314",8.8279115,76.7474413
"L11723785",11.4790808,77.8605969
"L8906766",27.6174156,95.4128756
"L6722135",26.3734158,86.0913134
"L7431437",13.4436924,94.2584801
"L2529622",11.715797,92.732753
"L8902177",34.0836634,74.7981731
"L8899641",34.1,78.75
"L8899635",34.3,74.54
"L11103292",10.977269,92.221315
"L2743097",34.1408841,75.0378036
"L11102996",12.2759414,93.8615543
"L6731265",32.8765236,74.9585366
"L3173410",13.65,78.4
"L19282283",27.1093148,88.2992366
"L3852408",23.2,77
"L7431349",12.9720802,77.5937653
"L3173515",17.4761047,78.5085154
"L8899645",34.36,74.55
"L3173519",17.9072023,78.4631538
"L8906763",27.1804865,94.9171119
"L8899644",34.1,74.7
"L3173527",17.9728856,78.4553969
"L3173409",17.916667,78.45
"L3173403",17.5,78.516667
"L3173521",17.6306075,78.4810066
"L3175193",17.2074758,78.6933174
"L3173408",18.566667,78.208333
"L3173407",18.183333,78.4
"L3173406",18.001389,78.416667
"L3173405",17.9,78.45
"L3173404",17.516667,78.483333
"L3173525",17.5063119,78.5390282
"L3173526",17.4614496,78.5573101
"L3175192",17.5388383,78.5854797
"L19155685",12.237,79.65
"L3173421",16.5,81.083333
"L7431328",13.0834776,79.6690702
"L7387135",24.4313395,94.0114594
"L12556613",32.3730588,77.2463987
"L4750241",32.4798034,77.1267003
"L12557116",32.4817024,77.354595
"L12551374",32.414514,77.2359942
"L3852584",29.1,75.7
"L12557415",32.056155,78.6079137
"L12551397",32.9094363,77.5808715
"L12551208",32.4899857,77.0111848
"L12556571",32.8250315,77.4478901
"L11081081",32.9081674,77.5794349
"L12556649",32.0550457,78.6078279
"L12551340",32.7922028,77.3198612
"L12551267",32.6739343,77.2076027
"L4748242",32.5708277,77.0346978
"L12565786",32.6123235,77.146114
"L12557112",32.7596759,77.4171879
"L8891065",14.8,74.08
"L4809249",13.1356485,78.1324562
"L3851840",30.91,75.84
"L3173522",17.515152,78.5164547
"L8902169",30.1687,77.2975527
"L7769125",26.6293859,89.4798099
"L6516442",26.731597,89.3516994
"L2464127",13.0463689,77.5864148
"L12565615",32.3607994,77.2406776
"L4750242",32.4145569,77.2355604
"L12557271",32.4892769,77.0494446
"L10089768",10.2350255,77.4872804
"L12558437",32.3725007,77.2464459
"L12551032",32.636014,77.1806717
"L12556607",32.5934361,77.1293385
"L12565826",32.5126207,76.9741201
"L12557403",32.6425748,77.193763
"L12556635",32.5983201,77.1337342
"L12556618",32.5871061,77.1241795
"L12551297",32.7619135,77.2594042
"L12557501",32.5648958,77.0025861
"L12570151",32.5799402,77.0375709
"L12557216",32.4443537,77.1684785
"L12557544",31.8293756,77.1182264
"L3852585",26.7,82
"L8891060",30.12,77.3
"L3922073",32.4846855,77.6137304
"L12565729",32.3209953,77.6467286
"L12565765",32.3004313,77.6086156
"L12557235",32.3186311,77.3645768
"L12557188",32.3342613,77.6166498
"L12557519",32.6399779,77.1919592
"L12565566",32.4468608,77.6909326
"L12557229",32.475556,77.0245572
"L12565518",32.972904,77.4107107
"L12557154",32.543535,77.0204838
"L12557208",32.6333137,76.8235932
"L12556657",32.6143115,77.1462479
"L6756960",25.9264772,86.0701132
"L12557105",32.8270107,77.4517459
"L12556631",32.4888267,77.0736798
"L12557258",32.9125311,77.5785713
"L14076108",32.7623672,77.3979391
"L12557308",32.8235133,77.4475875
"L12557489",32.5335785,77.0176857
"L12557093",30.5305511,77.7045372
"L12558396",33.2415582,77.1592089
"L12557130",33.0342951,77.5893067
"L12557556",32.9173947,77.5794296
"L12556644",32.6127508,77.1446973
"L10098319",13.0062247,80.1877697
"L3173516",19.3737051,78.779912
"L6755429",27.95,73.05
"L8879526",27.9991045,75.7809983
"L3173572",17.4152659,78.440237
"L3173419",19.5,79
"L10098363",13.0589818,80.2814452
"L3173418",18.183333,79.933333
"L7491755",25.4459098,94.6527958
"L11121157",34.428718,74.56813
"L11109622",34.356964,74.567195
"L11109975",34.410726,74.626428
"L11121202",34.4665,74.491461
"L11121873",34.444215,74.479625
"L11121170",34.422749,74.546003
"L11109696",34.4167,74.65
"L11121226",34.480732,74.424662
"L11109422",34.0795082,74.8432261
"L11210428",34.362762,74.664566
"L11121996",34.42219,74.647185
"L11214884",34.261957,74.901087
"L11210508",34.252083,74.663706
"L11211830",34.233428,74.715686
"L11210599",34.249173,74.690548
"L2902624",34.2920411,75.2731276
"L11214960",34.268753,75.164251
"L11214918",34.223452,75.02438
"L11210565",34.240452,74.678711
"L11212066",34.240222,74.807506
"L11211912",34.219957,74.76565
"L11215384",34.267397,75.364386
"L11215450",34.255213,75.412931
"L11228487",34.418348,75.887396
"L11229053",34.582356,75.995584
"L11215544",34.33174,75.574711
"L11228301",34.427844,75.758671
