"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_2014","mean_std_2014","rci_std_2014","lci_ext","mean_ext","rci_ext","lci_comb","mean_comb","rci_comb","se_comb","lci_comb_std","mean_comb_std","rci_comb_std"
1992,"Fulvous Whistling-Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Fulvous Whistling-Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Fulvous Whistling-Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Fulvous Whistling-Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Fulvous Whistling-Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Fulvous Whistling-Duck","2014",-4.49388702448873,0.106261318778095,0.0090346001900775,0.0111148816884045,0.0136708490119951,100,100,100,100,100,100,NA,NA,NA,0.0090346001900775,0.0111148816884045,0.0136708490119951,0.00106136811139134,100,100,100
2015,"Fulvous Whistling-Duck","2015",-4.52353655307248,0.101240852279384,0.0088581782780638,0.0107919268476787,0.0131450072279856,73.0971019034116,97.0943924570721,128.716075044205,72.6428471444361,97.0943924570721,130.926599820397,NA,NA,NA,0.0088581782780638,0.0107919268476787,0.0131450072279856,0.00098660641306884,71.9365033114876,97.0943924570721,122.252281602657
2016,"Fulvous Whistling-Duck","2016",-4.52355370299332,0.102417489611099,0.00883771254555768,0.0107917427708497,0.0131749320750237,73.232765748061,97.0927363276214,129.709946390057,71.4198962018423,97.0927363276214,128.689393169881,NA,NA,NA,0.00883771254555768,0.0107917427708497,0.0131749320750237,0.00099695419657755,71.8085379806986,97.0927363276214,122.376934674544
2017,"Fulvous Whistling-Duck","2017",-4.75500400904431,0.0990763102788469,0.00706405489277252,0.00857156305345893,0.0103990933080378,58.2122572041114,77.1178973717832,102.066248105447,58.025579181794,77.1178973717832,104.220720001029,NA,NA,NA,0.00706405489277252,0.00857156305345893,0.0103990933080378,0.00076913681667674,57.3118161423324,77.1178973717832,96.9239786012341
2018,"Fulvous Whistling-Duck","2018",-4.92672204109981,0.103820340252955,0.00589785761937349,0.00722401081321999,0.00884702460057399,49.0176629511347,64.9940414638543,86.778509009965,47.9632177300801,64.9940414638543,87.3668895983276,NA,NA,NA,0.00589785761937349,0.00722401081321999,0.00884702460057399,0.000676608772370661,47.9549882132948,64.9940414638543,82.0330947144138
2019,"Fulvous Whistling-Duck","2019",-4.97549259126144,0.102830276171811,0.00562878904231928,0.00688133116188782,0.00841141328121858,46.3322958781109,61.9109708479101,83.5856684137017,46.7883338303065,61.9109708479101,83.8592286908954,NA,NA,NA,0.00562878904231928,0.00688133116188782,0.00841141328121858,0.000639052101820687,45.74747051388,61.9109708479101,78.0744711819402
2020,"Fulvous Whistling-Duck","2020",-4.86891147414222,0.101273855391365,0.0062789284656374,0.007652293465315,0.00932463690157048,52.3803670035184,68.8472777294443,92.8954145896871,52.3660265821223,68.8472777294443,92.7187599968692,NA,NA,NA,0.0062789284656374,0.007652293465315,0.00932463690157048,0.000700696428406943,50.994792518165,68.8472777294443,86.6997629407235
2021,"Fulvous Whistling-Duck","2021",-4.78936372437941,0.0927341372412237,0.0069113637060133,0.00828325132370827,0.00992609123221784,56.2246360486683,74.5239720576575,98.2054753054672,56.1161510072086,74.5239720576575,98.5948923758822,NA,NA,NA,0.0069113637060133,0.00828325132370827,0.00992609123221784,0.000699942662089272,55.8989191247959,74.5239720576575,93.149024990519
2022,"Fulvous Whistling-Duck","2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00562522351274917,0.00659486696401815,0.00773165193783427,0.00562522351274917,0.00659486696401815,0.00773165193783427,0.000494716046565809,45.2118340343759,59.3336676799554,73.4555013255349
2023,"Fulvous Whistling-Duck","2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00513301297269007,0.00619028819899279,0.00746533628308895,0.00513301297269007,0.00619028819899279,0.00746533628308895,0.000539426135868737,41.5820996615227,55.6936940269076,69.8052883922925
2024,"Fulvous Whistling-Duck","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00467986894520512,0.00581052933981277,0.00721435826604011,0.00467986894520512,0.00581052933981277,0.00721435826604011,0.000576867548269207,38.16279741207,52.2770237480309,66.3912500839917
2025,"Fulvous Whistling-Duck","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00426437568147147,0.0054540677466872,0.00697566471798025,0.00426437568147147,0.0054540677466872,0.00697566471798025,0.000606985747559043,34.9662970094517,49.0699577340269,63.1736184586021
2026,"Fulvous Whistling-Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00388431865895574,0.00511947419000764,0.00674739079960046,0.00388431865895574,0.00511947419000764,0.00674739079960046,0.000630181393393824,31.995308035934,46.0596372820457,60.1239665281573
2027,"Fulvous Whistling-Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00353719999370088,0.00480540711986456,0.00652830985773143,0.00353719999370088,0.00480540711986456,0.00652830985773143,0.000647044452124327,29.2459839787436,43.2339925388297,57.2220010989159
2028,"Fulvous Whistling-Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00322048053387436,0.00451060728711489,0.00631755971960418,0.00322048053387436,0.00451060728711489,0.00631755971960418,0.000658227935326805,26.7102708965334,40.5816941067446,54.4531173169558
2029,"Fulvous Whistling-Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00293169558019585,0.00423389269443364,0.00611449819997377,0.00293169558019585,0.00423389269443364,0.00611449819997377,0.000664386282774386,24.3775859289181,38.0921076186587,51.8066293083993
